feature,importance
actual_ip,0.1269056
last5_avg_er,0.07920229
last5_avg_ks,0.078682765
opp_hits_per_game,0.072020404
actual_walks,0.067798056
opp_slg,0.06117643
opp_avg,0.055503216
last5_avg_ip,0.049783725
actual_earned_runs,0.049706973
opp_k_per_game,0.049257424
opp_ops,0.04526065
last5_avg_hits,0.041822873
opp_walks_per_game,0.041686345
last3_avg_ip,0.035023667
opp_runs_per_game,0.032941062
last5_avg_walks,0.032805856
opp_obp,0.03137397
actual_hits,0.028127907
last3_avg_ks,0.020920744
