event_id,event_date,commence_time,platform,platform_key,player,market,direction,line,sportsbook_odds,projection,raw_probability,probability,calibration_shrinkage,push_probability,opposite_probability,fair_odds,distribution_method,calibration_sample_size,validation_mae,probability_status,probability_note,projection_std,projection_floor,projection_ceiling,consensus_line,consensus_difference,sportsbook_count,line_type,market_quality_score,volatility_score,projection_quality_score,confidence_score,risk_score,model_version,fetched_at,is_pickem_platform,sportsbook_implied_probability,raw_probability_edge,ranking_score,player_key,team,opponent,no_vig_implied_probability,market_implied_probability,raw_projection_edge,probability_edge,expected_value,kelly_fraction,recommended_bankroll_fraction,line_is_fresh,game_not_started,minimum_market_probability,confidence_tier,grade,elite_score,elite_eligible,elite_rejection_reasons,elite_history_sample,elite_history_wins,elite_history_win_rate,elite_history_lower_bound,elite_probability_threshold,elite_probability_edge_threshold,elite_expected_value_threshold,elite_absolute_projection_edge,elite_confidence_score,elite_risk_score,elite_market_quality_score,elite_projection_quality_score,elite_line_type,elite_confidence_score_threshold,elite_risk_score_threshold,elite_market_quality_threshold,elite_projection_quality_threshold,strikeout_hard_gate_passed,strikeout_hard_gate_reasons,rejection_reason
826ee3ffe72c4e81,2026-07-22,2026-07-22T23:07:00Z,Prizepicks,prizepicks,Chandler Simpson,hitter_hits,Under,1.5,-100,1.037,0.7869190404797601,0.7410119940029984,0.84,0.0,0.2589880059970015,-286.0,empirical_holdout_residuals,5296.0,0.6828175361832036,calculated,,0.8512482309208359,0.0,2.1279185030036687,1.5,0.0,1,standard,61.0,54.85182960400581,87.036,81.08317444060087,18.91682555939913,2.1.0,2026-07-22T21:55:41Z,True,0.5,0.2410119940029984,0.5632582655228808,chandler simpson,Tampa Bay Rays,Toronto Blue Jays,0.5,0.5,-0.4630000000000001,0.24101199400299844,0.4820239880059969,0.4820239880059969,0.025,True,True,0.58,Strong,A,83.05,False,market_quality_below_elite_threshold|probability_below_elite_threshold|historical_segment_not_proven,206.0,146.0,0.7087378640776699,0.6666455206049466,0.76,0.1,0.12,0.4630000000000001,81.08317444060087,18.91682555939913,61.0,87.036,standard,75.0,25.0,65.0,70.0,,,accepted
ff93775f809fd18a,2026-07-22,2026-07-23T00:05:00Z,Prizepicks,prizepicks,Braden Montgomery,hitter_hits,Under,1.5,-100,0.956,0.7940404797601199,0.7469940029985007,0.84,0.0,0.2530059970014993,-295.0,empirical_holdout_residuals,5296.0,0.6828175361832036,calculated,,0.8512482309208359,0.0,2.0469185030036687,1.5,0.0,1,standard,61.0,51.02651391145818,84.768,80.16917708671872,19.83082291328128,2.1.0,2026-07-22T21:55:41Z,True,0.5,0.2469940029985007,0.563192595852598,braden montgomery,Chicago White Sox,Texas Rangers,0.5,0.5,-0.544,0.24699400299850072,0.49398800599700143,0.49398800599700143,0.025,True,True,0.58,Strong,A,83.85,False,market_quality_below_elite_threshold|probability_below_elite_threshold|historical_segment_not_proven,205.0,146.0,0.7121951219512195,0.670111182739772,0.76,0.1,0.12,0.544,80.16917708671872,19.83082291328128,61.0,84.768,standard,75.0,25.0,65.0,70.0,,,accepted
ff93775f809fd18a,2026-07-22,2026-07-23T00:05:00Z,Prizepicks,prizepicks,Anthony Kay,pitcher_strikeouts,Under,7.5,-100,3.206,0.983002827974028,0.8381019795818195,0.7,0.0,0.1618980204181804,-518.0,poisson,,,calculated,Poisson fallback; dedicated pitcher residual calibration is still recommended.,1.790530647601431,0.9113426454107988,5.500657354589201,7.5,0.0,1,standard,61.0,69.28284915219005,62.4275,65.95655237282851,34.04344762717149,2.1.0,2026-07-22T21:55:41Z,True,0.5,0.3381019795818195,0.563149463311476,anthony kay,Chicago White Sox,Texas Rangers,0.5,0.5,-4.2940000000000005,0.33810197958181953,0.6762039591636391,0.6762039591636391,0.025,True,True,0.57,Strong,A,83.94,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|market_quality_below_elite_threshold|projection_quality_below_elite_threshold,21.0,15.0,0.7142857142857143,0.5760853903530962,0.76,0.14,0.08,4.2940000000000005,65.95655237282851,34.04344762717149,61.0,62.4275,standard,75.0,25.0,65.0,70.0,True,,line_too_far_from_projection
ff93775f809fd18a,2026-07-22,2026-07-23T00:05:00Z,Prizepicks,prizepicks,Chase Meidroth,hitter_hits,Under,1.5,-100,0.932,0.7955397301349325,0.7482533733133433,0.84,0.0,0.2517466266866567,-297.0,empirical_holdout_residuals,5296.0,0.6828175361832036,calculated,,0.8512482309208359,0.0,2.0229185030036687,1.5,0.0,1,standard,61.0,49.76539409801934,84.096,79.8792091147029,20.120790885297097,2.1.0,2026-07-22T21:55:41Z,True,0.5,0.2482533733133433,0.5628475072848781,chase meidroth,Chicago White Sox,Texas Rangers,0.5,0.5,-0.568,0.2482533733133433,0.4965067466266866,0.4965067466266866,0.025,True,True,0.58,Strong,A,83.96,False,market_quality_below_elite_threshold|probability_below_elite_threshold|historical_segment_not_proven,205.0,146.0,0.7121951219512195,0.670111182739772,0.76,0.1,0.12,0.568,79.8792091147029,20.120790885297097,61.0,84.096,standard,75.0,25.0,65.0,70.0,,,accepted
826ee3ffe72c4e81,2026-07-22,2026-07-22T23:07:00Z,Prizepicks,prizepicks,Andrés Giménez,hitter_hits_runs_rbis,Under,3.5,-100,1.373,0.865108868826341,0.8066914498141264,0.84,0.0,0.1933085501858735,-417.0,empirical_holdout_residuals,5609.0,1.506715374037058,calculated,,1.947090049387053,0.0,3.868296301048291,2.5,1.0,2,alternate,49.0,22.00294776672402,78.73,72.5099421650086,27.490057834991404,2.1.0,2026-07-22T21:55:41Z,True,0.5,0.3066914498141264,0.562678096225928,andres gimenez,Toronto Blue Jays,Tampa Bay Rays,0.5,0.5,-2.127,0.30669144981412644,0.6133828996282529,0.6133828996282529,0.025,True,True,0.58,Strong,A,95.69,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|market_quality_below_elite_threshold|line_type_not_elite_eligible,94.0,76.0,0.8085106382978723,0.7513798676231797,0.78,0.12,0.14,2.127,72.5099421650086,27.490057834991404,49.0,78.73,alternate,75.0,25.0,65.0,70.0,,,accepted
7d83a58e8d5953ff,2026-07-22,2026-07-22T23:15:00Z,Underdog,underdog,Ty France,hitter_rbis,Under,0.5,-223,0.558,0.7207646176911544,0.6854422788605696,0.84,0.0,0.3145577211394303,-218.0,empirical_holdout_residuals,5296.0,0.6271676838347334,calculated,,0.8474583343340311,0.0,1.644061555099597,0.5,0.0,4,standard,79.0,17.5,98.376,80.78139999999999,19.21860000000001,2.1.0,2026-07-22T21:55:41Z,True,0.6904024767801857,0.1854422788605696,0.561073676161919,ty france,San Diego Padres,Atlanta Braves,0.627502537134422,0.627502537134422,0.05800000000000005,0.05793974172614769,-0.007184501919443975,0.0,0.0,True,True,0.59,PASS,PASS,48.59,False,probability_below_elite_threshold|edge_below_elite_threshold|ev_below_elite_threshold|historical_segment_not_proven,164.0,114.0,0.6951219512195121,0.6473065437392074,0.79,0.13,0.15,0.05800000000000005,80.78139999999999,19.21860000000001,79.0,98.376,standard,75.0,25.0,65.0,70.0,,,expected_value_below_threshold
826ee3ffe72c4e81,2026-07-22,2026-07-22T23:07:00Z,Prizepicks,prizepicks,Cedric Mullins,hitter_hits,Under,1.5,-100,0.874,0.7962893553223388,0.7488830584707646,0.84,0.0,0.2511169415292353,-298.0,empirical_holdout_residuals,5296.0,0.6828175361832036,calculated,,0.8512482309208359,0.0,1.9649185030036689,1.5,0.0,1,standard,61.0,46.43174748209842,82.472,79.13556212231477,20.864437877685237,2.1.0,2026-07-22T21:55:41Z,True,0.5,0.2488830584707646,0.5605760369882578,cedric mullins,Tampa Bay Rays,Toronto Blue Jays,0.5,0.5,-0.626,0.24888305847076464,0.4977661169415293,0.4977661169415293,0.025,True,True,0.58,Strong,A,84.02,False,market_quality_below_elite_threshold|probability_below_elite_threshold|historical_segment_not_proven,205.0,146.0,0.7121951219512195,0.670111182739772,0.76,0.1,0.12,0.626,79.13556212231477,20.864437877685237,61.0,82.472,standard,75.0,25.0,65.0,70.0,,,accepted
6206ce5b8ba76dfa,2026-07-22,2026-07-22T23:05:00Z,Prizepicks,prizepicks,Billy Cook,hitter_hits_runs_rbis,Under,2.5,-100,1.05,0.8058063374048504,0.7568773234200743,0.84,0.0,0.2431226765799257,-311.0,empirical_holdout_residuals,5609.0,1.506715374037058,calculated,,1.947090049387053,0.0,3.545296301048292,2.5,0.0,1,standard,61.0,17.5,85.5,75.25,24.75,2.1.0,2026-07-22T21:55:41Z,True,0.5,0.2568773234200743,0.5594013011152417,billy cook,Pittsburgh Pirates,New York Yankees,0.5,0.5,-1.45,0.2568773234200743,0.5137546468401486,0.5137546468401486,0.025,True,True,0.58,Strong,A,92.02,False,market_quality_below_elite_threshold|probability_below_elite_threshold,105.0,86.0,0.819047619047619,0.7661062395107986,0.78,0.12,0.14,1.45,75.25,24.75,61.0,85.5,standard,75.0,25.0,65.0,70.0,,,accepted
9d0da4ab6f0158bf,2026-07-22,2026-07-22T22:40:00Z,Prizepicks,prizepicks,Dalton Rushing,hitter_hits_runs_rbis,Under,3.5,-100,1.499,0.8509470702779253,0.7947955390334572,0.84,0.0,0.2052044609665427,-387.0,empirical_holdout_residuals,5609.0,1.506715374037058,calculated,,1.947090049387053,0.0,3.994296301048292,2.5,1.0,2,alternate,49.0,28.559070903076773,79.99,73.6823606354615,26.317639364538493,2.1.0,2026-07-22T21:55:41Z,True,0.5,0.2947955390334572,0.5592432231296591,dalton rushing,Los Angeles Dodgers,Philadelphia Phillies,0.5,0.5,-2.001,0.29479553903345723,0.5895910780669145,0.5895910780669145,0.025,True,True,0.58,Strong,A,95.27,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|market_quality_below_elite_threshold|line_type_not_elite_eligible,100.0,81.0,0.81,0.7548724165226469,0.78,0.12,0.14,2.001,73.6823606354615,26.317639364538493,49.0,79.99,alternate,75.0,25.0,65.0,70.0,,,accepted
19b4415993e7cb4f,2026-07-22,2026-07-22T23:10:00Z,Prizepicks,prizepicks,Chadwick Tromp,hitter_rbis,Under,0.5,-100,0.353,0.720952023988006,0.685599700149925,0.84,0.0,0.314400299850075,-218.0,empirical_holdout_residuals,5296.0,0.6271676838347334,calculated,,0.8474583343340311,0.0,1.4390615550995969,0.5,0.0,4,standard,79.0,17.5,95.884,80.40759999999999,19.59240000000001,2.1.0,2026-07-22T21:55:41Z,True,0.5,0.185599700149925,0.558669832083958,chadwick tromp,Baltimore Orioles,Boston Red Sox,0.5,0.5,-0.14700000000000002,0.185599700149925,0.37119940029985,0.37119940029985,0.025,True,True,0.59,Strong,A,77.17,False,probability_below_elite_threshold|historical_segment_not_proven,164.0,114.0,0.6951219512195121,0.6473065437392074,0.79,0.13,0.15,0.14700000000000002,80.40759999999999,19.59240000000001,79.0,95.884,standard,75.0,25.0,65.0,70.0,,,accepted
