date,game_id,pitcher_id,pitcher_name,team,opponent,side,status,history_games,days_rest,last3_avg_outs,last5_avg_outs,last10_avg_outs,season_avg_outs,season_median_outs,season_std_outs,recent_std_outs,projected_outs,projected_outs_lower_80,projected_outs_upper_80,projected_outs_residual_std,baseline_projected_outs,model_projected_outs,projected_pitch_count,projected_pitches_per_out,model_blend_weight,projection_reliability_score,projection_confidence,projection_method,calibration_status,uncertainty_method
2026-07-24,822952,676282,Joey Cantillo,Cleveland Guardians,Tampa Bay Rays,away,Pre-Game,21.0,5.0,15.0,15.6,15.0,15.143,15.0,3.328,4.243,15.021,11.057,18.634,3.185,15.217,14.958,87.367,5.71,0.757,81.242,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,824573,663436,Davis Martin,Chicago White Sox,Houston Astros,home,Pre-Game,19.0,6.0,13.0,14.6,15.0,16.737,18.0,3.193,3.098,14.912,10.948,18.525,3.185,14.717,14.978,80.933,5.865,0.744,85.831,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,824812,656550,Grant Holmes,Atlanta Braves,Baltimore Orioles,away,Pre-Game,19.0,5.0,15.0,14.2,13.5,14.579,15.0,3.117,3.074,14.902,10.938,18.515,3.185,14.521,15.02,79.4,5.438,0.762,86.386,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823601,808963,Roki Sasaki,Los Angeles Dodgers,New York Mets,away,Pre-Game,17.0,7.0,14.667,14.6,15.9,15.294,15.0,3.12,3.618,14.872,10.908,18.485,3.185,14.886,14.867,86.433,5.907,0.751,83.776,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823352,683003,Jared Jones,Pittsburgh Pirates,Chicago Cubs,home,Pre-Game,9.0,6.0,15.0,13.6,13.333,13.333,13.0,2.404,2.404,14.515,10.552,18.129,3.185,13.944,14.992,72.333,5.058,0.545,70.813,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823031,669160,Dustin May,St. Louis Cardinals,Cincinnati Reds,home,Pre-Game,19.0,6.0,13.667,9.8,14.8,15.474,17.0,5.325,6.735,14.316,10.353,17.93,3.185,13.061,15.001,77.933,6.642,0.647,67.806,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823196,680570,Grayson Rodriguez,Los Angeles Angels,San Francisco Giants,away,Scheduled,8.0,6.0,11.667,12.4,13.125,13.125,13.5,3.219,3.219,13.35,9.386,16.963,3.185,12.435,14.218,75.1,6.241,0.513,63.535,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823843,608566,Germán Márquez,San Diego Padres,Miami Marlins,away,Pre-Game,10.0,5.0,12.0,12.0,13.4,13.4,15.0,3.231,3.231,12.0,8.037,15.614,3.185,12.638,11.497,75.367,6.281,0.559,67.626,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823680,682052,Jacob Lopez,Athletics,Minnesota Twins,away,Pre-Game,15.0,5.0,9.0,9.4,10.8,11.933,13.0,4.139,4.556,11.131,7.168,14.745,3.185,10.095,11.803,57.1,6.207,0.607,76.145,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823031,695076,Rhett Lowder,Cincinnati Reds,St. Louis Cardinals,away,Pre-Game,17.0,6.0,6.333,8.4,11.0,12.706,15.0,4.968,4.29,9.032,5.068,12.645,3.185,9.193,8.94,42.6,5.783,0.638,78.072,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823843,687473,Ryan Gusto,Miami Marlins,San Diego Padres,home,Pre-Game,11.0,3.0,6.333,7.6,8.9,8.364,7.0,3.338,3.015,6.528,2.564,10.141,3.185,7.337,5.611,34.067,4.89,0.469,69.299,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,822707,687223,Carson Palmquist,Washington Nationals,Arizona Diamondbacks,home,Pre-Game,7.0,3.0,5.0,4.2,4.857,4.857,3.0,3.136,3.136,4.723,0.76,8.337,3.185,4.481,4.987,28.767,6.254,0.479,60.026,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,824248,694360,Beck Way,Kansas City Royals,Detroit Tigers,away,Pre-Game,18.0,5.0,3.667,3.2,3.3,3.722,3.0,1.446,0.781,3.466,0.0,7.08,3.185,3.403,3.488,20.733,6.039,0.748,95.847,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
