event_id,event_date,commence_time,platform,platform_key,player,market,direction,line,sportsbook_odds,projection,raw_probability,probability,calibration_shrinkage,push_probability,opposite_probability,fair_odds,distribution_method,calibration_sample_size,validation_mae,probability_status,probability_note,fetched_at,is_pickem_platform,sportsbook_implied_probability,raw_probability_edge,ranking_score,player_key,platform_priority,team,opponent,no_vig_implied_probability,market_implied_probability,raw_projection_edge,probability_edge,expected_value,kelly_fraction,recommended_bankroll_fraction,line_is_fresh,game_not_started,minimum_market_probability,selection_reason
38de409ea9f8c1c7,2026-07-21,2026-07-21T22:40:00Z,BetMGM,betmgm,Luke Keaschall,hitter_hits,Under,0.5,140,0.761,0.4342203898050975,0.4447451274362818,0.84,0.0,0.5552548725637181,125.0,empirical_holdout_residuals,5296.0,0.6828175361832036,calculated,,2026-07-21T16:30:01Z,False,0.4166666666666667,0.0280784607696151,44.535179910044974,luke keaschall,75,Minnesota Twins,Cleveland Guardians,0.38873994638069703,0.38873994638069703,0.261,0.056005181055584774,0.06738830584707634,0.0481345041764831,0.012033626044120775,True,True,0.58,live_allowed_platform
a0c0ce58733013c8,2026-07-21,2026-07-21T23:10:00Z,BetMGM,betmgm,Pete Alonso,hitter_hits_runs_rbis,Over,1.5,-105,1.991,0.4788458134183041,0.4822304832713754,0.84,0.0,0.5177695167286245,107.0,empirical_holdout_residuals,5609.0,1.506715374037058,calculated,,2026-07-21T16:30:01Z,False,0.5121951219512195,-0.029964638679844,44.20037174721189,pete alonso,75,Baltimore Orioles,Boston Red Sox,0.48427672955974843,0.48427672955974843,0.4910000000000001,-0.0020462462883730215,-0.058502389803505195,0.0,0.0,True,True,0.58,live_allowed_platform
329cc91335def6ca,2026-07-21,2026-07-21T23:15:00Z,BetMGM,betmgm,Xander Bogaerts,hitter_hits,Under,0.5,140,0.92,0.4293478260869565,0.4406521739130435,0.84,0.0,0.5593478260869564,127.0,empirical_holdout_residuals,5296.0,0.6828175361832036,calculated,,2026-07-21T16:30:01Z,False,0.4166666666666667,0.0239855072463768,44.05630434782609,xander bogaerts,75,San Diego Padres,Atlanta Braves,0.38873994638069703,0.38873994638069703,0.42000000000000004,0.05191222753234648,0.05756521739130449,0.04111801242236035,0.010279503105590088,True,True,0.58,live_allowed_platform
a0c0ce58733013c8,2026-07-21,2026-07-21T23:10:00Z,BetMGM,betmgm,Taylor Ward,hitter_hits_runs_rbis,Over,1.5,-118,1.952,0.4698176668436891,0.4746468401486989,0.84,0.0,0.525353159851301,111.0,empirical_holdout_residuals,5609.0,1.506715374037058,calculated,,2026-07-21T16:30:01Z,False,0.5412844036697247,-0.0666375635210258,43.859107806691455,taylor ward,75,Baltimore Orioles,Boston Red Sox,0.5082034454470877,0.5082034454470877,0.45199999999999996,-0.03355660529838883,-0.12311007497952231,0.0,0.0,True,True,0.58,live_allowed_platform
329cc91335def6ca,2026-07-21,2026-07-21T23:15:00Z,BetMGM,betmgm,Fernando Tatis,hitter_hits_runs_rbis,Over,1.5,-160,1.941,0.4671623296158612,0.4724163568773234,0.84,0.0,0.5275836431226766,112.0,empirical_holdout_residuals,5609.0,1.506715374037058,calculated,,2026-07-21T16:30:01Z,False,0.6153846153846154,-0.142968258507292,43.75873605947955,fernando tatis,75,San Diego Padres,Atlanta Braves,0.5806451612903226,0.5806451612903226,0.44100000000000006,-0.1082288044129992,-0.23232342007434947,0.0,0.0,True,True,0.58,live_allowed_platform
a0c0ce58733013c8,2026-07-21,2026-07-21T23:10:00Z,BetMGM,betmgm,Wilyer Abreu,hitter_hits_runs_rbis,Over,1.5,-140,1.93,0.4657461497610196,0.4712267657992565,0.84,0.0,0.5287732342007435,112.0,empirical_holdout_residuals,5609.0,1.506715374037058,calculated,,2026-07-21T16:30:01Z,False,0.5833333333333334,-0.1121065675340768,43.70520446096654,wilyer abreu,75,Boston Red Sox,Baltimore Orioles,0.5445920303605313,0.5445920303605313,0.42999999999999994,-0.07336526456127479,-0.19218268720127457,0.0,0.0,True,True,0.58,live_allowed_platform
a0c0ce58733013c8,2026-07-21,2026-07-21T23:10:00Z,BetMGM,betmgm,Leody Taveras,hitter_hits,Under,0.5,130,0.654,0.4389055472263868,0.4486806596701649,0.84,0.0,0.5513193403298351,123.0,empirical_holdout_residuals,5296.0,0.6828175361832036,calculated,,2026-07-21T16:30:01Z,False,0.43478260869565216,0.0138980509745127,43.6495952023988,leody taveras,75,Baltimore Orioles,Boston Red Sox,0.4059040590405904,0.4059040590405904,0.15400000000000003,0.0427766006295745,0.031965517241379304,0.02458885941644562,0.006147214854111405,True,True,0.58,live_allowed_platform
38de409ea9f8c1c7,2026-07-21,2026-07-21T22:40:00Z,BetMGM,betmgm,Chase DeLauter,hitter_hits_runs_rbis,Over,1.5,-150,1.917,0.4636218799787573,0.4694423791821561,0.84,0.0,0.5305576208178439,113.0,empirical_holdout_residuals,5609.0,1.506715374037058,calculated,,2026-07-21T16:30:01Z,False,0.6,-0.1305576208178438,43.62490706319703,chase delauter,75,Cleveland Guardians,Minnesota Twins,0.5633187772925764,0.5633187772925764,0.41700000000000004,-0.09387639811042031,-0.2175960346964066,0.0,0.0,True,True,0.58,live_allowed_platform
38de409ea9f8c1c7,2026-07-21,2026-07-21T22:40:00Z,BetMGM,betmgm,Royce Lewis,hitter_hits,Under,0.5,135,0.884,0.4310344827586206,0.4420689655172413,0.84,0.0,0.5579310344827586,126.0,empirical_holdout_residuals,5296.0,0.6828175361832036,calculated,,2026-07-21T16:30:01Z,False,0.425531914893617,0.0165370506236243,43.55896551724137,royce lewis,75,Minnesota Twins,Cleveland Guardians,0.3959708232025009,0.3959708232025009,0.384,0.04609814231474041,0.03886206896551703,0.028786717752234833,0.007196679438058708,True,True,0.58,live_allowed_platform
329cc91335def6ca,2026-07-21,2026-07-21T23:15:00Z,BetMGM,betmgm,Ty France,hitter_hits_runs_rbis,Over,1.5,-110,1.9,0.4607895202690741,0.4670631970260223,0.84,0.0,0.5329368029739777,114.0,empirical_holdout_residuals,5609.0,1.506715374037058,calculated,,2026-07-21T16:30:01Z,False,0.5238095238095238,-0.0567463267835015,43.517843866171006,ty france,75,San Diego Padres,Atlanta Braves,0.49179655455291227,0.49179655455291227,0.3999999999999999,-0.024733357526889987,-0.10833389658668474,0.0,0.0,True,True,0.58,live_allowed_platform
