pitcher,projected_ks,line,over_prob,under_prob,fair_over_odds,fair_under_odds
Kumar Rocker,4.98,4.5,0.556,0.444,-125,125
Kumar Rocker,4.98,5.5,0.381,0.619,163,-163
Kumar Rocker,4.98,6.5,0.235,0.765,326,-326
Kumar Rocker,4.98,7.5,0.131,0.869,662,-662
Kumar Rocker,4.98,8.5,0.067,0.933,1397,-1397
Trey Yesavage,4.93,3.5,0.725,0.275,-263,263
Trey Yesavage,4.93,4.5,0.547,0.453,-121,121
Trey Yesavage,4.93,5.5,0.372,0.628,169,-169
Trey Yesavage,4.93,6.5,0.228,0.772,340,-340
Trey Yesavage,4.93,7.5,0.126,0.874,693,-693
Trey Yesavage,4.93,8.5,0.064,0.936,1473,-1473
Kyle Freeland,4.33,3.5,0.629,0.371,-169,169
Kyle Freeland,4.33,4.5,0.436,0.564,129,-129
Kyle Freeland,4.33,5.5,0.269,0.731,272,-272
Kyle Freeland,4.33,6.5,0.148,0.852,575,-575
Kyle Freeland,4.33,7.5,0.073,0.927,1261,-1261
Kyle Freeland,4.33,8.5,0.033,0.967,2929,-2929
Freddy Peralta,4.32,3.5,0.626,0.374,-167,167
Freddy Peralta,4.32,4.5,0.432,0.568,131,-131
Freddy Peralta,4.32,5.5,0.266,0.734,276,-276
Freddy Peralta,4.32,6.5,0.146,0.854,585,-585
Freddy Peralta,4.32,7.5,0.072,0.928,1286,-1286
Freddy Peralta,4.32,8.5,0.032,0.968,2997,-2997
Matthew Liberatore,4.31,3.5,0.624,0.376,-166,166
Matthew Liberatore,4.31,4.5,0.431,0.569,132,-132
Matthew Liberatore,4.31,5.5,0.265,0.735,278,-278
Matthew Liberatore,4.31,6.5,0.145,0.855,589,-589
Matthew Liberatore,4.31,7.5,0.072,0.928,1298,-1298
Matthew Liberatore,4.31,8.5,0.032,0.968,3027,-3027
Nick Lodolo,4.2,3.5,0.604,0.396,-152,152
Nick Lodolo,4.2,4.5,0.409,0.591,144,-144
Nick Lodolo,4.2,5.5,0.246,0.754,306,-306
Nick Lodolo,4.2,6.5,0.132,0.868,658,-658
Nick Lodolo,4.2,7.5,0.064,0.936,1472,-1472
Nick Lodolo,4.2,8.5,0.028,0.972,3503,-3503
Reynaldo López,4.15,3.5,0.596,0.404,-147,147
Reynaldo López,4.15,4.5,0.401,0.599,149,-149
Reynaldo López,4.15,5.5,0.239,0.761,318,-318
Reynaldo López,4.15,6.5,0.127,0.873,687,-687
Reynaldo López,4.15,7.5,0.061,0.939,1547,-1547
Reynaldo López,4.15,8.5,0.026,0.974,3711,-3711
Noah Cameron,4.11,3.5,0.587,0.413,-142,142
Noah Cameron,4.11,4.5,0.392,0.608,155,-155
Noah Cameron,4.11,5.5,0.232,0.768,331,-331
Noah Cameron,4.11,6.5,0.122,0.878,719,-719
Noah Cameron,4.11,7.5,0.058,0.942,1631,-1631
Noah Cameron,4.11,8.5,0.025,0.975,3945,-3945
Ryan Johnson,4.05,3.5,0.576,0.424,-136,136
Ryan Johnson,4.05,4.5,0.381,0.619,163,-163
Ryan Johnson,4.05,5.5,0.223,0.777,349,-349
Ryan Johnson,4.05,6.5,0.116,0.884,762,-762
Ryan Johnson,4.05,7.5,0.054,0.946,1746,-1746
Ryan Johnson,4.05,8.5,0.023,0.977,4269,-4269
Brandon Pfaadt,4.02,3.5,0.57,0.43,-133,133
Brandon Pfaadt,4.02,4.5,0.375,0.625,167,-167
Brandon Pfaadt,4.02,5.5,0.218,0.782,359,-359
Brandon Pfaadt,4.02,6.5,0.113,0.887,787,-787
Brandon Pfaadt,4.02,7.5,0.052,0.948,1811,-1811
Brandon Pfaadt,4.02,8.5,0.022,0.978,4453,-4453
Tyler Mahle,3.78,3.5,0.522,0.478,-109,109
Tyler Mahle,3.78,4.5,0.328,0.672,205,-205
Tyler Mahle,3.78,5.5,0.181,0.819,451,-451
Tyler Mahle,3.78,6.5,0.089,0.911,1023,-1023
Tyler Mahle,3.78,7.5,0.039,0.961,2458,-2458
Tyler Mahle,3.78,8.5,0.016,0.984,6349,-6349
Javier Assad,3.37,3.5,0.436,0.564,129,-129
Javier Assad,3.37,4.5,0.251,0.749,298,-298
Javier Assad,3.37,5.5,0.126,0.874,692,-692
Javier Assad,3.37,6.5,0.056,0.944,1685,-1685
Javier Assad,3.37,7.5,0.022,0.978,4408,-4408
Javier Assad,3.37,8.5,0.008,0.992,12534,-12534
Bubba Chandler,3.15,3.5,0.387,0.613,158,-158
Bubba Chandler,3.15,4.5,0.211,0.789,374,-374
Bubba Chandler,3.15,5.5,0.1,0.9,899,-899
Bubba Chandler,3.15,6.5,0.042,0.958,2291,-2291
Bubba Chandler,3.15,7.5,0.016,0.984,6327,-6327
Bubba Chandler,3.15,8.5,0.005,0.995,19094,-19094
Tanner Bibee,3.08,3.5,0.371,0.629,170,-170
