date,game_id,team,opponent,side,pitcher_id,pitcher_name,status,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops,last5_avg_ks,last5_avg_ip,last5_avg_hits,last5_avg_walks,last5_avg_er,last3_avg_ks,last3_avg_ip
2026-07-01,824818,Chicago White Sox,Baltimore Orioles,away,702273,Noah Schultz,Final,9.074468085106384,4.553191489361702,7.914893617021277,3.851063829787234,0.238,0.32,0.396,0.716,,,,,,,
2026-07-01,824818,Baltimore Orioles,Chicago White Sox,home,665152,Dean Kremer,Final,8.956521739130435,4.673913043478261,7.989130434782608,3.391304347826087,0.239,0.318,0.409,0.727,,,,,,,
2026-07-01,824419,Texas Rangers,Cleveland Guardians,away,669022,MacKenzie Gore,Final,8.340425531914894,3.9680851063829774,7.5,3.702127659574468,0.228,0.31,0.369,0.679,,,,,,,
2026-07-01,824419,Cleveland Guardians,Texas Rangers,home,676282,Joey Cantillo,Final,8.347826086956522,4.086956521739131,8.108695652173912,3.2934782608695654,0.243,0.319,0.392,0.711,,,,,,,
2026-07-01,824740,Washington Nationals,Boston Red Sox,away,695418,Brad Lord,Final,8.241758241758241,4.087912087912088,8.164835164835164,2.989010989010989,0.244,0.314,0.387,0.701,,,,,,,
2026-07-01,824740,Boston Red Sox,Washington Nationals,home,801139,Payton Tolle,Final,8.26595744680851,5.404255319148936,8.606382978723405,3.4468085106382977,0.251,0.325,0.435,0.76,,,,,,,
2026-07-01,823530,Detroit Tigers,New York Yankees,away,675512,Troy Melton,Final,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312,0.235,0.316,0.42,0.736,,,,,,,
2026-07-01,823530,New York Yankees,Detroit Tigers,home,701542,Will Warren,Final,8.684782608695652,4.25,7.869565217391305,3.619565217391304,0.236,0.315,0.398,0.713,,,,,,,
2026-07-01,824660,San Diego Padres,Chicago Cubs,away,621111,Walker Buehler,Final,8.365591397849462,5.064516129032258,8.344086021505376,4.365591397849462,0.244,0.337,0.412,0.749,,,,,,,
2026-07-01,824660,Chicago Cubs,San Diego Padres,home,607067,Colin Rea,Final,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674,,,,,,,
2026-07-01,822791,New York Mets,Toronto Blue Jays,away,642547,Freddy Peralta,Final,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245,0.244,0.305,0.383,0.688,,,,,,,
2026-07-01,822791,Toronto Blue Jays,New York Mets,home,680755,Braydon Fisher,Final,8.212765957446809,4.191489361702128,7.8936170212765955,3.0851063829787235,0.235,0.304,0.383,0.687,,,,,,,
2026-07-01,823446,Pittsburgh Pirates,Philadelphia Phillies,away,694973,Paul Skenes,Final,8.774193548387096,4.43010752688172,8.010752688172044,2.989247311827957,0.238,0.305,0.404,0.709,,,,,,,
2026-07-01,823446,Philadelphia Phillies,Pittsburgh Pirates,home,554430,Zack Wheeler,Final,9.382978723404255,5.23404255319149,9.117021276595745,3.787234042553192,0.262,0.34,0.423,0.763,,,,,,,
2026-07-01,824905,St. Louis Cardinals,Atlanta Braves,away,700241,Michael McGreevy,Final,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728,,,,,,,
2026-07-01,824905,Atlanta Braves,St. Louis Cardinals,home,625643,Reynaldo López,Final,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715,,,,,,,
2026-07-01,824094,Tampa Bay Rays,Kansas City Royals,away,663556,Shane McClanahan,Final,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511,0.247,0.318,0.398,0.716,,,,,,,
2026-07-01,824094,Kansas City Royals,Tampa Bay Rays,home,607625,Seth Lugo,Final,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383,0.258,0.334,0.396,0.73,,,,,,,
2026-07-01,824174,Minnesota Twins,Houston Astros,away,671737,Taj Bradley,Final,8.189473684210526,4.547368421052632,8.105263157894736,3.284210526315789,0.241,0.315,0.41,0.725,,,,,,,
2026-07-01,824174,Houston Astros,Minnesota Twins,home,837227,Tatsuya Imai,Final,8.319148936170214,4.882978723404255,8.361702127659575,3.3297872340425534,0.247,0.322,0.414,0.736,,,,,,,
2026-07-01,823767,Cincinnati Reds,Milwaukee Brewers,away,671096,Andrew Abbott,Final,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305,0.255,0.337,0.397,0.734,,,,,,,
2026-07-01,823767,Milwaukee Brewers,Cincinnati Reds,home,675660,Shane Drohan,Final,9.472527472527473,4.21978021978022,7.637362637362638,3.758241758241758,0.228,0.31,0.392,0.702,,,,,,,
2026-07-01,824337,Miami Marlins,Colorado Rockies,away,676974,Max Meyer,Final,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466,0.257,0.328,0.424,0.752,,,,,,,
2026-07-01,824337,Colorado Rockies,Miami Marlins,home,607536,Kyle Freeland,Final,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742,,,,,,,
2026-07-01,824985,Athletics,Los Angeles Dodgers,home,669372,J.T. Ginn,Final,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383,0.264,0.346,0.437,0.783,,,,,,,
2026-07-01,825064,San Francisco Giants,Arizona Diamondbacks,away,686790,Trevor McDonald,Final,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69,,,,,,,
2026-07-01,825064,Arizona Diamondbacks,San Francisco Giants,home,668678,Zac Gallen,Final,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696,0.254,0.307,0.418,0.725,,,,,,,
2026-07-02,823442,Pittsburgh Pirates,Philadelphia Phillies,away,683003,Jared Jones,Final,8.774193548387096,4.43010752688172,8.010752688172044,2.989247311827957,0.238,0.305,0.404,0.709,,,,,,,
2026-07-02,823442,Philadelphia Phillies,Pittsburgh Pirates,home,660604,Alan Rangel,Final,9.382978723404255,5.23404255319149,9.117021276595745,3.787234042553192,0.262,0.34,0.423,0.763,,,,,,,
2026-07-02,823765,Cincinnati Reds,Milwaukee Brewers,away,695505,Chase Burns,Final,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305,0.255,0.337,0.397,0.734,,,,,,,
2026-07-02,823765,Milwaukee Brewers,Cincinnati Reds,home,694819,Jacob Misiorowski,Final,9.472527472527473,4.21978021978022,7.637362637362638,3.758241758241758,0.228,0.31,0.392,0.702,,,,,,,
2026-07-02,824335,Miami Marlins,Colorado Rockies,away,687473,Ryan Gusto,Final,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466,0.257,0.328,0.424,0.752,,,,,,,
2026-07-02,824335,Colorado Rockies,Miami Marlins,home,547179,Michael Lorenzen,Final,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742,,,,,,,
2026-07-02,824416,Chicago White Sox,Cleveland Guardians,away,663436,Davis Martin,Final,8.340425531914894,3.9680851063829774,7.5,3.702127659574468,0.228,0.31,0.369,0.679,,,,,,,
2026-07-02,824416,Cleveland Guardians,Chicago White Sox,home,677944,Slade Cecconi,Final,8.956521739130435,4.673913043478261,7.989130434782608,3.391304347826087,0.239,0.318,0.409,0.727,,,,,,,
2026-07-02,824906,St. Louis Cardinals,Atlanta Braves,away,669160,Dustin May,Final,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728,,,,,,,
2026-07-02,824906,Atlanta Braves,St. Louis Cardinals,home,694462,Hurston Waldrep,Final,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715,,,,,,,
2026-07-02,824093,Tampa Bay Rays,Kansas City Royals,away,693855,Ian Seymour,Final,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511,0.247,0.318,0.398,0.716,,,,,,,
2026-07-02,824093,Kansas City Royals,Tampa Bay Rays,home,663568,Stephen Kolek,Final,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383,0.258,0.334,0.396,0.73,,,,,,,
2026-07-02,822884,Detroit Tigers,Texas Rangers,away,664285,Framber Valdez,Final,8.347826086956522,4.086956521739131,8.108695652173912,3.2934782608695654,0.243,0.319,0.392,0.711,,,,,,,
