date,game_id,team,opponent,side,is_home,pitcher_id,pitcher_name,opposing_pitcher_id,opposing_pitcher_name,status,status_code,venue_id,venue,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops
2026-03-26,824704,Washington Nationals,Chicago Cubs,away,0.0,676917,Cade Cavalli,571510.0,Matthew Boyd,Final,F,17.0,Wrigley Field,8.365591397849462,5.064516129032258,8.344086021505376,4.365591397849462,0.244,0.337,0.412,0.749
2026-03-26,824704,Chicago Cubs,Washington Nationals,home,1.0,571510,Matthew Boyd,676917.0,Cade Cavalli,Final,F,17.0,Wrigley Field,8.26595744680851,5.404255319148936,8.606382978723405,3.4468085106382977,0.251,0.325,0.435,0.76
2026-03-26,824865,Minnesota Twins,Baltimore Orioles,away,0.0,657746,Joe Ryan,669432.0,Trevor Rogers,Final,F,2.0,Oriole Park at Camden Yards,9.074468085106384,4.553191489361702,7.914893617021277,3.851063829787234,0.238,0.32,0.396,0.716
2026-03-26,824865,Baltimore Orioles,Minnesota Twins,home,1.0,669432,Trevor Rogers,657746.0,Joe Ryan,Final,F,2.0,Oriole Park at Camden Yards,8.319148936170214,4.882978723404255,8.361702127659575,3.3297872340425534,0.247,0.322,0.414,0.736
2026-03-27,822839,Athletics,Toronto Blue Jays,away,0.0,622663,Luis Severino,592332.0,Kevin Gausman,Final,F,14.0,Rogers Centre,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245,0.244,0.305,0.383,0.688
2026-03-27,822839,Toronto Blue Jays,Athletics,home,1.0,592332,Kevin Gausman,622663.0,Luis Severino,Final,F,14.0,Rogers Centre,8.75,4.554347826086956,8.423913043478262,3.630434782608696,0.247,0.325,0.407,0.732
2026-03-27,823162,Cleveland Guardians,Seattle Mariners,away,0.0,668909,Gavin Williams,669923.0,George Kirby,Final,F,680.0,T-Mobile Park,8.688172043010752,4.053763440860215,7.623655913978495,3.3225806451612905,0.23,0.311,0.379,0.69
2026-03-27,823162,Seattle Mariners,Cleveland Guardians,home,1.0,669923,George Kirby,668909.0,Gavin Williams,Final,F,680.0,T-Mobile Park,8.340425531914894,3.9680851063829783,7.5,3.702127659574468,0.228,0.31,0.369,0.679
2026-03-27,823243,New York Yankees,San Francisco Giants,away,0.0,693645,Cam Schlittler,592662.0,Robbie Ray,Final,F,2395.0,Oracle Park,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696,0.254,0.307,0.418,0.725
2026-03-27,823243,San Francisco Giants,New York Yankees,home,1.0,592662,Robbie Ray,693645.0,Cam Schlittler,Final,F,2395.0,Oracle Park,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312,0.235,0.316,0.42,0.736
