date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,away,592885,Christian Yelich,1,DH,In Progress
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,away,694192,Jackson Chourio,2,LF,In Progress
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,away,668930,Brice Turang,3,2B,In Progress
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,away,641343,Jake Bauers,4,1B,In Progress
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,away,596142,Gary Sánchez,5,C,In Progress
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,away,669003,Garrett Mitchell,6,CF,In Progress
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,away,686217,Sal Frelick,7,RF,In Progress
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,away,687401,Joey Ortiz,8,SS,In Progress
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,away,669699,Braden Shewmake,9,3B,In Progress
2026-07-12,823358,Pittsburgh Pirates,Milwaukee Brewers,home,663968,Jake Mangum,1,CF,In Progress
2026-07-12,823358,Pittsburgh Pirates,Milwaukee Brewers,home,664040,Brandon Lowe,2,2B,In Progress
2026-07-12,823358,Pittsburgh Pirates,Milwaukee Brewers,home,668804,Bryan Reynolds,3,LF,In Progress
2026-07-12,823358,Pittsburgh Pirates,Milwaukee Brewers,home,699013,Esmerlyn Valdez,4,RF,In Progress
2026-07-12,823358,Pittsburgh Pirates,Milwaukee Brewers,home,656811,Ryan O'Hearn,5,1B,In Progress
2026-07-12,823358,Pittsburgh Pirates,Milwaukee Brewers,home,693304,Nick Gonzales,6,3B,In Progress
2026-07-12,823358,Pittsburgh Pirates,Milwaukee Brewers,home,542303,Marcell Ozuna,7,DH,In Progress
2026-07-12,823358,Pittsburgh Pirates,Milwaukee Brewers,home,669707,Jared Triolo,8,SS,In Progress
2026-07-12,823358,Pittsburgh Pirates,Milwaukee Brewers,home,680779,Henry Davis,9,C,In Progress
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,away,695600,Carter Jensen,1,C,Warmup
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,away,677951,Bobby Witt Jr.,2,SS,Warmup
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,away,695506,Jac Caglianone,3,RF,Warmup
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,away,657041,Lane Thomas,4,CF,Warmup
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,away,686469,Vinnie Pasquantino,5,DH,Warmup
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,away,521692,Salvador Perez,6,1B,Warmup
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,away,686681,Michael Massey,7,2B,Warmup
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,away,668942,Josh Rojas,8,3B,Warmup
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,away,686555,Isaac Collins,9,LF,Warmup
2026-07-12,824814,Baltimore Orioles,Kansas City Royals,home,683002,Gunnar Henderson,1,SS,Warmup
2026-07-12,824814,Baltimore Orioles,Kansas City Royals,home,621493,Taylor Ward,2,DH,Warmup
2026-07-12,824814,Baltimore Orioles,Kansas City Royals,home,687637,Dylan Beavers,3,LF,Warmup
2026-07-12,824814,Baltimore Orioles,Kansas City Royals,home,624413,Pete Alonso,4,1B,Warmup
2026-07-12,824814,Baltimore Orioles,Kansas City Royals,home,694212,Samuel Basallo,5,C,Warmup
2026-07-12,824814,Baltimore Orioles,Kansas City Royals,home,677942,Blaze Alexander,6,3B,Warmup
2026-07-12,824814,Baltimore Orioles,Kansas City Royals,home,681297,Colton Cowser,7,CF,Warmup
2026-07-12,824814,Baltimore Orioles,Kansas City Royals,home,665750,Leody Taveras,8,RF,Warmup
2026-07-12,824814,Baltimore Orioles,Kansas City Royals,home,702616,Jackson Holliday,9,2B,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,away,663757,Trent Grisham,1,CF,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,away,700250,Ben Rice,2,1B,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,away,691176,Jasson Domínguez,3,DH,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,away,641355,Cody Bellinger,4,LF,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,away,665862,Jazz Chisholm Jr.,5,2B,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,away,676609,José Caballero,6,SS,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,away,641857,Ryan McMahon,7,3B,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,away,669224,Austin Wells,8,C,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,away,680474,Max Schuemann,9,RF,Warmup
2026-07-12,822708,Washington Nationals,New York Yankees,home,695578,James Wood,1,RF,Warmup
2026-07-12,822708,Washington Nationals,New York Yankees,home,671277,Luis García Jr.,2,1B,Warmup
2026-07-12,822708,Washington Nationals,New York Yankees,home,694673,Abimelec Ortiz,3,DH,Warmup
2026-07-12,822708,Washington Nationals,New York Yankees,home,682928,CJ Abrams,4,SS,Warmup
2026-07-12,822708,Washington Nationals,New York Yankees,home,686611,Dylan Crews,5,CF,Warmup
2026-07-12,822708,Washington Nationals,New York Yankees,home,695734,Daylen Lile,6,LF,Warmup
2026-07-12,822708,Washington Nationals,New York Yankees,home,677588,José Tena,7,2B,Warmup
2026-07-12,822708,Washington Nationals,New York Yankees,home,678391,Jorbit Vivas,8,3B,Warmup
2026-07-12,822708,Washington Nationals,New York Yankees,home,660688,Keibert Ruiz,9,C,Warmup
2026-07-12,824491,Chicago Cubs,Cincinnati Reds,away,691718,Pete Crow-Armstrong,1,CF,Pre-Game
2026-07-12,824491,Chicago Cubs,Cincinnati Reds,away,673548,Seiya Suzuki,2,RF,Pre-Game
2026-07-12,824491,Chicago Cubs,Cincinnati Reds,away,608324,Alex Bregman,3,3B,Pre-Game
2026-07-12,824491,Chicago Cubs,Cincinnati Reds,away,608348,Carson Kelly,4,C,Pre-Game
2026-07-12,824491,Chicago Cubs,Cincinnati Reds,away,683737,Michael Busch,5,1B,Pre-Game
2026-07-12,824491,Chicago Cubs,Cincinnati Reds,away,663538,Nico Hoerner,6,2B,Pre-Game
