date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,away,671739,Michael Harris II,1,CF,Final
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,away,645277,Ozzie Albies,2,2B,Final
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,away,621566,Matt Olson,3,1B,Final
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,away,686948,Drake Baldwin,4,C,Final
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,away,643289,Mauricio Dubón,5,LF,Final
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,away,642086,Dominic Smith,6,DH,Final
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,away,663586,Austin Riley,7,3B,Final
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,away,573262,Mike Yastrzemski,8,RF,Final
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,away,805347,Jim Jarvis,9,SS,Final
2026-07-09,823359,Pittsburgh Pirates,Atlanta Braves,home,663968,Jake Mangum,1,CF,Final
2026-07-09,823359,Pittsburgh Pirates,Atlanta Braves,home,664040,Brandon Lowe,2,2B,Final
2026-07-09,823359,Pittsburgh Pirates,Atlanta Braves,home,668804,Bryan Reynolds,3,LF,Final
2026-07-09,823359,Pittsburgh Pirates,Atlanta Braves,home,699013,Esmerlyn Valdez,4,RF,Final
2026-07-09,823359,Pittsburgh Pirates,Atlanta Braves,home,656811,Ryan O'Hearn,5,DH,Final
2026-07-09,823359,Pittsburgh Pirates,Atlanta Braves,home,693304,Nick Gonzales,6,3B,Final
2026-07-09,823359,Pittsburgh Pirates,Atlanta Braves,home,682997,Tyler Callihan,7,1B,Final
2026-07-09,823359,Pittsburgh Pirates,Atlanta Braves,home,804668,Rafael Flores Jr.,8,C,Final
2026-07-09,823359,Pittsburgh Pirates,Atlanta Braves,home,669707,Jared Triolo,9,SS,Final
2026-07-09,823606,Kansas City Royals,New York Mets,away,657041,Lane Thomas,1,CF,Final
2026-07-09,823606,Kansas City Royals,New York Mets,away,677951,Bobby Witt Jr.,2,SS,Final
2026-07-09,823606,Kansas City Royals,New York Mets,away,521692,Salvador Perez,3,1B,Final
2026-07-09,823606,Kansas City Royals,New York Mets,away,668942,Josh Rojas,4,PH,Final
2026-07-09,823606,Kansas City Royals,New York Mets,away,679845,Nick Loftin,5,3B,Final
2026-07-09,823606,Kansas City Royals,New York Mets,away,695506,Jac Caglianone,6,RF,Final
2026-07-09,823606,Kansas City Royals,New York Mets,away,686555,Isaac Collins,7,LF,Final
2026-07-09,823606,Kansas City Royals,New York Mets,away,686475,Tyler Tolbert,8,2B,Final
2026-07-09,823606,Kansas City Royals,New York Mets,away,695600,Carter Jensen,9,C,Final
2026-07-09,823606,New York Mets,Kansas City Royals,home,805999,A.J. Ewing,1,CF,Final
2026-07-09,823606,New York Mets,Kansas City Royals,home,665742,Juan Soto,2,LF,Final
2026-07-09,823606,New York Mets,Kansas City Royals,home,666182,Bo Bichette,3,3B,Final
2026-07-09,823606,New York Mets,Kansas City Royals,home,701807,Carson Benge,4,RF,Final
2026-07-09,823606,New York Mets,Kansas City Royals,home,682626,Francisco Alvarez,5,DH,Final
2026-07-09,823606,New York Mets,Kansas City Royals,home,676724,Jared Young,6,1B,Final
2026-07-09,823606,New York Mets,Kansas City Royals,home,596019,Francisco Lindor,7,SS,Final
2026-07-09,823606,New York Mets,Kansas City Royals,home,683146,Brett Baty,8,2B,Final
2026-07-09,823606,New York Mets,Kansas City Royals,home,620443,Luis Torrens,9,C,Final
2026-07-09,822954,New York Yankees,Tampa Bay Rays,away,663757,Trent Grisham,1,CF,Final
2026-07-09,822954,New York Yankees,Tampa Bay Rays,away,700250,Ben Rice,2,DH,Final
2026-07-09,822954,New York Yankees,Tampa Bay Rays,away,691176,Jasson Domínguez,3,RF,Final
2026-07-09,822954,New York Yankees,Tampa Bay Rays,away,641355,Cody Bellinger,4,1B,Final
2026-07-09,822954,New York Yankees,Tampa Bay Rays,away,676609,José Caballero,5,SS,Final
