date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status
2026-07-14,823443,American League All-Stars,National League All-Stars,away,545361,Mike Trout,1,CF,Pre-Game
2026-07-14,823443,American League All-Stars,National League All-Stars,away,670541,Yordan Alvarez,2,DH,Pre-Game
2026-07-14,823443,American League All-Stars,National League All-Stars,away,669127,Shea Langeliers,3,C,Pre-Game
2026-07-14,823443,American League All-Stars,National League All-Stars,away,691406,Junior Caminero,4,3B,Pre-Game
2026-07-14,823443,American League All-Stars,National League All-Stars,away,677951,Bobby Witt Jr.,5,SS,Pre-Game
2026-07-14,823443,American League All-Stars,National League All-Stars,away,641355,Cody Bellinger,6,RF,Pre-Game
2026-07-14,823443,American League All-Stars,National League All-Stars,away,700250,Ben Rice,7,1B,Pre-Game
2026-07-14,823443,American League All-Stars,National League All-Stars,away,682985,Riley Greene,8,LF,Pre-Game
2026-07-14,823443,American League All-Stars,National League All-Stars,away,676391,Ernie Clement,9,2B,Pre-Game
2026-07-14,823443,National League All-Stars,American League All-Stars,home,656941,Kyle Schwarber,1,DH,Pre-Game
2026-07-14,823443,National League All-Stars,American League All-Stars,home,665742,Juan Soto,2,LF,Pre-Game
2026-07-14,823443,National League All-Stars,American League All-Stars,home,518692,Freddie Freeman,3,1B,Pre-Game
2026-07-14,823443,National League All-Stars,American League All-Stars,home,682928,CJ Abrams,4,SS,Pre-Game
2026-07-14,823443,National League All-Stars,American League All-Stars,home,571970,Max Muncy,5,3B,Pre-Game
2026-07-14,823443,National League All-Stars,American League All-Stars,home,645277,Ozzie Albies,6,2B,Pre-Game
2026-07-14,823443,National League All-Stars,American League All-Stars,home,669016,Brandon Marsh,7,RF,Pre-Game
2026-07-14,823443,National League All-Stars,American League All-Stars,home,681624,Andy Pages,8,CF,Pre-Game
2026-07-14,823443,National League All-Stars,American League All-Stars,home,686948,Drake Baldwin,9,C,Pre-Game
