date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status,lineup_status,lineup_source,home_team,away_team,venue,game_datetime
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,away,606466,Ketel Marte,1,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,away,672695,Geraldo Perdomo,2,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,away,672515,Gabriel Moreno,3,C,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,away,596146,Max Kepler,4,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,away,682988,Tyler Locklear,5,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,away,678489,Jorge Barrosa,6,PR,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,away,694374,Tim Tawa,7,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,away,545121,Ildemaro Vargas,8,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,away,571448,Nolan Arenado,9,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,home,695578,James Wood,1,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,home,671277,Luis García Jr.,2,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,home,678554,Curtis Mead,3,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,home,682928,CJ Abrams,4,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,home,686611,Dylan Crews,5,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,home,695734,Daylen Lile,6,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,home,696285,Jacob Young,7,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,home,660688,Keibert Ruiz,8,C,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822707,Washington Nationals,Arizona Diamondbacks,home,683083,Nasim Nuñez,9,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Washington Nationals,Arizona Diamondbacks,Nationals Park,2026-07-24T22:45:00Z
2026-07-24,822872,Seattle Mariners,Texas Rangers,away,668227,Randy Arozarena,1,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Seattle Mariners,Texas Rangers,away,686527,Dominic Canzone,2,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Seattle Mariners,Texas Rangers,away,677594,Julio Rodríguez,3,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Seattle Mariners,Texas Rangers,away,702284,Cole Young,4,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Seattle Mariners,Texas Rangers,away,663728,Cal Raleigh,5,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Seattle Mariners,Texas Rangers,away,647304,Josh Naylor,6,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Seattle Mariners,Texas Rangers,away,642215,Weston Wilson,7,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Seattle Mariners,Texas Rangers,away,645302,Victor Robles,8,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Seattle Mariners,Texas Rangers,away,806068,Colt Emerson,9,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Texas Rangers,Seattle Mariners,home,694671,Wyatt Langford,1,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Texas Rangers,Seattle Mariners,home,679822,Justin Foscue,2,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Texas Rangers,Seattle Mariners,home,607043,Brandon Nimmo,3,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Texas Rangers,Seattle Mariners,home,669394,Jake Burger,4,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Texas Rangers,Seattle Mariners,home,677649,Ezequiel Duran,5,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Texas Rangers,Seattle Mariners,home,695508,Cam Cauley,6,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Texas Rangers,Seattle Mariners,home,670032,Nicky Lopez,7,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Texas Rangers,Seattle Mariners,home,696030,Alejandro Osuna,8,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822872,Texas Rangers,Seattle Mariners,home,553869,Elias Díaz,9,C,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Texas Rangers,Seattle Mariners,Globe Life Field,2026-07-25T00:05:00Z
2026-07-24,822952,Cleveland Guardians,Tampa Bay Rays,away,680757,Steven Kwan,1,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Tampa Bay Rays,Cleveland Guardians,Tropicana Field,2026-07-24T23:10:00Z
2026-07-24,822952,Cleveland Guardians,Tampa Bay Rays,away,800050,Chase DeLauter,2,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Tampa Bay Rays,Cleveland Guardians,Tropicana Field,2026-07-24T23:10:00Z
2026-07-24,822952,Cleveland Guardians,Tampa Bay Rays,away,677587,Brayan Rocchio,3,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Tampa Bay Rays,Cleveland Guardians,Tropicana Field,2026-07-24T23:10:00Z
2026-07-24,822952,Cleveland Guardians,Tampa Bay Rays,away,683953,Travis Bazzana,4,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Tampa Bay Rays,Cleveland Guardians,Tropicana Field,2026-07-24T23:10:00Z
2026-07-24,822952,Cleveland Guardians,Tampa Bay Rays,away,700932,Kyle Manzardo,5,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Tampa Bay Rays,Cleveland Guardians,Tropicana Field,2026-07-24T23:10:00Z
2026-07-24,822952,Cleveland Guardians,Tampa Bay Rays,away,672356,Gabriel Arias,6,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Tampa Bay Rays,Cleveland Guardians,Tropicana Field,2026-07-24T23:10:00Z
2026-07-24,822952,Cleveland Guardians,Tampa Bay Rays,away,682177,Daniel Schneemann,7,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Tampa Bay Rays,Cleveland Guardians,Tropicana Field,2026-07-24T23:10:00Z
