date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status
2026-07-10,824252,Philadelphia Phillies,Detroit Tigers,away,607208,Trea Turner,1,SS,Final
2026-07-10,824252,Philadelphia Phillies,Detroit Tigers,away,656941,Kyle Schwarber,2,DH,Final
2026-07-10,824252,Philadelphia Phillies,Detroit Tigers,away,547180,Bryce Harper,3,1B,Final
2026-07-10,824252,Philadelphia Phillies,Detroit Tigers,away,669016,Brandon Marsh,4,LF,Final
2026-07-10,824252,Philadelphia Phillies,Detroit Tigers,away,664761,Alec Bohm,5,3B,Final
2026-07-10,824252,Philadelphia Phillies,Detroit Tigers,away,681082,Bryson Stott,6,2B,Final
2026-07-10,824252,Philadelphia Phillies,Detroit Tigers,away,687282,Gabriel Rincones Jr.,7,RF,Final
2026-07-10,824252,Philadelphia Phillies,Detroit Tigers,away,656537,Derek Hill,8,CF,Final
2026-07-10,824252,Philadelphia Phillies,Detroit Tigers,away,665561,Rafael Marchán,9,C,Final
2026-07-10,824252,Detroit Tigers,Philadelphia Phillies,home,805808,Kevin McGonigle,1,SS,Final
2026-07-10,824252,Detroit Tigers,Philadelphia Phillies,home,690993,Colt Keith,2,3B,Final
2026-07-10,824252,Detroit Tigers,Philadelphia Phillies,home,701162,Ben Malgeri,3,LF,Final
2026-07-10,824252,Detroit Tigers,Philadelphia Phillies,home,679529,Spencer Torkelson,4,1B,Final
2026-07-10,824252,Detroit Tigers,Philadelphia Phillies,home,663837,Matt Vierling,5,RF,Final
2026-07-10,824252,Detroit Tigers,Philadelphia Phillies,home,680664,Eduardo Valencia,6,DH,Final
2026-07-10,824252,Detroit Tigers,Philadelphia Phillies,home,656716,Zach McKinstry,7,2B,Final
2026-07-10,824252,Detroit Tigers,Philadelphia Phillies,home,681546,James Outman,8,CF,Final
2026-07-10,824252,Detroit Tigers,Philadelphia Phillies,home,668670,Jake Rogers,9,C,Final
2026-07-10,822709,New York Yankees,Washington Nationals,away,683011,Anthony Volpe,1,SS,In Progress
2026-07-10,822709,New York Yankees,Washington Nationals,away,700250,Ben Rice,2,DH,In Progress
2026-07-10,822709,New York Yankees,Washington Nationals,away,663757,Trent Grisham,3,CF,In Progress
2026-07-10,822709,New York Yankees,Washington Nationals,away,502671,Paul Goldschmidt,4,1B,In Progress
