date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status
2026-07-11,824576,Chicago White Sox,Athletics,home,678577,Junior Perez,8,CF,Warmup
2026-07-11,824576,Chicago White Sox,Athletics,home,691011,Drew Romo,9,C,Warmup
2026-07-11,823198,Colorado Rockies,San Francisco Giants,away,664983,Jake McCarthy,1,CF,Pre-Game
2026-07-11,823198,Colorado Rockies,San Francisco Giants,away,666160,Mickey Moniak,2,LF,Pre-Game
2026-07-11,823198,Colorado Rockies,San Francisco Giants,away,696100,Hunter Goodman,3,DH,Pre-Game
2026-07-11,823198,Colorado Rockies,San Francisco Giants,away,681198,TJ Rumfield,4,1B,Pre-Game
2026-07-11,823198,Colorado Rockies,San Francisco Giants,away,691720,Kyle Karros,5,3B,Pre-Game
2026-07-11,823198,Colorado Rockies,San Francisco Giants,away,687859,Troy Johnston,6,RF,Pre-Game
2026-07-11,823198,Colorado Rockies,San Francisco Giants,away,666397,Edouard Julien,7,2B,Pre-Game
2026-07-11,823198,Colorado Rockies,San Francisco Giants,away,678662,Ezequiel Tovar,8,SS,Pre-Game
2026-07-11,823198,Colorado Rockies,San Francisco Giants,away,664954,Brett Sullivan,9,C,Pre-Game
2026-07-11,823198,San Francisco Giants,Colorado Rockies,home,671218,Heliot Ramos,1,LF,Pre-Game
2026-07-11,823198,San Francisco Giants,Colorado Rockies,home,650333,Luis Arraez,2,2B,Pre-Game
2026-07-11,823198,San Francisco Giants,Colorado Rockies,home,669477,Casey Schmitt,3,3B,Pre-Game
2026-07-11,823198,San Francisco Giants,Colorado Rockies,home,646240,Rafael Devers,4,1B,Pre-Game
2026-07-11,823198,San Francisco Giants,Colorado Rockies,home,642715,Willy Adames,5,SS,Pre-Game
2026-07-11,823198,San Francisco Giants,Colorado Rockies,home,805811,Bryce Eldridge,6,DH,Pre-Game
2026-07-11,823198,San Francisco Giants,Colorado Rockies,home,808982,Jung Hoo Lee,7,RF,Pre-Game
2026-07-11,823198,San Francisco Giants,Colorado Rockies,home,683679,Jesus Rodriguez,8,C,Pre-Game
2026-07-11,823198,San Francisco Giants,Colorado Rockies,home,687551,Drew Gilbert,9,CF,Pre-Game
2026-07-11,822711,New York Yankees,Washington Nationals,away,642708,Amed Rosario,1,3B,Pre-Game
2026-07-11,822711,New York Yankees,Washington Nationals,away,700250,Ben Rice,2,DH,Pre-Game
2026-07-11,822711,New York Yankees,Washington Nationals,away,663757,Trent Grisham,3,CF,Pre-Game
2026-07-11,822711,New York Yankees,Washington Nationals,away,502671,Paul Goldschmidt,4,1B,Pre-Game
2026-07-11,822711,New York Yankees,Washington Nationals,away,641355,Cody Bellinger,5,LF,Pre-Game
2026-07-11,822711,New York Yankees,Washington Nationals,away,691176,Jasson Domínguez,6,RF,Pre-Game
2026-07-11,822711,New York Yankees,Washington Nationals,away,665862,Jazz Chisholm Jr.,7,2B,Pre-Game
2026-07-11,822711,New York Yankees,Washington Nationals,away,683011,Anthony Volpe,8,SS,Pre-Game
2026-07-11,822711,New York Yankees,Washington Nationals,away,645305,Ali Sánchez,9,C,Pre-Game
2026-07-11,822711,Washington Nationals,New York Yankees,home,695578,James Wood,1,RF,Pre-Game
2026-07-11,822711,Washington Nationals,New York Yankees,home,671277,Luis García Jr.,2,DH,Pre-Game
2026-07-11,822711,Washington Nationals,New York Yankees,home,678554,Curtis Mead,3,1B,Pre-Game
2026-07-11,822711,Washington Nationals,New York Yankees,home,682928,CJ Abrams,4,SS,Pre-Game
2026-07-11,822711,Washington Nationals,New York Yankees,home,695734,Daylen Lile,5,LF,Pre-Game
2026-07-11,822711,Washington Nationals,New York Yankees,home,686611,Dylan Crews,6,CF,Pre-Game
2026-07-11,822711,Washington Nationals,New York Yankees,home,678391,Jorbit Vivas,7,3B,Pre-Game
2026-07-11,822711,Washington Nationals,New York Yankees,home,686452,Drew Millas,8,C,Pre-Game
2026-07-11,822711,Washington Nationals,New York Yankees,home,683083,Nasim Nuñez,9,2B,Pre-Game
2026-07-11,823603,Boston Red Sox,New York Mets,away,678011,Anthony Seigler,1,2B,Pre-Game
2026-07-11,823603,Boston Red Sox,New York Mets,away,678882,Ceddanne Rafaela,2,CF,Pre-Game
