date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status,lineup_status,lineup_source,home_team,away_team,venue,game_datetime
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,away,803011,Sam Antonacci,1,2B,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,away,808959,Munetaka Murakami,2,1B,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,away,678246,Miguel Vargas,3,3B,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,away,695657,Colson Montgomery,4,SS,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,away,643217,Andrew Benintendi,5,DH,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,away,695731,Braden Montgomery,6,RF,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,away,545341,Randal Grichuk,7,LF,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,away,671976,Tristan Peters,8,CF,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,away,691011,Drew Romo,9,C,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
2026-07-19,822786,Toronto Blue Jays,Chicago White Sox,home,676391,Ernie Clement,1,2B,In Progress,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-19T16:15:00Z
