date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status,lineup_status,lineup_source,home_team,away_team,venue,game_datetime
2026-07-23,823042,Arizona Diamondbacks,St. Louis Cardinals,away,596146,Max Kepler,4,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,Arizona Diamondbacks,St. Louis Cardinals,away,571448,Nolan Arenado,5,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,Arizona Diamondbacks,St. Louis Cardinals,away,678489,Jorge Barrosa,6,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,Arizona Diamondbacks,St. Louis Cardinals,away,545121,Ildemaro Vargas,7,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,Arizona Diamondbacks,St. Louis Cardinals,away,694374,Tim Tawa,8,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,Arizona Diamondbacks,St. Louis Cardinals,away,814439,Ryan Waldschmidt,9,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,St. Louis Cardinals,Arizona Diamondbacks,home,802139,JJ Wetherholt,1,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,St. Louis Cardinals,Arizona Diamondbacks,home,671056,Iván Herrera,2,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,St. Louis Cardinals,Arizona Diamondbacks,home,691023,Jordan Walker,3,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,St. Louis Cardinals,Arizona Diamondbacks,home,676475,Alec Burleson,4,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,St. Louis Cardinals,Arizona Diamondbacks,home,663457,Lars Nootbaar,5,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,St. Louis Cardinals,Arizona Diamondbacks,home,701675,Nathan Church,6,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,St. Louis Cardinals,Arizona Diamondbacks,home,691026,Masyn Winn,7,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,St. Louis Cardinals,Arizona Diamondbacks,home,665877,José Fermín,8,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,823042,St. Louis Cardinals,Arizona Diamondbacks,home,691458,Blaze Jordan,9,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,St. Louis Cardinals,Arizona Diamondbacks,Busch Stadium,2026-07-23T21:15:00Z
2026-07-23,824247,Kansas City Royals,Detroit Tigers,away,695600,Carter Jensen,1,C,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
2026-07-23,824247,Kansas City Royals,Detroit Tigers,away,695506,Jac Caglianone,2,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Detroit Tigers,Kansas City Royals,Comerica Park,2026-07-23T22:40:00Z
