date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status,lineup_status,lineup_source,home_team,away_team,venue,game_datetime
2026-07-17,822789,Chicago White Sox,Toronto Blue Jays,away,803011,Sam Antonacci,1,LF,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Chicago White Sox,Toronto Blue Jays,away,808959,Munetaka Murakami,2,1B,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Chicago White Sox,Toronto Blue Jays,away,678246,Miguel Vargas,3,3B,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Chicago White Sox,Toronto Blue Jays,away,695657,Colson Montgomery,4,SS,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Chicago White Sox,Toronto Blue Jays,away,643217,Andrew Benintendi,5,DH,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Chicago White Sox,Toronto Blue Jays,away,691019,Kyle Teel,6,C,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Chicago White Sox,Toronto Blue Jays,away,695731,Braden Montgomery,7,RF,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Chicago White Sox,Toronto Blue Jays,away,671976,Tristan Peters,8,CF,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Chicago White Sox,Toronto Blue Jays,away,805367,Chase Meidroth,9,2B,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Toronto Blue Jays,Chicago White Sox,home,676391,Ernie Clement,1,SS,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Toronto Blue Jays,Chicago White Sox,home,665489,Vladimir Guerrero Jr.,2,1B,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Toronto Blue Jays,Chicago White Sox,home,672960,Kazuma Okamoto,3,3B,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Toronto Blue Jays,Chicago White Sox,home,543807,George Springer,4,LF,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Toronto Blue Jays,Chicago White Sox,home,672386,Alejandro Kirk,5,C,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Toronto Blue Jays,Chicago White Sox,home,662139,Daulton Varsho,6,CF,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Toronto Blue Jays,Chicago White Sox,home,678218,Brandon Valenzuela,7,DH,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Toronto Blue Jays,Chicago White Sox,home,649966,Luis Urías,8,2B,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,822789,Toronto Blue Jays,Chicago White Sox,home,664702,Myles Straw,9,RF,Pre-Game,CONFIRMED,CURRENT_BOX_SCORE,Toronto Blue Jays,Chicago White Sox,Rogers Centre,2026-07-17T23:15:00Z
2026-07-17,823115,San Francisco Giants,Seattle Mariners,away,671218,Heliot Ramos,1,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Seattle Mariners,San Francisco Giants,T-Mobile Park,2026-07-18T02:10:00Z
