date,season,player_id,player_name,team,opponent,batting_order,position,games,plate_appearances,at_bats,hits,doubles,triples,home_runs,runs,rbi,walks,strikeouts,stolen_bases,caught_stealing,total_bases,avg,obp,slg,ops,hits_per_game,total_bases_per_game,runs_per_game,rbi_per_game,walks_per_game,strikeouts_per_game,home_runs_per_game,stolen_bases_per_game,walk_rate,strikeout_rate,home_run_rate
2026-07-23,2026,650490,Yandy Díaz,Tampa Bay Rays,Toronto Blue Jays,1,DH,97,428,377,116,17,1,14,56,60,39,59,2,1,177,0.308,0.383,0.469,0.852,1.1958762886597938,1.824742268041237,0.5773195876288659,0.6185567010309279,0.4020618556701031,0.6082474226804123,0.14432989690721648,0.020618556701030927,0.0911214953271028,0.1378504672897196,0.03271028037383177
2026-07-23,2026,666018,Jonathan Aranda,Tampa Bay Rays,Toronto Blue Jays,2,1B,100,435,367,105,17,0,14,48,65,53,99,0,0,164,0.286,0.382,0.447,0.829,1.05,1.64,0.48,0.65,0.53,0.99,0.14,0.0,0.12183908045977011,0.22758620689655173,0.03218390804597701
2026-07-23,2026,691406,Junior Caminero,Tampa Bay Rays,Toronto Blue Jays,3,3B,101,443,383,111,16,0,29,65,62,57,80,2,2,214,0.29,0.381,0.559,0.94,1.099009900990099,2.118811881188119,0.6435643564356436,0.6138613861386139,0.5643564356435643,0.7920792079207921,0.2871287128712871,0.019801980198019802,0.12866817155756208,0.18058690744920994,0.0654627539503386
2026-07-23,2026,683748,Victor Mesa Jr.,Tampa Bay Rays,Toronto Blue Jays,4,RF,38,120,104,24,2,0,8,16,17,14,28,4,3,50,0.231,0.319,0.481,0.8,0.631578947368421,1.3157894736842106,0.42105263157894735,0.4473684210526316,0.3684210526315789,0.7368421052631579,0.21052631578947367,0.10526315789473684,0.11666666666666667,0.23333333333333334,0.06666666666666667
2026-07-23,2026,676356,Jonny DeLuca,Tampa Bay Rays,Toronto Blue Jays,5,CF,61,195,184,48,14,0,6,24,31,9,40,10,4,80,0.261,0.295,0.435,0.73,0.7868852459016393,1.3114754098360655,0.39344262295081966,0.5081967213114754,0.14754098360655737,0.6557377049180327,0.09836065573770492,0.16393442622950818,0.046153846153846156,0.20512820512820512,0.03076923076923077
2026-07-23,2026,802415,Chandler Simpson,Tampa Bay Rays,Toronto Blue Jays,6,LF,95,379,351,102,10,6,0,43,19,20,35,26,11,124,0.291,0.326,0.353,0.679,1.0736842105263158,1.305263157894737,0.45263157894736844,0.2,0.21052631578947367,0.3684210526315789,0.0,0.2736842105263158,0.052770448548812667,0.09234828496042216,0.0
2026-07-23,2026,810938,Ben Williamson,Tampa Bay Rays,Toronto Blue Jays,7,SS,73,237,215,55,9,1,2,28,24,20,45,8,1,72,0.256,0.322,0.335,0.657,0.7534246575342466,0.9863013698630136,0.3835616438356164,0.3287671232876712,0.273972602739726,0.6164383561643836,0.0273972602739726,0.1095890410958904,0.08438818565400844,0.189873417721519,0.008438818565400843
2026-07-23,2026,680700,Richie Palacios,Tampa Bay Rays,Toronto Blue Jays,8,2B,74,242,210,49,8,2,3,29,27,28,44,9,5,70,0.233,0.331,0.333,0.664,0.6621621621621622,0.9459459459459459,0.3918918918918919,0.36486486486486486,0.3783783783783784,0.5945945945945946,0.04054054054054054,0.12162162162162163,0.11570247933884298,0.18181818181818182,0.012396694214876033
2026-07-23,2026,676439,Hunter Feduccia,Tampa Bay Rays,Toronto Blue Jays,9,C,55,146,128,29,5,1,2,13,11,14,42,0,0,42,0.227,0.306,0.328,0.634,0.5272727272727272,0.7636363636363637,0.23636363636363636,0.2,0.2545454545454545,0.7636363636363637,0.03636363636363636,0.0,0.0958904109589041,0.2876712328767123,0.0136986301369863
2026-07-23,2026,682818,Yohendrick Piñango,Toronto Blue Jays,Tampa Bay Rays,1,RF,52,162,152,41,7,0,5,11,20,10,38,0,0,63,0.27,0.315,0.414,0.729,0.7884615384615384,1.2115384615384615,0.21153846153846154,0.38461538461538464,0.19230769230769232,0.7307692307692307,0.09615384615384616,0.0,0.06172839506172839,0.2345679012345679,0.030864197530864196
2026-07-23,2026,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,Tampa Bay Rays,2,1B,97,411,359,92,16,0,6,52,41,43,54,7,1,126,0.256,0.338,0.351,0.689,0.9484536082474226,1.2989690721649485,0.5360824742268041,0.422680412371134,0.44329896907216493,0.5567010309278351,0.061855670103092786,0.07216494845360824,0.10462287104622871,0.13138686131386862,0.014598540145985401
2026-07-23,2026,676391,Ernie Clement,Toronto Blue Jays,Tampa Bay Rays,3,SS,99,399,381,113,23,1,8,44,32,14,39,3,1,162,0.297,0.321,0.425,0.746,1.1414141414141414,1.6363636363636365,0.4444444444444444,0.32323232323232326,0.1414141414141414,0.3939393939393939,0.08080808080808081,0.030303030303030304,0.03508771929824561,0.09774436090225563,0.020050125313283207
2026-07-23,2026,543807,George Springer,Toronto Blue Jays,Tampa Bay Rays,4,DH,71,313,276,62,12,1,10,34,26,30,61,7,2,106,0.225,0.306,0.384,0.69,0.8732394366197183,1.4929577464788732,0.4788732394366197,0.36619718309859156,0.4225352112676056,0.8591549295774648,0.14084507042253522,0.09859154929577464,0.09584664536741214,0.19488817891373802,0.03194888178913738
2026-07-23,2026,672386,Alejandro Kirk,Toronto Blue Jays,Tampa Bay Rays,5,C,31,114,101,22,4,0,3,9,11,12,14,0,0,35,0.218,0.298,0.347,0.645,0.7096774193548387,1.1290322580645162,0.2903225806451613,0.3548387096774194,0.3870967741935484,0.45161290322580644,0.0967741935483871,0.0,0.10526315789473684,0.12280701754385964,0.02631578947368421
2026-07-23,2026,672960,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,6,3B,99,404,358,81,12,0,22,50,62,38,124,0,0,159,0.226,0.309,0.444,0.753,0.8181818181818182,1.606060606060606,0.5050505050505051,0.6262626262626263,0.3838383838383838,1.2525252525252526,0.2222222222222222,0.0,0.09405940594059406,0.3069306930693069,0.054455445544554455
2026-07-23,2026,676914,Davis Schneider,Toronto Blue Jays,Tampa Bay Rays,7,LF,49,118,98,15,5,0,3,16,12,18,39,1,0,29,0.153,0.282,0.296,0.578,0.30612244897959184,0.5918367346938775,0.32653061224489793,0.24489795918367346,0.3673469387755102,0.7959183673469388,0.061224489795918366,0.02040816326530612,0.15254237288135594,0.3305084745762712,0.025423728813559324
2026-07-23,2026,649966,Luis Urías,Toronto Blue Jays,Tampa Bay Rays,8,2B,16,33,30,8,1,0,2,3,3,3,4,0,0,15,0.267,0.333,0.5,0.833,0.5,0.9375,0.1875,0.1875,0.1875,0.25,0.125,0.0,0.09090909090909091,0.12121212121212122,0.06060606060606061
2026-07-23,2026,664702,Myles Straw,Toronto Blue Jays,Tampa Bay Rays,9,CF,90,176,158,35,6,0,3,26,16,13,23,3,1,50,0.222,0.276,0.316,0.592,0.3888888888888889,0.5555555555555556,0.28888888888888886,0.17777777777777778,0.14444444444444443,0.25555555555555554,0.03333333333333333,0.03333333333333333,0.07386363636363637,0.13068181818181818,0.017045454545454544
2026-07-23,2026,606466,Ketel Marte,Arizona Diamondbacks,St. Louis Cardinals,1,DH,98,432,395,102,20,3,18,56,59,31,63,4,0,182,0.258,0.313,0.461,0.774,1.0408163265306123,1.8571428571428572,0.5714285714285714,0.6020408163265306,0.3163265306122449,0.6428571428571429,0.1836734693877551,0.04081632653061224,0.07175925925925926,0.14583333333333334,0.041666666666666664
2026-07-23,2026,672695,Geraldo Perdomo,Arizona Diamondbacks,St. Louis Cardinals,2,SS,98,419,346,82,14,3,7,48,36,60,50,16,9,123,0.237,0.352,0.355,0.707,0.8367346938775511,1.2551020408163265,0.4897959183673469,0.3673469387755102,0.6122448979591837,0.5102040816326531,0.07142857142857142,0.16326530612244897,0.1431980906921241,0.11933174224343675,0.016706443914081145
2026-07-23,2026,672515,Gabriel Moreno,Arizona Diamondbacks,St. Louis Cardinals,3,C,75,302,258,78,15,0,7,41,34,37,46,4,1,114,0.302,0.391,0.442,0.833,1.04,1.52,0.5466666666666666,0.4533333333333333,0.49333333333333335,0.6133333333333333,0.09333333333333334,0.05333333333333334,0.12251655629139073,0.152317880794702,0.023178807947019868
2026-07-23,2026,596146,Max Kepler,Arizona Diamondbacks,St. Louis Cardinals,4,LF,17,57,51,12,3,0,2,5,12,4,13,0,0,21,0.235,0.281,0.412,0.693,0.7058823529411765,1.2352941176470589,0.29411764705882354,0.7058823529411765,0.23529411764705882,0.7647058823529411,0.11764705882352941,0.0,0.07017543859649122,0.22807017543859648,0.03508771929824561
2026-07-23,2026,571448,Nolan Arenado,Arizona Diamondbacks,St. Louis Cardinals,5,3B,96,372,330,81,19,0,14,49,46,33,80,3,0,142,0.245,0.323,0.43,0.753,0.84375,1.4791666666666667,0.5104166666666666,0.4791666666666667,0.34375,0.8333333333333334,0.14583333333333334,0.03125,0.08870967741935484,0.21505376344086022,0.03763440860215054
2026-07-23,2026,678489,Jorge Barrosa,Arizona Diamondbacks,St. Louis Cardinals,6,CF,71,138,119,23,11,1,2,21,10,13,38,0,0,42,0.193,0.278,0.353,0.631,0.323943661971831,0.5915492957746479,0.29577464788732394,0.14084507042253522,0.18309859154929578,0.5352112676056338,0.028169014084507043,0.0,0.09420289855072464,0.2753623188405797,0.014492753623188406
2026-07-23,2026,545121,Ildemaro Vargas,Arizona Diamondbacks,St. Louis Cardinals,7,2B,88,318,295,78,14,3,7,44,49,18,30,2,0,119,0.264,0.31,0.403,0.713,0.8863636363636364,1.3522727272727273,0.5,0.5568181818181818,0.20454545454545456,0.3409090909090909,0.07954545454545454,0.022727272727272728,0.05660377358490566,0.09433962264150944,0.0220125786163522
2026-07-23,2026,694374,Tim Tawa,Arizona Diamondbacks,St. Louis Cardinals,8,1B,45,121,106,23,7,0,4,11,18,10,28,2,3,42,0.217,0.282,0.396,0.678,0.5111111111111111,0.9333333333333333,0.24444444444444444,0.4,0.2222222222222222,0.6222222222222222,0.08888888888888889,0.044444444444444446,0.08264462809917356,0.23140495867768596,0.03305785123966942
2026-07-23,2026,814439,Ryan Waldschmidt,Arizona Diamondbacks,St. Louis Cardinals,9,LF,39,144,131,34,10,1,1,14,12,9,50,6,1,49,0.26,0.308,0.374,0.682,0.8717948717948718,1.2564102564102564,0.358974358974359,0.3076923076923077,0.23076923076923078,1.2820512820512822,0.02564102564102564,0.15384615384615385,0.0625,0.3472222222222222,0.006944444444444444
2026-07-23,2026,802139,JJ Wetherholt,St. Louis Cardinals,Arizona Diamondbacks,1,2B,96,435,377,97,10,0,15,62,40,42,69,10,0,152,0.257,0.352,0.403,0.755,1.0104166666666667,1.5833333333333333,0.6458333333333334,0.4166666666666667,0.4375,0.71875,0.15625,0.10416666666666667,0.09655172413793103,0.15862068965517243,0.034482758620689655
2026-07-23,2026,691023,Jordan Walker,St. Louis Cardinals,Arizona Diamondbacks,2,RF,99,422,381,110,21,0,22,64,76,35,105,14,5,197,0.289,0.351,0.517,0.868,1.1111111111111112,1.9898989898989898,0.6464646464646465,0.7676767676767676,0.35353535353535354,1.0606060606060606,0.2222222222222222,0.1414141414141414,0.08293838862559241,0.24881516587677724,0.052132701421800945
2026-07-23,2026,676475,Alec Burleson,St. Louis Cardinals,Arizona Diamondbacks,3,DH,100,424,383,107,23,1,15,53,69,34,64,3,0,177,0.279,0.342,0.462,0.804,1.07,1.77,0.53,0.69,0.34,0.64,0.15,0.03,0.08018867924528301,0.1509433962264151,0.03537735849056604
2026-07-23,2026,663457,Lars Nootbaar,St. Louis Cardinals,Arizona Diamondbacks,4,LF,37,142,121,30,6,1,3,18,12,20,32,1,1,47,0.248,0.352,0.388,0.74,0.8108108108108109,1.2702702702702702,0.4864864864864865,0.32432432432432434,0.5405405405405406,0.8648648648648649,0.08108108108108109,0.02702702702702703,0.14084507042253522,0.22535211267605634,0.02112676056338028
2026-07-23,2026,691026,Masyn Winn,St. Louis Cardinals,Arizona Diamondbacks,5,SS,93,380,334,80,12,2,4,39,42,33,74,8,2,108,0.24,0.316,0.323,0.639,0.8602150537634409,1.1612903225806452,0.41935483870967744,0.45161290322580644,0.3548387096774194,0.7956989247311828,0.043010752688172046,0.08602150537634409,0.0868421052631579,0.19473684210526315,0.010526315789473684
2026-07-23,2026,665877,José Fermín,St. Louis Cardinals,Arizona Diamondbacks,6,3B,65,191,172,44,9,0,4,18,20,15,27,3,0,65,0.256,0.317,0.378,0.695,0.676923076923077,1.0,0.27692307692307694,0.3076923076923077,0.23076923076923078,0.4153846153846154,0.06153846153846154,0.046153846153846156,0.07853403141361257,0.14136125654450263,0.020942408376963352
2026-07-23,2026,701675,Nathan Church,St. Louis Cardinals,Arizona Diamondbacks,7,CF,83,271,254,58,9,1,8,30,29,13,56,5,3,93,0.228,0.269,0.366,0.635,0.6987951807228916,1.1204819277108433,0.3614457831325301,0.3493975903614458,0.1566265060240964,0.6746987951807228,0.0963855421686747,0.060240963855421686,0.04797047970479705,0.2066420664206642,0.02952029520295203
2026-07-23,2026,691458,Blaze Jordan,St. Louis Cardinals,Arizona Diamondbacks,8,1B,28,98,91,23,4,2,1,10,18,3,15,0,0,34,0.253,0.265,0.374,0.639,0.8214285714285714,1.2142857142857142,0.35714285714285715,0.6428571428571429,0.10714285714285714,0.5357142857142857,0.03571428571428571,0.0,0.030612244897959183,0.15306122448979592,0.01020408163265306
2026-07-23,2026,699625,Jimmy Crooks,St. Louis Cardinals,Arizona Diamondbacks,9,C,29,81,71,12,2,0,3,4,9,7,27,0,0,23,0.169,0.272,0.324,0.596,0.41379310344827586,0.7931034482758621,0.13793103448275862,0.3103448275862069,0.2413793103448276,0.9310344827586207,0.10344827586206896,0.0,0.08641975308641975,0.3333333333333333,0.037037037037037035
