date,game_id,pitcher_id,pitcher_name,team,opponent,side,actual_strikeouts,actual_ip,actual_walks,actual_hits,actual_earned_runs
2026-07-03,823527,543037,Gerrit Cole,New York Yankees,Minnesota Twins,home,7,5.0,0,5,2
2026-07-03,824498,669432,Trevor Rogers,Baltimore Orioles,Cincinnati Reds,away,4,5.0,5,2,0
2026-07-03,824498,663903,Brady Singer,Cincinnati Reds,Baltimore Orioles,home,6,5.0,5,3,2
2026-07-03,824417,641743,Anthony Kay,Chicago White Sox,Cleveland Guardians,away,2,4.0,2,1,1
2026-07-03,824417,668909,Gavin Williams,Cleveland Guardians,Chicago White Sox,home,6,4.2,2,5,3
2026-07-03,824904,681035,Christian Scott,New York Mets,Atlanta Braves,away,7,4.0,4,2,3
2026-07-03,824904,656550,Grant Holmes,Atlanta Braves,New York Mets,home,2,5.0,1,5,1
2026-07-03,824336,657277,Logan Webb,San Francisco Giants,Colorado Rockies,away,2,3.0,2,11,7
2026-07-03,824336,663372,Ryan Feltner,Colorado Rockies,San Francisco Giants,home,9,6.0,0,6,2
2026-07-03,824173,607259,Nick Martinez,Tampa Bay Rays,Houston Astros,away,3,5.1,1,3,1
2026-07-03,824173,681293,Spencer Arrighetti,Houston Astros,Tampa Bay Rays,home,4,6.0,1,2,1
2026-07-03,824013,687562,Jake Bennett,Boston Red Sox,Los Angeles Angels,away,6,7.2,0,5,2
2026-07-03,824013,672282,Reid Detmers,Los Angeles Angels,Boston Red Sox,home,5,5.0,3,7,5
2026-07-03,824982,663969,Tyler Phillips,Miami Marlins,Athletics,away,2,3.1,2,7,5
2026-07-03,824982,678022,Jack Perkins,Athletics,Miami Marlins,home,8,3.2,4,7,7
2026-07-03,825062,690986,Kyle Harrison,Milwaukee Brewers,Arizona Diamondbacks,away,3,2.2,1,5,3
2026-07-03,825062,703615,Jose Cabrera,Arizona Diamondbacks,Milwaukee Brewers,home,3,3.1,3,6,3
2026-07-03,823933,650633,Michael King,San Diego Padres,Los Angeles Dodgers,away,5,6.0,2,3,2
2026-07-03,823933,660271,Shohei Ohtani,Los Angeles Dodgers,San Diego Padres,home,9,6.0,2,7,3
2026-07-03,823120,656302,Dylan Cease,Toronto Blue Jays,Seattle Mariners,away,9,7.0,1,3,0
2026-07-03,823120,622491,Luis Castillo,Seattle Mariners,Toronto Blue Jays,home,4,6.0,1,5,2
2026-07-04,822716,677952,Braxton Ashcraft,Pittsburgh Pirates,Washington Nationals,away,7,5.2,2,6,1
2026-07-04,822716,687223,Carson Palmquist,Washington Nationals,Pittsburgh Pirates,home,3,1.0,0,4,4
2026-07-04,823526,805673,Zebby Matthews,Minnesota Twins,New York Yankees,away,5,4.2,4,3,4
2026-07-04,823526,694341,Brendan Beck,New York Yankees,Minnesota Twins,home,3,3.2,2,5,5
2026-07-04,822882,656427,Jack Flaherty,Detroit Tigers,Texas Rangers,away,5,5.2,0,3,0
2026-07-04,822882,615698,Cal Quantrill,Texas Rangers,Detroit Tigers,home,2,5.0,1,3,2
2026-07-04,823118,669456,Shane Bieber,Toronto Blue Jays,Seattle Mariners,away,3,4.0,3,6,7
