pitcher_id,pitcher_name,team,game_date,innings,strikeouts,walks,hits,earned_runs,home_runs,era
693821,Bryce Elder,Atlanta Braves,2026-03-30,6.0,5,1,5,0,0,0.00
693821,Bryce Elder,Atlanta Braves,2026-04-04,7.0,8,1,4,0,0,0.00
693821,Bryce Elder,Atlanta Braves,2026-04-10,4.2,3,3,4,2,1,1.02
693821,Bryce Elder,Atlanta Braves,2026-04-15,5.2,7,2,4,0,0,0.77
693821,Bryce Elder,Atlanta Braves,2026-04-20,6.2,6,2,3,3,1,1.50
656605,Mitch Keller,Pittsburgh Pirates,2026-03-28,6.0,3,0,3,0,0,0.00
656605,Mitch Keller,Pittsburgh Pirates,2026-04-03,6.0,4,4,6,2,0,1.50
656605,Mitch Keller,Pittsburgh Pirates,2026-04-08,6.0,4,1,3,0,0,1.00
656605,Mitch Keller,Pittsburgh Pirates,2026-04-14,4.0,3,4,6,5,1,2.86
656605,Mitch Keller,Pittsburgh Pirates,2026-04-19,7.0,5,0,5,2,0,2.79
608379,Michael Wacha,Kansas City Royals,2026-03-28,6.0,7,1,3,0,0,0.00
608379,Michael Wacha,Kansas City Royals,2026-04-06,7.0,3,3,3,1,1,0.69
608379,Michael Wacha,Kansas City Royals,2026-04-11,8.0,7,1,4,0,0,0.43
608379,Michael Wacha,Kansas City Royals,2026-04-17,6.0,6,3,3,2,1,1.00
608379,Michael Wacha,Kansas City Royals,2026-04-22,5.1,5,2,7,6,1,2.51
640455,Sean Manaea,New York Mets,2026-03-29,1.1,2,2,1,0,0,0.00
640455,Sean Manaea,New York Mets,2026-04-02,3.2,2,2,4,1,1,1.80
640455,Sean Manaea,New York Mets,2026-04-08,4.0,2,2,5,2,0,3.00
640455,Sean Manaea,New York Mets,2026-04-12,3.0,4,0,0,0,0,2.25
640455,Sean Manaea,New York Mets,2026-04-17,4.0,2,1,6,5,1,4.50
621112,Paul Blackburn,New York Yankees,2026-03-30,1.1,0,1,3,1,0,6.75
621112,Paul Blackburn,New York Yankees,2026-04-04,1.2,2,0,3,0,0,3.00
621112,Paul Blackburn,New York Yankees,2026-04-09,1.0,1,0,1,0,0,2.25
621112,Paul Blackburn,New York Yankees,2026-04-13,1.0,0,0,0,0,0,1.80
621112,Paul Blackburn,New York Yankees,2026-04-14,1.0,1,1,3,1,0,3.00
656876,Drew Rasmussen,Tampa Bay Rays,2026-03-26,5.0,2,0,4,1,1,1.80
656876,Drew Rasmussen,Tampa Bay Rays,2026-04-01,5.0,8,1,3,1,1,1.80
656876,Drew Rasmussen,Tampa Bay Rays,2026-04-12,6.0,7,0,1,0,0,1.13
656876,Drew Rasmussen,Tampa Bay Rays,2026-04-18,3.2,3,2,2,4,2,2.75
656876,Drew Rasmussen,Tampa Bay Rays,2026-04-24,6.0,6,1,5,1,1,2.45
656849,David Peterson,Chicago Cubs,2026-03-28,5.1,3,2,6,0,0,0.00
656849,David Peterson,Chicago Cubs,2026-04-02,4.1,5,2,9,5,0,4.66
656849,David Peterson,Chicago Cubs,2026-04-08,5.0,6,2,6,5,0,6.14
656849,David Peterson,Chicago Cubs,2026-04-13,5.0,7,4,5,4,1,6.41
656849,David Peterson,Chicago Cubs,2026-04-19,3.2,1,0,3,0,0,5.40
669432,Trevor Rogers,Baltimore Orioles,2026-03-26,7.0,5,4,3,0,0,0.00
669432,Trevor Rogers,Baltimore Orioles,2026-04-01,6.0,3,1,6,2,0,1.38
669432,Trevor Rogers,Baltimore Orioles,2026-04-07,6.0,6,0,6,2,0,1.89
669432,Trevor Rogers,Baltimore Orioles,2026-04-14,4.2,6,1,9,4,1,3.04
669432,Trevor Rogers,Baltimore Orioles,2026-04-19,5.0,5,2,6,5,2,4.08
668909,Gavin Williams,Cleveland Guardians,2026-03-27,5.0,7,6,2,3,1,5.40
668909,Gavin Williams,Cleveland Guardians,2026-04-01,7.0,10,3,2,0,0,2.25
668909,Gavin Williams,Cleveland Guardians,2026-04-07,5.2,8,5,1,1,1,2.04
668909,Gavin Williams,Cleveland Guardians,2026-04-13,5.0,4,2,5,2,1,2.38
668909,Gavin Williams,Cleveland Guardians,2026-04-18,7.0,11,1,3,1,1,2.12
641927,Bailey Ober,Minnesota Twins,2026-03-29,4.0,1,1,4,3,1,6.75
641927,Bailey Ober,Minnesota Twins,2026-04-03,4.0,4,2,4,3,0,6.75
641927,Bailey Ober,Minnesota Twins,2026-04-08,5.2,2,1,5,2,0,5.27
641927,Bailey Ober,Minnesota Twins,2026-04-13,6.0,7,1,7,4,1,5.49
641927,Bailey Ober,Minnesota Twins,2026-04-19,6.1,10,4,3,0,0,4.15
663776,Patrick Sandoval,Boston Red Sox,2026-07-09,4.1,5,1,5,1,0,2.08
641743,Anthony Kay,Chicago White Sox,2026-03-29,4.2,5,4,3,2,1,3.86
641743,Anthony Kay,Chicago White Sox,2026-04-04,4.1,0,2,3,2,1,4.00
641743,Anthony Kay,Chicago White Sox,2026-04-09,5.2,6,2,3,0,0,2.45
641743,Anthony Kay,Chicago White Sox,2026-04-16,2.2,1,1,4,1,0,2.60
641743,Anthony Kay,Chicago White Sox,2026-04-22,3.2,1,3,8,8,2,5.57
660761,José Suarez,Athletics,2026-03-31,3.2,6,3,5,4,0,9.82
660761,José Suarez,Athletics,2026-04-08,2.0,3,0,2,0,0,6.35
660761,José Suarez,Athletics,2026-04-10,0.2,1,1,4,3,0,9.95
660761,José Suarez,Athletics,2026-04-13,2.0,1,0,4,1,0,8.64
660761,José Suarez,Athletics,2026-04-17,3.0,1,1,2,0,0,6.35
664285,Framber Valdez,Detroit Tigers,2026-03-27,6.0,5,1,7,1,0,1.50
664285,Framber Valdez,Detroit Tigers,2026-04-03,6.0,5,2,3,0,0,0.75
664285,Framber Valdez,Detroit Tigers,2026-04-08,5.0,2,2,10,8,0,4.76
664285,Framber Valdez,Detroit Tigers,2026-04-14,7.0,1,2,4,1,0,3.75
664285,Framber Valdez,Detroit Tigers,2026-04-19,6.0,7,2,3,1,1,3.30
682243,Bryce Miller,Seattle Mariners,2026-05-13,5.1,3,1,8,2,1,3.38
682243,Bryce Miller,Seattle Mariners,2026-05-19,5.2,7,1,1,0,0,1.64
682243,Bryce Miller,Seattle Mariners,2026-05-25,5.0,4,0,5,2,1,2.25
682243,Bryce Miller,Seattle Mariners,2026-05-31,5.0,6,1,1,0,0,1.71
682243,Bryce Miller,Seattle Mariners,2026-06-06,6.0,9,2,1,0,0,1.33
676083,Janson Junk,Miami Marlins,2026-03-31,4.1,5,1,5,2,0,4.15
676083,Janson Junk,Miami Marlins,2026-04-06,7.1,3,1,7,2,1,3.09
676083,Janson Junk,Miami Marlins,2026-04-11,5.0,4,2,5,4,1,4.32
676083,Janson Junk,Miami Marlins,2026-04-17,5.1,3,2,6,3,0,4.50
676083,Janson Junk,Miami Marlins,2026-04-22,5.0,2,1,1,0,0,3.67
666200,Jesús Luzardo,Philadelphia Phillies,2026-03-29,6.0,7,1,6,6,2,9.00
666200,Jesús Luzardo,Philadelphia Phillies,2026-04-04,6.2,11,0,5,1,0,4.97
666200,Jesús Luzardo,Philadelphia Phillies,2026-04-10,4.2,8,3,5,5,0,6.23
666200,Jesús Luzardo,Philadelphia Phillies,2026-04-15,5.1,4,1,12,8,1,7.94
666200,Jesús Luzardo,Philadelphia Phillies,2026-04-21,4.2,3,4,5,1,0,6.91
663903,Brady Singer,Cincinnati Reds,2026-03-28,4.0,5,2,5,3,1,6.75
663903,Brady Singer,Cincinnati Reds,2026-04-03,5.0,5,1,6,2,0,5.00
663903,Brady Singer,Cincinnati Reds,2026-04-08,2.2,3,0,10,5,1,7.71
