pitcher_id,pitcher_name,team,game_date,innings,strikeouts,walks,hits,earned_runs,home_runs,era
687075,Brandon Sproat,Milwaukee Brewers,2026-07-11,3.0,3,2,2,2,1,5.16
687075,Brandon Sproat,Milwaukee Brewers,2026-07-05,4.0,4,3,5,1,0,5.13
687075,Brandon Sproat,Milwaukee Brewers,2026-06-30,5.1,7,2,4,2,1,5.28
687075,Brandon Sproat,Milwaukee Brewers,2026-06-23,6.0,10,0,1,0,0,5.43
687075,Brandon Sproat,Milwaukee Brewers,2026-06-17,3.2,6,2,2,4,1,5.94
677952,Braxton Ashcraft,Pittsburgh Pirates,2026-07-11,5.0,6,2,5,5,2,3.49
677952,Braxton Ashcraft,Pittsburgh Pirates,2026-07-04,5.2,7,2,6,1,1,3.24
677952,Braxton Ashcraft,Pittsburgh Pirates,2026-06-29,6.0,8,1,5,5,3,3.33
677952,Braxton Ashcraft,Pittsburgh Pirates,2026-06-24,6.0,10,0,5,1,0,3.07
677952,Braxton Ashcraft,Pittsburgh Pirates,2026-06-17,6.0,7,3,4,1,0,3.18
675660,Shane Drohan,Milwaukee Brewers,2026-07-06,6.0,2,2,6,1,0,2.97
675660,Shane Drohan,Milwaukee Brewers,2026-07-01,5.2,7,1,6,2,1,3.12
675660,Shane Drohan,Milwaukee Brewers,2026-06-24,4.1,5,3,5,0,0,3.12
675660,Shane Drohan,Milwaukee Brewers,2026-06-18,5.0,3,3,3,1,1,3.40
675660,Shane Drohan,Milwaukee Brewers,2026-06-13,5.0,7,0,8,4,1,3.59
696149,Bubba Chandler,Pittsburgh Pirates,2026-07-11,1.0,2,1,1,0,0,4.76
696149,Bubba Chandler,Pittsburgh Pirates,2026-07-05,4.0,0,4,6,4,1,4.82
696149,Bubba Chandler,Pittsburgh Pirates,2026-06-30,6.1,6,2,7,5,0,4.62
696149,Bubba Chandler,Pittsburgh Pirates,2026-06-25,5.1,4,3,5,1,0,4.42
696149,Bubba Chandler,Pittsburgh Pirates,2026-06-19,6.0,1,2,6,2,1,4.62
696270,Ryan Johnson,Los Angeles Angels,2026-07-11,5.0,1,3,3,3,1,6.75
696270,Ryan Johnson,Los Angeles Angels,2026-07-05,4.0,6,1,6,2,2,6.99
696270,Ryan Johnson,Los Angeles Angels,2026-06-29,5.0,3,0,4,1,1,7.40
696270,Ryan Johnson,Los Angeles Angels,2026-06-23,6.0,8,1,1,0,0,8.84
696270,Ryan Johnson,Los Angeles Angels,2026-06-18,5.0,2,1,8,5,2,12.83
657746,Joe Ryan,Minnesota Twins,2026-07-11,6.0,6,2,6,2,0,2.85
657746,Joe Ryan,Minnesota Twins,2026-07-05,7.0,9,1,3,0,0,2.85
