date,season,pitcher_id,pitcher_name,team,games,games_started,innings_pitched,innings_decimal,era,whip,strikeouts,walks,hits_allowed,earned_runs,home_runs_allowed,batters_faced,wins,losses,season_k_per_start,avg_ip_per_start,walks_per_start,hits_per_start,earned_runs_per_start,win_rate,k_per_9,bb_per_9,hits_per_9,k_minus_bb_rate
2026-07-11,2026,687075,Brandon Sproat,Milwaukee Brewers,18,16,82.0,82.0,5.16,1.37,87,39,73,47,15,352,3,4,5.4375,5.125,2.4375,4.5625,2.9375,0.1875,9.548780487804878,4.280487804878049,8.012195121951219,0.13636363636363635
2026-07-11,2026,677952,Braxton Ashcraft,Pittsburgh Pirates,19,19,113.1,113.33333333333333,3.49,1.11,128,27,99,44,14,461,9,3,6.7368421052631575,5.964912280701754,1.4210526315789473,5.2105263157894735,2.3157894736842106,0.47368421052631576,10.164705882352942,2.1441176470588235,7.861764705882353,0.21908893709327548
2026-07-11,2026,675660,Shane Drohan,Milwaukee Brewers,18,8,63.2,63.666666666666664,2.97,1.24,61,20,59,21,5,267,4,2,7.625,7.958333333333333,2.5,7.375,2.625,0.5,8.62303664921466,2.8272251308900525,8.340314136125654,0.15355805243445692
2026-07-11,2026,696149,Bubba Chandler,Pittsburgh Pirates,19,18,90.0,90.0,4.8,1.44,80,52,78,48,10,402,3,8,4.444444444444445,5.0,2.888888888888889,4.333333333333333,2.6666666666666665,0.16666666666666666,8.0,5.2,7.8,0.06965174129353234
2026-07-11,2026,696270,Ryan Johnson,Los Angeles Angels,9,6,33.1,33.333333333333336,6.75,1.5,25,13,37,25,9,149,1,4,4.166666666666667,5.555555555555556,2.1666666666666665,6.166666666666667,4.166666666666667,0.16666666666666666,6.749999999999999,3.51,9.989999999999998,0.08053691275167785
2026-07-11,2026,657746,Joe Ryan,Minnesota Twins,20,20,110.1,110.33333333333333,2.85,1.05,128,25,91,35,10,450,6,5,6.4,5.516666666666667,1.25,4.55,1.75,0.3,10.441087613293051,2.0392749244712993,7.422960725075529,0.2288888888888889
2026-07-11,2026,695611,Gage Jump,Athletics,9,9,48.2,48.666666666666664,3.51,1.29,48,15,48,19,4,204,3,3,5.333333333333333,5.407407407407407,1.6666666666666667,5.333333333333333,2.111111111111111,0.3333333333333333,8.876712328767123,2.7739726027397262,8.876712328767123,0.16176470588235295
2026-07-11,2026,663542,Bryan Hudson,Chicago White Sox,42,6,41.0,41.0,2.2,1.27,39,16,36,10,1,174,3,2,6.5,6.833333333333333,2.6666666666666665,6.0,1.6666666666666667,0.5,8.560975609756097,3.5121951219512195,7.902439024390244,0.13218390804597702
2026-07-11,2026,607536,Kyle Freeland,Colorado Rockies,17,17,83.0,83.0,7.37,1.59,71,18,114,68,17,381,2,7,4.176470588235294,4.882352941176471,1.0588235294117647,6.705882352941177,4.0,0.11764705882352941,7.698795180722891,1.9518072289156627,12.36144578313253,0.13910761154855644
2026-07-11,2026,641816,Tyler Mahle,San Francisco Giants,15,15,72.1,72.33333333333333,5.6,1.49,70,30,78,45,12,314,1,8,4.666666666666667,4.822222222222222,2.0,5.2,3.0,0.06666666666666667,8.70967741935484,3.7327188940092166,9.705069124423964,0.12738853503184713
2026-07-11,2026,693645,Cam Schlittler,New York Yankees,20,20,112.2,112.66666666666667,2.16,0.94,131,21,85,27,12,446,9,5,6.55,5.633333333333334,1.05,4.25,1.35,0.45,10.464497041420119,1.6775147928994083,6.789940828402367,0.24663677130044842
2026-07-11,2026,676571,PJ Poulin,Washington Nationals,35,11,36.0,36.0,2.75,1.33,24,21,27,11,4,151,3,0,2.1818181818181817,3.272727272727273,1.9090909090909092,2.4545454545454546,1.0,0.2727272727272727,6.0,5.25,6.75,0.019867549668874173
2026-07-11,2026,700842,Eduardo Rivera,Boston Red Sox,2,1,4.1,4.333333333333333,0.0,0.23,3,0,1,0,0,13,0,0,3.0,4.333333333333333,0.0,1.0,0.0,0.0,6.230769230769231,0.0,2.076923076923077,0.23076923076923078
2026-07-11,2026,642547,Freddy Peralta,New York Mets,20,20,101.0,101.0,4.63,1.41,101,39,103,52,14,448,5,7,5.05,5.05,1.95,5.15,2.6,0.25,9.0,3.4752475247524752,9.178217821782178,0.13839285714285715
2026-07-11,2026,669302,Logan Gilbert,Seattle Mariners,18,18,107.1,107.33333333333333,3.19,0.95,114,22,80,38,14,419,7,5,6.333333333333333,5.962962962962963,1.2222222222222223,4.444444444444445,2.111111111111111,0.3888888888888889,9.559006211180124,1.84472049689441,6.708074534161491,0.21957040572792363
2026-07-11,2026,643377,Griffin Jax,Tampa Bay Rays,24,13,65.0,65.0,3.6,1.22,68,22,57,26,12,266,4,6,5.230769230769231,5.0,1.6923076923076923,4.384615384615385,2.0,0.3076923076923077,9.415384615384616,3.046153846153846,7.892307692307693,0.17293233082706766
2026-07-11,2026,676440,Tanner Bibee,Cleveland Guardians,20,20,106.1,106.33333333333333,4.06,1.15,84,31,91,48,20,431,2,9,4.2,5.316666666666666,1.55,4.55,2.4,0.1,7.109717868338558,2.6238244514106586,7.702194357366771,0.12296983758700696
2026-07-11,2026,691587,Eury Pérez,Miami Marlins,16,16,80.2,80.66666666666667,3.79,1.13,90,33,58,34,13,328,5,6,5.625,5.041666666666667,2.0625,3.625,2.125,0.3125,10.041322314049586,3.6818181818181817,6.471074380165289,0.17378048780487804
2026-07-11,2026,650911,Cristopher Sánchez,Philadelphia Phillies,19,19,120.1,120.33333333333333,2.62,1.16,137,24,116,35,11,496,10,4,7.2105263157894735,6.333333333333333,1.263157894736842,6.105263157894737,1.8421052631578947,0.5263157894736842,10.246537396121884,1.7950138504155126,8.67590027700831,0.22782258064516128
2026-07-11,2026,663554,Casey Mize,Detroit Tigers,13,13,71.2,71.66666666666667,2.64,0.98,72,16,54,21,5,280,4,5,5.538461538461538,5.512820512820513,1.2307692307692308,4.153846153846154,1.6153846153846154,0.3076923076923077,9.041860465116278,2.009302325581395,6.781395348837209,0.2
2026-07-11,2026,702070,Noah Cameron,Kansas City Royals,17,17,88.2,88.66666666666667,4.77,1.45,82,30,99,47,10,396,5,6,4.823529411764706,5.215686274509804,1.7647058823529411,5.823529411764706,2.764705882352941,0.29411764705882354,8.32330827067669,3.045112781954887,10.048872180451127,0.13131313131313133
2026-07-11,2026,680694,Kyle Bradish,Baltimore Orioles,18,18,100.2,100.66666666666667,3.75,1.4,101,48,93,42,12,429,5,9,5.611111111111111,5.592592592592593,2.6666666666666665,5.166666666666667,2.3333333333333335,0.2777777777777778,9.02980132450331,4.291390728476821,8.314569536423841,0.12354312354312354
2026-07-11,2026,663567,Peter Lambert,Houston Astros,14,14,80.0,80.0,3.26,1.15,74,32,60,29,10,331,7,5,5.285714285714286,5.714285714285714,2.2857142857142856,4.285714285714286,2.0714285714285716,0.5,8.325,3.6,6.75,0.1268882175226586
2026-07-11,2026,677958,Kumar Rocker,Texas Rangers,17,15,84.1,84.33333333333333,3.95,1.34,74,32,81,37,9,362,2,7,4.933333333333334,5.622222222222222,2.1333333333333333,5.4,2.466666666666667,0.13333333333333333,7.897233201581028,3.41501976284585,8.644268774703558,0.11602209944751381
2026-07-11,2026,665871,Javier Assad,Chicago Cubs,14,7,56.1,56.333333333333336,4.15,1.1,33,15,47,26,10,224,6,1,4.714285714285714,8.047619047619047,2.142857142857143,6.714285714285714,3.7142857142857144,0.8571428571428571,5.272189349112426,2.396449704142012,7.50887573964497,0.08035714285714286
2026-07-11,2026,666157,Nick Lodolo,Cincinnati Reds,11,11,57.2,57.666666666666664,4.68,1.46,46,24,60,30,8,257,3,2,4.181818181818182,5.242424242424242,2.1818181818181817,5.454545454545454,2.727272727272727,0.2727272727272727,7.179190751445087,3.7456647398843934,9.364161849710984,0.08560311284046693
2026-07-11,2026,625643,Reynaldo López,Atlanta Braves,21,8,56.2,56.666666666666664,3.18,1.27,51,24,48,20,7,239,4,1,6.375,7.083333333333333,3.0,6.0,2.5,0.5,8.1,3.811764705882353,7.623529411764706,0.11297071129707113
2026-07-11,2026,669461,Matthew Liberatore,St. Louis Cardinals,18,18,87.2,87.66666666666667,5.34,1.53,82,35,99,52,17,390,4,6,4.555555555555555,4.87037037037037,1.9444444444444444,5.5,2.888888888888889,0.2222222222222222,8.418250950570341,3.5931558935361214,10.163498098859314,0.12051282051282051
2026-07-11,2026,702056,Trey Yesavage,Toronto Blue Jays,13,13,73.1,73.33333333333333,3.31,1.08,68,32,47,27,7,298,4,4,5.230769230769231,5.6410256410256405,2.4615384615384617,3.6153846153846154,2.076923076923077,0.3076923076923077,8.345454545454546,3.9272727272727277,5.7681818181818185,0.12080536912751678
2026-07-11,2026,621111,Walker Buehler,San Diego Padres,18,18,87.0,87.0,5.07,1.39,80,31,90,49,11,375,5,5,4.444444444444445,4.833333333333333,1.7222222222222223,5.0,2.7222222222222223,0.2777777777777778,8.275862068965518,3.206896551724138,9.310344827586206,0.13066666666666665
2026-07-11,2026,694297,Brandon Pfaadt,Arizona Diamondbacks,15,5,48.1,48.333333333333336,4.84,1.34,39,18,47,26,8,209,2,1,7.8,9.666666666666668,3.6,9.4,5.2,0.4,7.2620689655172415,3.3517241379310345,8.751724137931035,0.10047846889952153
2026-07-11,2026,808967,Yoshinobu Yamamoto,Los Angeles Dodgers,16,16,104.2,104.66666666666667,2.49,0.88,100,21,71,29,11,398,9,5,6.25,6.541666666666667,1.3125,4.4375,1.8125,0.5625,8.598726114649681,1.805732484076433,6.1050955414012735,0.1984924623115578
