date,season,game_id,pitcher_id,pitcher_name,team,opponent,side,is_home,games,games_started,innings_pitched,innings_decimal,era,whip,strikeouts,walks,hits_allowed,earned_runs,home_runs_allowed,batters_faced,wins,losses,season_k_per_start,avg_ip_per_start,walks_per_start,hits_per_start,earned_runs_per_start,win_rate,k_per_9,bb_per_9,hits_per_9,hr_per_9,strikeout_rate,walk_rate,k_minus_bb_rate,fip_component
2026-07-17,2026,825060,518876,Merrill Kelly,Arizona Diamondbacks,St. Louis Cardinals,home,1,17.0,17.0,98.2,98.66666666666667,5.2,1.49,62.0,40.0,107.0,57.0,21.0,432.0,7.0,8.0,3.6470588235294117,5.803921568627452,2.3529411764705883,6.294117647058823,3.3529411764705883,0.4117647058823529,5.655405405405405,3.6486486486486487,9.760135135135135,1.9155405405405403,0.14351851851851852,0.09259259259259259,0.05092592592592593,2.7263513513513513
2026-07-17,2026,824981,695611,Gage Jump,Athletics,Washington Nationals,home,1,10.0,10.0,52.1,52.333333333333336,3.78,1.32,56.0,17.0,52.0,22.0,4.0,221.0,3.0,4.0,5.6,5.233333333333333,1.7,5.2,2.2,0.3,9.630573248407643,2.9235668789808917,8.942675159235668,0.6878980891719745,0.25339366515837103,0.07692307692307693,0.1764705882352941,-0.17197452229299362
2026-07-17,2026,824901,519242,Chris Sale,Atlanta Braves,Texas Rangers,home,1,18.0,18.0,105.0,105.0,2.06,1.06,123.0,25.0,86.0,24.0,8.0,426.0,10.0,6.0,6.833333333333333,5.833333333333333,1.3888888888888888,4.777777777777778,1.3333333333333333,0.5555555555555556,10.542857142857143,2.142857142857143,7.371428571428571,0.6857142857142857,0.2887323943661972,0.05868544600938967,0.2300469483568075,-0.638095238095238
2026-07-17,2026,824170,665152,Dean Kremer,Baltimore Orioles,Houston Astros,away,0,5.0,5.0,26.0,26.0,4.15,1.12,29.0,7.0,22.0,12.0,9.0,103.0,1.0,2.0,5.8,5.2,1.4,4.4,2.4,0.2,10.038461538461538,2.423076923076923,7.615384615384615,3.1153846153846154,0.2815533980582524,0.06796116504854369,0.21359223300970873,3.076923076923077
2026-07-17,2026,824737,700842,Eduardo Rivera,Boston Red Sox,Tampa Bay Rays,home,1,3.0,2.0,9.1,9.333333333333334,2.89,0.96,9.0,4.0,5.0,3.0,1.0,36.0,0.0,0.0,4.5,4.666666666666667,2.0,2.5,1.5,0.0,8.678571428571429,3.8571428571428568,4.821428571428571,0.9642857142857142,0.25,0.1111111111111111,0.1388888888888889,0.75
2026-07-17,2026,824766,687562,Jake Bennett,Boston Red Sox,Tampa Bay Rays,home,1,9.0,9.0,53.2,53.666666666666664,2.35,0.88,38.0,9.0,38.0,14.0,3.0,203.0,5.0,3.0,4.222222222222222,5.962962962962963,1.0,4.222222222222222,1.5555555555555556,0.5555555555555556,6.372670807453416,1.5093167701863355,6.372670807453416,0.5031055900621119,0.18719211822660098,0.04433497536945813,0.14285714285714285,-0.1863354037267081
2026-07-17,2026,824655,607067,Colin Rea,Chicago Cubs,Minnesota Twins,home,1,20.0,16.0,100.2,100.66666666666667,4.74,1.42,76.0,37.0,106.0,53.0,15.0,441.0,7.0,6.0,4.75,6.291666666666667,2.3125,6.625,3.3125,0.4375,6.7947019867549665,3.3079470198675494,9.476821192052979,1.3410596026490065,0.17233560090702948,0.08390022675736962,0.08843537414965986,1.529801324503311
2026-07-17,2026,822789,641743,Anthony Kay,Chicago White Sox,Toronto Blue Jays,away,0,20.0,18.0,93.1,93.33333333333333,4.24,1.37,76.0,38.0,90.0,44.0,13.0,422.0,6.0,4.0,4.222222222222222,5.185185185185185,2.111111111111111,5.0,2.4444444444444446,0.3333333333333333,7.328571428571429,3.6642857142857146,8.678571428571429,1.2535714285714286,0.18009478672985782,0.09004739336492891,0.09004739336492891,1.4035714285714287
2026-07-17,2026,824332,663903,Brady Singer,Cincinnati Reds,Colorado Rockies,away,0,19.0,19.0,96.2,96.66666666666667,4.56,1.41,82.0,31.0,105.0,49.0,21.0,428.0,4.0,9.0,4.315789473684211,5.087719298245614,1.631578947368421,5.526315789473684,2.5789473684210527,0.21052631578947367,7.634482758620689,2.886206896551724,9.775862068965516,1.9551724137931032,0.19158878504672897,0.07242990654205607,0.1191588785046729,2.089655172413793
2026-07-17,2026,824414,668909,Gavin Williams,Cleveland Guardians,Pittsburgh Pirates,home,1,19.0,19.0,113.1,113.33333333333333,3.81,1.15,134.0,37.0,93.0,48.0,17.0,460.0,10.0,4.0,7.052631578947368,5.964912280701754,1.9473684210526316,4.894736842105263,2.526315789473684,0.5263157894736842,10.641176470588237,2.9382352941176473,7.385294117647059,1.35,0.29130434782608694,0.08043478260869565,0.2108695652173913,0.5647058823529412
2026-07-17,2026,824332,687312,Gabriel Hughes,Colorado Rockies,Cincinnati Reds,home,1,3.0,2.0,14.1,14.333333333333334,3.14,1.12,14.0,5.0,11.0,5.0,0.0,56.0,0.0,1.0,7.0,7.166666666666667,2.5,5.5,2.5,0.0,8.790697674418604,3.13953488372093,6.906976744186046,0.0,0.25,0.08928571428571429,0.1607142857142857,-0.9069767441860465
2026-07-17,2026,824009,675512,Troy Melton,Detroit Tigers,Los Angeles Angels,away,0,9.0,9.0,55.0,55.0,1.8,0.87,50.0,15.0,33.0,11.0,7.0,212.0,5.0,1.0,5.555555555555555,6.111111111111111,1.6666666666666667,3.6666666666666665,1.2222222222222223,0.5555555555555556,8.181818181818182,2.4545454545454546,5.4,1.1454545454545455,0.2358490566037736,0.07075471698113207,0.16509433962264153,0.6545454545454545
