date,season,game_id,pitcher_id,pitcher_name,team,opponent,side,is_home,games,games_started,innings_pitched,innings_decimal,era,whip,strikeouts,walks,hits_allowed,earned_runs,home_runs_allowed,batters_faced,wins,losses,season_k_per_start,avg_ip_per_start,walks_per_start,hits_per_start,earned_runs_per_start,win_rate,k_per_9,bb_per_9,hits_per_9,hr_per_9,strikeout_rate,walk_rate,k_minus_bb_rate,fip_component
2026-07-22,2026,825055,518876,Merrill Kelly,Arizona Diamondbacks,Athletics,home,1,18.0,18.0,103.2,103.66666666666667,5.12,1.48,65.0,41.0,112.0,59.0,22.0,451.0,8.0,8.0,3.611111111111111,5.7592592592592595,2.2777777777777777,6.222222222222222,3.2777777777777777,0.4444444444444444,5.643086816720257,3.5594855305466235,9.723472668810288,1.909967845659164,0.14412416851441243,0.09090909090909091,0.053215077605321515,2.6913183279742765
2026-07-22,2026,825055,695611,Gage Jump,Athletics,Arizona Diamondbacks,away,0,11.0,11.0,57.0,57.0,4.42,1.42,61.0,21.0,60.0,28.0,7.0,245.0,3.0,6.0,5.545454545454546,5.181818181818182,1.9090909090909092,5.454545454545454,2.5454545454545454,0.2727272727272727,9.631578947368421,3.3157894736842106,9.473684210526315,1.105263157894737,0.24897959183673468,0.08571428571428572,0.16326530612244897,0.5614035087719298
2026-07-22,2026,824896,527048,Martín Pérez,Atlanta Braves,San Diego Padres,home,1,19.0,15.0,85.1,85.33333333333333,3.38,1.2,65.0,36.0,66.0,32.0,10.0,349.0,6.0,6.0,4.333333333333333,5.688888888888888,2.4,4.4,2.1333333333333333,0.4,6.85546875,3.796875,6.9609375,1.0546875,0.18624641833810887,0.10315186246418338,0.08309455587392549,1.265625
2026-07-22,2026,824735,665152,Dean Kremer,Baltimore Orioles,Boston Red Sox,away,0,6.0,6.0,32.0,32.0,5.06,1.19,34.0,8.0,30.0,18.0,10.0,130.0,1.0,3.0,5.666666666666667,5.333333333333333,1.3333333333333333,5.0,3.0,0.16666666666666666,9.5625,2.25,8.4375,2.8125,0.26153846153846155,0.06153846153846154,0.2,2.6875
2026-07-22,2026,824732,680694,Kyle Bradish,Baltimore Orioles,Boston Red Sox,away,0,20.0,20.0,113.1,113.33333333333333,3.49,1.32,110.0,51.0,99.0,44.0,12.0,477.0,7.0,9.0,5.5,5.666666666666666,2.55,4.95,2.2,0.35,8.73529411764706,4.05,7.861764705882353,0.9529411764705883,0.23060796645702306,0.1069182389937107,0.12368972746331236,0.7852941176470588
2026-07-22,2026,824732,700842,Eduardo Rivera,Boston Red Sox,Baltimore Orioles,home,1,4.0,3.0,10.0,10.0,6.3,1.4,10.0,6.0,8.0,7.0,1.0,44.0,0.0,1.0,3.3333333333333335,3.3333333333333335,2.0,2.6666666666666665,2.3333333333333335,0.0,9.0,5.4,7.2,0.9,0.22727272727272727,0.13636363636363635,0.09090909090909091,1.1
2026-07-22,2026,824735,687562,Jake Bennett,Boston Red Sox,Baltimore Orioles,home,1,10.0,10.0,59.1,59.333333333333336,2.58,0.94,42.0,9.0,47.0,17.0,4.0,229.0,6.0,3.0,4.2,5.933333333333334,0.9,4.7,1.7,0.6,6.370786516853932,1.3651685393258426,7.129213483146067,0.6067415730337078,0.18340611353711792,0.039301310043668124,0.14410480349344978,-0.08426966292134831
2026-07-22,2026,824650,607067,Colin Rea,Chicago Cubs,Detroit Tigers,home,1,21.0,17.0,105.2,105.66666666666667,4.85,1.42,81.0,38.0,112.0,57.0,17.0,462.0,7.0,7.0,4.764705882352941,6.215686274509804,2.235294117647059,6.588235294117647,3.3529411764705883,0.4117647058823529,6.899053627760252,3.2365930599369084,9.53943217665615,1.44794952681388,0.17532467532467533,0.08225108225108226,0.09307359307359307,1.637223974763407
2026-07-22,2026,822873,641743,Anthony Kay,Chicago White Sox,Texas Rangers,away,0,21.0,19.0,98.1,98.33333333333333,4.21,1.37,80.0,40.0,95.0,46.0,14.0,444.0,7.0,4.0,4.2105263157894735,5.175438596491228,2.1052631578947367,5.0,2.4210526315789473,0.3684210526315789,7.322033898305085,3.6610169491525424,8.694915254237289,1.2813559322033898,0.18018018018018017,0.09009009009009009,0.09009009009009009,1.4440677966101696
2026-07-22,2026,823110,663903,Brady Singer,Cincinnati Reds,Seattle Mariners,away,0,20.0,20.0,103.1,103.33333333333333,4.53,1.38,88.0,32.0,111.0,52.0,21.0,454.0,5.0,9.0,4.4,5.166666666666666,1.6,5.55,2.6,0.25,7.6645161290322585,2.7870967741935484,9.667741935483871,1.8290322580645162,0.19383259911894274,0.07048458149779736,0.12334801762114538,1.8677419354838711
2026-07-22,2026,824408,677944,Slade Cecconi,Cleveland Guardians,Minnesota Twins,home,1,20.0,20.0,103.2,103.66666666666667,4.6,1.45,82.0,34.0,116.0,53.0,15.0,455.0,4.0,7.0,4.1,5.183333333333334,1.7,5.8,2.65,0.2,7.118971061093247,2.9517684887459805,10.070739549839228,1.3022508038585208,0.18021978021978022,0.07472527472527472,0.1054945054945055,1.282958199356913
2026-07-22,2026,824327,687312,Gabriel Hughes,Colorado Rockies,Washington Nationals,home,1,4.0,3.0,19.1,19.333333333333332,2.79,1.14,19.0,6.0,16.0,6.0,0.0,77.0,0.0,2.0,6.333333333333333,6.444444444444444,2.0,5.333333333333333,2.0,0.0,8.844827586206897,2.793103448275862,7.448275862068966,0.0,0.24675324675324675,0.07792207792207792,0.16883116883116883,-1.0344827586206897
2026-07-22,2026,824650,672456,Keider Montero,Detroit Tigers,Chicago Cubs,away,0,22.0,16.0,106.0,106.0,3.14,0.96,78.0,22.0,80.0,37.0,10.0,419.0,7.0,5.0,4.875,6.625,1.375,5.0,2.3125,0.4375,6.622641509433962,1.8679245283018868,6.7924528301886795,0.8490566037735849,0.18615751789976134,0.05250596658711217,0.13365155131264916,0.37735849056603776
2026-07-22,2026,824166,663567,Peter Lambert,Houston Astros,Miami Marlins,home,1,17.0,17.0,98.0,98.0,3.03,1.12,94.0,38.0,72.0,33.0,11.0,405.0,8.0,5.0,5.529411764705882,5.764705882352941,2.235294117647059,4.235294117647059,1.9411764705882353,0.47058823529411764,8.63265306122449,3.489795918367347,6.612244897959184,1.010204081632653,0.23209876543209876,0.09382716049382717,0.1382716049382716,0.7040816326530612
2026-07-22,2026,824083,607625,Seth Lugo,Kansas City Royals,San Francisco Giants,home,1,21.0,21.0,117.2,117.66666666666667,4.36,1.37,94.0,38.0,123.0,57.0,15.0,499.0,4.0,6.0,4.476190476190476,5.603174603174604,1.8095238095238095,5.857142857142857,2.7142857142857144,0.19047619047619047,7.189801699716714,2.906515580736544,9.407932011331445,1.1473087818696883,0.18837675350701402,0.07615230460921844,0.11222444889779558,1.028328611898017
2026-07-22,2026,824004,672282,Reid Detmers,Los Angeles Angels,St. Louis Cardinals,home,1,21.0,21.0,120.0,120.0,4.05,1.1,136.0,37.0,95.0,54.0,13.0,493.0,3.0,7.0,6.476190476190476,5.714285714285714,1.7619047619047619,4.523809523809524,2.5714285714285716,0.14285714285714285,10.2,2.775,7.125,0.975,0.27586206896551724,0.07505070993914807,0.20081135902636915,0.06666666666666667
2026-07-22,2026,823438,641778,Eric Lauer,Los Angeles Dodgers,Philadelphia Phillies,away,0,16.0,13.0,82.0,82.0,4.83,1.26,52.0,28.0,75.0,44.0,20.0,346.0,5.0,5.0,4.0,6.3076923076923075,2.1538461538461537,5.769230769230769,3.3846153846153846,0.38461538461538464,5.7073170731707314,3.073170731707317,8.231707317073171,2.1951219512195124,0.15028901734104047,0.08092485549132948,0.06936416184971099,2.926829268292683
2026-07-22,2026,824166,645261,Sandy Alcantara,Miami Marlins,Houston Astros,away,0,22.0,22.0,143.2,143.66666666666666,4.01,1.23,110.0,38.0,139.0,64.0,17.0,598.0,10.0,6.0,5.0,6.53030303030303,1.7272727272727273,6.318181818181818,2.909090909090909,0.45454545454545453,6.890951276102089,2.380510440835267,8.707656612529004,1.0649651972157774,0.18394648829431437,0.06354515050167224,0.12040133779264213,0.8004640371229699
2026-07-22,2026,823761,701656,Logan Henderson,Milwaukee Brewers,New York Mets,home,1,8.0,8.0,38.1,38.333333333333336,3.05,0.94,47.0,7.0,29.0,13.0,5.0,148.0,4.0,1.0,5.875,4.791666666666667,0.875,3.625,1.625,0.5,11.034782608695652,1.643478260869565,6.808695652173912,1.1739130434782608,0.31756756756756754,0.0472972972972973,0.27027027027027023,-0.20869565217391303
2026-07-22,2026,824408,641927,Bailey Ober,Minnesota Twins,Cleveland Guardians,away,0,15.0,15.0,81.0,81.0,4.56,1.25,60.0,22.0,79.0,41.0,13.0,342.0,7.0,3.0,4.0,5.4,1.4666666666666666,5.266666666666667,2.7333333333333334,0.4666666666666667,6.666666666666667,2.4444444444444446,8.777777777777779,1.4444444444444444,0.17543859649122806,0.06432748538011696,0.1111111111111111,1.4197530864197532
2026-07-22,2026,823761,681035,Christian Scott,New York Mets,Milwaukee Brewers,away,0,14.0,14.0,63.1,63.333333333333336,3.13,1.26,78.0,29.0,51.0,22.0,7.0,271.0,3.0,2.0,5.571428571428571,4.523809523809524,2.0714285714285716,3.642857142857143,1.5714285714285714,0.21428571428571427,11.08421052631579,4.121052631578947,7.247368421052632,0.9947368421052631,0.2878228782287823,0.1070110701107011,0.18081180811808117,0.34736842105263155
2026-07-22,2026,823518,543037,Gerrit Cole,New York Yankees,Pittsburgh Pirates,home,1,11.0,11.0,62.0,62.0,3.92,1.1,66.0,12.0,56.0,27.0,11.0,255.0,3.0,5.0,6.0,5.636363636363637,1.0909090909090908,5.090909090909091,2.4545454545454546,0.2727272727272727,9.580645161290322,1.7419354838709677,8.129032258064516,1.596774193548387,0.25882352941176473,0.047058823529411764,0.21176470588235297,0.7580645161290323
2026-07-22,2026,823519,608331,Max Fried,New York Yankees,Pittsburgh Pirates,home,1,11.0,11.0,66.2,66.66666666666667,2.97,0.96,57.0,20.0,44.0,22.0,1.0,256.0,4.0,3.0,5.181818181818182,6.060606060606061,1.8181818181818181,4.0,2.0,0.36363636363636365,7.694999999999999,2.6999999999999997,5.9399999999999995,0.13499999999999998,0.22265625,0.078125,0.14453125,-0.615
2026-07-22,2026,823438,605400,Aaron Nola,Philadelphia Phillies,Los Angeles Dodgers,home,1,21.0,21.0,108.1,108.33333333333333,5.82,1.45,112.0,36.0,121.0,70.0,25.0,475.0,3.0,8.0,5.333333333333333,5.158730158730158,1.7142857142857142,5.761904761904762,3.3333333333333335,0.14285714285714285,9.304615384615385,2.990769230769231,10.052307692307693,2.076923076923077,0.23578947368421052,0.07578947368421053,0.15999999999999998,1.9292307692307693
2026-07-22,2026,823519,696149,Bubba Chandler,Pittsburgh Pirates,New York Yankees,away,0,20.0,19.0,100.2,100.66666666666667,4.47,1.39,90.0,56.0,84.0,50.0,10.0,442.0,3.0,8.0,4.7368421052631575,5.298245614035088,2.9473684210526314,4.421052631578948,2.6315789473684212,0.15789473684210525,8.04635761589404,5.006622516556291,7.509933774834437,0.8940397350993377,0.20361990950226244,0.12669683257918551,0.07692307692307693,1.1721854304635762
2026-07-22,2026,823518,656605,Mitch Keller,Pittsburgh Pirates,New York Yankees,away,0,20.0,20.0,108.1,108.33333333333333,4.9,1.31,83.0,37.0,105.0,59.0,13.0,464.0,6.0,7.0,4.15,5.416666666666666,1.85,5.25,2.95,0.3,6.895384615384616,3.073846153846154,8.723076923076924,1.08,0.1788793103448276,0.07974137931034483,0.09913793103448276,1.0523076923076924
2026-07-22,2026,824896,650633,Michael King,San Diego Padres,Atlanta Braves,away,0,21.0,21.0,119.1,119.33333333333333,3.24,1.17,103.0,49.0,91.0,43.0,11.0,491.0,6.0,7.0,4.904761904761905,5.682539682539682,2.3333333333333335,4.333333333333333,2.0476190476190474,0.2857142857142857,7.768156424581006,3.695530726256983,6.863128491620112,0.8296089385474861,0.20977596741344195,0.09979633401221996,0.109979633401222,0.7039106145251397
2026-07-22,2026,824083,694738,Landen Roupp,San Francisco Giants,Kansas City Royals,away,0,20.0,20.0,110.0,110.0,3.93,1.24,113.0,45.0,91.0,48.0,8.0,457.0,7.0,8.0,5.65,5.5,2.25,4.55,2.4,0.35,9.245454545454546,3.6818181818181817,7.445454545454545,0.6545454545454545,0.24726477024070023,0.09846827133479212,0.14879649890590813,0.11818181818181818
2026-07-22,2026,823110,676106,Emerson Hancock,Seattle Mariners,Cincinnati Reds,home,1,19.0,19.0,105.1,105.33333333333333,3.16,1.01,97.0,26.0,80.0,37.0,13.0,414.0,6.0,4.0,5.105263157894737,5.5438596491228065,1.368421052631579,4.2105263157894735,1.9473684210526316,0.3157894736842105,8.287974683544304,2.2215189873417724,6.8354430379746836,1.1107594936708862,0.23429951690821257,0.06280193236714976,0.17149758454106281,0.5031645569620253
