date,game_id,pitcher_id,pitcher_name,team,opponent,side,actual_strikeouts,actual_ip,actual_walks,actual_hits,actual_earned_runs,status,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops,last5_avg_ks,last5_avg_ip,last5_avg_hits,last5_avg_walks,last5_avg_er,last3_avg_ks,last3_avg_ip
2026-07-01,824337,607536,Kyle Freeland,Colorado Rockies,Miami Marlins,home,7,5.0,1,6,2,Final,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742,,,,,,,
2026-07-01,824985,669372,J.T. Ginn,Athletics,Los Angeles Dodgers,home,4,6.0,5,3,1,Final,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383,0.264,0.346,0.437,0.783,,,,,,,
2026-07-01,825064,686790,Trevor McDonald,San Francisco Giants,Arizona Diamondbacks,away,5,6.0,0,1,0,Final,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69,,,,,,,
2026-07-01,825064,668678,Zac Gallen,Arizona Diamondbacks,San Francisco Giants,home,4,5.2,1,7,6,Final,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696,0.254,0.307,0.418,0.725,,,,,,,
2026-07-02,823442,683003,Jared Jones,Pittsburgh Pirates,Philadelphia Phillies,away,6,4.0,2,2,1,Final,8.774193548387096,4.43010752688172,8.010752688172044,2.989247311827957,0.238,0.305,0.404,0.709,,,,,,,
2026-07-02,823442,660604,Alan Rangel,Philadelphia Phillies,Pittsburgh Pirates,home,4,4.0,4,3,0,Final,9.382978723404255,5.23404255319149,9.117021276595745,3.787234042553192,0.262,0.34,0.423,0.763,,,,,,,
2026-07-02,823765,695505,Chase Burns,Cincinnati Reds,Milwaukee Brewers,away,4,6.0,2,4,2,Final,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305,0.255,0.337,0.397,0.734,,,,,,,
2026-07-02,823765,694819,Jacob Misiorowski,Milwaukee Brewers,Cincinnati Reds,home,10,5.0,0,5,1,Final,9.472527472527473,4.21978021978022,7.637362637362638,3.758241758241758,0.228,0.31,0.392,0.702,,,,,,,
2026-07-02,824335,687473,Ryan Gusto,Miami Marlins,Colorado Rockies,away,2,3.0,2,4,3,Final,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466,0.257,0.328,0.424,0.752,,,,,,,
2026-07-02,824335,547179,Michael Lorenzen,Colorado Rockies,Miami Marlins,home,1,4.1,6,3,2,Final,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742,,,,,,,
2026-07-02,824416,663436,Davis Martin,Chicago White Sox,Cleveland Guardians,away,0,3.1,5,6,2,Final,8.340425531914894,3.9680851063829774,7.5,3.702127659574468,0.228,0.31,0.369,0.679,,,,,,,
2026-07-02,824416,677944,Slade Cecconi,Cleveland Guardians,Chicago White Sox,home,3,5.0,1,9,5,Final,8.956521739130435,4.673913043478261,7.989130434782608,3.391304347826087,0.239,0.318,0.409,0.727,,,,,,,
2026-07-02,824906,669160,Dustin May,St. Louis Cardinals,Atlanta Braves,away,1,0.2,2,5,5,Final,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728,,,,,,,
2026-07-02,824906,694462,Hurston Waldrep,Atlanta Braves,St. Louis Cardinals,home,4,5.1,1,5,3,Final,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715,,,,,,,
2026-07-02,824093,693855,Ian Seymour,Tampa Bay Rays,Kansas City Royals,away,8,6.0,1,3,1,Final,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511,0.247,0.318,0.398,0.716,,,,,,,
2026-07-02,824093,663568,Stephen Kolek,Kansas City Royals,Tampa Bay Rays,home,0,2.0,1,4,3,Final,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383,0.258,0.334,0.396,0.73,,,,,,,
2026-07-02,822884,664285,Framber Valdez,Detroit Tigers,Texas Rangers,away,1,5.0,2,9,5,Final,8.347826086956522,4.086956521739131,8.108695652173912,3.2934782608695654,0.243,0.319,0.392,0.711,4.0,6.0,5.4,1.8,2.2,3.333333333333333,6.0
2026-07-02,822884,543135,Nathan Eovaldi,Texas Rangers,Detroit Tigers,home,9,5.0,1,6,3,Final,8.684782608695652,4.25,7.869565217391305,3.619565217391304,0.236,0.315,0.398,0.713,5.8,5.24,6.6,1.6,3.0,5.666666666666667,6.0
2026-07-02,823119,700712,Walbert Ureña,Los Angeles Angels,Seattle Mariners,away,6,5.2,4,1,1,Final,8.688172043010752,4.053763440860215,7.623655913978495,3.3225806451612905,0.23,0.311,0.379,0.69,,,,,,,
2026-07-02,823119,682243,Bryce Miller,Seattle Mariners,Los Angeles Angels,home,8,7.0,0,2,0,Final,9.451612903225806,4.462365591397849,8.053763440860216,3.204301075268817,0.239,0.315,0.393,0.708,5.8,5.26,3.2,1.0,0.8,6.333333333333333,5.333333333333333
