date,game_id,team,pitcher_id,pitcher_name,side
2026-07-11,823356,Milwaukee Brewers,675660,Shane Drohan,away
2026-07-11,823356,Pittsburgh Pirates,696149,Bubba Chandler,home
2026-07-11,823682,Los Angeles Angels,696270,Ryan Johnson,away
2026-07-11,823682,Minnesota Twins,657746,Joe Ryan,home
2026-07-11,824576,Athletics,695611,Gage Jump,away
2026-07-11,824576,Chicago White Sox,663542,Bryan Hudson,home
2026-07-11,823198,Colorado Rockies,607536,Kyle Freeland,away
2026-07-11,823198,San Francisco Giants,641816,Tyler Mahle,home
2026-07-11,822711,New York Yankees,693645,Cam Schlittler,away
2026-07-11,822711,Washington Nationals,571945,Miles Mikolas,home
2026-07-11,823603,New York Mets,642547,Freddy Peralta,home
2026-07-11,822953,Seattle Mariners,669302,Logan Gilbert,away
2026-07-11,822953,Tampa Bay Rays,643377,Griffin Jax,home
2026-07-11,823844,Cleveland Guardians,676440,Tanner Bibee,away
2026-07-11,823844,Miami Marlins,691587,Eury Pérez,home
2026-07-11,824249,Philadelphia Phillies,650911,Cristopher Sánchez,away
2026-07-11,824249,Detroit Tigers,663554,Casey Mize,home
2026-07-11,824813,Kansas City Royals,702070,Noah Cameron,away
2026-07-11,824813,Baltimore Orioles,680694,Kyle Bradish,home
2026-07-11,822875,Houston Astros,663567,Peter Lambert,away
2026-07-11,822875,Texas Rangers,677958,Kumar Rocker,home
2026-07-11,824492,Chicago Cubs,665871,Javier Assad,away
2026-07-11,824492,Cincinnati Reds,666157,Nick Lodolo,home
2026-07-11,823030,Atlanta Braves,625643,Reynaldo López,away
2026-07-11,823030,St. Louis Cardinals,669461,Matthew Liberatore,home
2026-07-11,823276,Toronto Blue Jays,702056,Trey Yesavage,away
2026-07-11,823276,San Diego Padres,621111,Walker Buehler,home
2026-07-11,823926,Arizona Diamondbacks,694297,Brandon Pfaadt,away
2026-07-11,823926,Los Angeles Dodgers,808967,Yoshinobu Yamamoto,home
