date,game_id,game_status,game_status_code,venue_id,venue,team,opponent,pitcher_id,pitcher_name,opposing_pitcher_id,opposing_pitcher_name,side,is_home,home_team,away_team
2026-07-20,822788,Scheduled,S,14,Rogers Centre,Tampa Bay Rays,Toronto Blue Jays,607259,Nick Martinez,656302,Dylan Cease,away,0,Toronto Blue Jays,Tampa Bay Rays
2026-07-20,822788,Scheduled,S,14,Rogers Centre,Toronto Blue Jays,Tampa Bay Rays,656302,Dylan Cease,607259,Nick Martinez,home,1,Toronto Blue Jays,Tampa Bay Rays
2026-07-20,822874,Scheduled,S,5325,Globe Life Field,Chicago White Sox,Texas Rangers,607200,Erick Fedde,594798,Jacob deGrom,away,0,Texas Rangers,Chicago White Sox
2026-07-20,822874,Scheduled,S,5325,Globe Life Field,Texas Rangers,Chicago White Sox,594798,Jacob deGrom,607200,Erick Fedde,home,1,Texas Rangers,Chicago White Sox
2026-07-20,823112,Scheduled,S,680,T-Mobile Park,Cincinnati Reds,Seattle Mariners,671096,Andrew Abbott,669923,George Kirby,away,0,Seattle Mariners,Cincinnati Reds
2026-07-20,823112,Scheduled,S,680,T-Mobile Park,Seattle Mariners,Cincinnati Reds,669923,George Kirby,671096,Andrew Abbott,home,1,Seattle Mariners,Cincinnati Reds
2026-07-20,823436,Scheduled,S,2681,Citizens Bank Park,Los Angeles Dodgers,Philadelphia Phillies,686218,Emmet Sheehan,650911,Cristopher Sánchez,away,0,Philadelphia Phillies,Los Angeles Dodgers
2026-07-20,823436,Scheduled,S,2681,Citizens Bank Park,Philadelphia Phillies,Los Angeles Dodgers,650911,Cristopher Sánchez,686218,Emmet Sheehan,home,1,Philadelphia Phillies,Los Angeles Dodgers
2026-07-20,823522,Scheduled,S,3313,Yankee Stadium,Pittsburgh Pirates,New York Yankees,677952,Braxton Ashcraft,677960,Ryan Weathers,away,0,New York Yankees,Pittsburgh Pirates
2026-07-20,823522,Scheduled,S,3313,Yankee Stadium,New York Yankees,Pittsburgh Pirates,677960,Ryan Weathers,677952,Braxton Ashcraft,home,1,New York Yankees,Pittsburgh Pirates
2026-07-20,823762,Scheduled,S,32,American Family Field,New York Mets,Milwaukee Brewers,642547,Freddy Peralta,694819,Jacob Misiorowski,away,0,Milwaukee Brewers,New York Mets
2026-07-20,823762,Scheduled,S,32,American Family Field,Milwaukee Brewers,New York Mets,694819,Jacob Misiorowski,642547,Freddy Peralta,home,1,Milwaukee Brewers,New York Mets
2026-07-20,824006,Scheduled,S,1,Angel Stadium,St. Louis Cardinals,Los Angeles Angels,681517,Kyle Leahy,667755,José Soriano,away,0,Los Angeles Angels,St. Louis Cardinals
