date,game_id,team,pitcher_id,pitcher_name,side
2026-07-09,823359,Atlanta Braves,693821,Bryce Elder,away
2026-07-09,823359,Pittsburgh Pirates,656605,Mitch Keller,home
2026-07-09,823606,Kansas City Royals,608379,Michael Wacha,away
2026-07-09,823606,New York Mets,640455,Sean Manaea,home
2026-07-09,822954,New York Yankees,621112,Paul Blackburn,away
2026-07-09,822954,Tampa Bay Rays,656876,Drew Rasmussen,home
2026-07-09,824816,Chicago Cubs,656849,David Peterson,away
2026-07-09,824816,Baltimore Orioles,669432,Trevor Rogers,home
2026-07-09,823683,Cleveland Guardians,668909,Gavin Williams,away
2026-07-09,823683,Minnesota Twins,641927,Bailey Ober,home
2026-07-09,824577,Boston Red Sox,663776,Patrick Sandoval,away
2026-07-09,824577,Chicago White Sox,641743,Anthony Kay,home
2026-07-09,824251,Athletics,660761,José Suarez,away
2026-07-09,824251,Detroit Tigers,664285,Framber Valdez,home
2026-07-09,823846,Seattle Mariners,682243,Bryce Miller,away
2026-07-09,823846,Miami Marlins,676083,Janson Junk,home
2026-07-09,824494,Philadelphia Phillies,666200,Jesús Luzardo,away
2026-07-09,824494,Cincinnati Reds,663903,Brady Singer,home
2026-07-09,823034,Milwaukee Brewers,701656,Logan Henderson,away
2026-07-09,823034,St. Louis Cardinals,669467,Andre Pallante,home
2026-07-09,822877,Los Angeles Angels,672282,Reid Detmers,away
2026-07-09,822877,Texas Rangers,543135,Nathan Eovaldi,home
2026-07-09,823277,Arizona Diamondbacks,518876,Merrill Kelly,away
2026-07-09,823277,San Diego Padres,656288,Griffin Canning,home
2026-07-09,823201,Colorado Rockies,663372,Ryan Feltner,away
2026-07-09,823201,San Francisco Giants,687931,Carson Whisenhunt,home
