date,game_id,team,pitcher_id,pitcher_name,side
2026-07-10,824252,Philadelphia Phillies,605400,Aaron Nola,away
2026-07-10,824252,Detroit Tigers,656427,Jack Flaherty,home
2026-07-10,822709,New York Yankees,677960,Ryan Weathers,away
2026-07-10,822709,Washington Nationals,687223,Carson Palmquist,home
2026-07-10,824817,Kansas City Royals,679883,Luinder Avila,away
2026-07-10,824817,Baltimore Orioles,687064,Brandon Young,home
2026-07-10,824493,Chicago Cubs,684007,Shota Imanaga,away
2026-07-10,824493,Cincinnati Reds,668881,Hunter Greene,home
2026-07-10,822955,Seattle Mariners,622491,Luis Castillo,away
2026-07-10,822955,Tampa Bay Rays,607259,Nick Martinez,home
2026-07-10,823845,Cleveland Guardians,800048,Parker Messick,away
2026-07-10,823845,Miami Marlins,645261,Sandy Alcantara,home
2026-07-10,823604,Boston Red Sox,543243,Sonny Gray,away
2026-07-10,823604,New York Mets,690997,Nolan McLean,home
2026-07-10,824575,Athletics,682052,Jacob Lopez,away
2026-07-10,824575,Chicago White Sox,680732,Sean Burke,home
2026-07-10,822878,Houston Astros,686613,Hunter Brown,away
2026-07-10,822878,Texas Rangers,615698,Cal Quantrill,home
2026-07-10,823685,Los Angeles Angels,680570,Grayson Rodriguez,away
2026-07-10,823685,Minnesota Twins,805673,Zebby Matthews,home
2026-07-10,823033,Atlanta Braves,519242,Chris Sale,away
2026-07-10,823033,St. Louis Cardinals,681517,Kyle Leahy,home
2026-07-10,823278,Toronto Blue Jays,669456,Shane Bieber,away
2026-07-10,823278,San Diego Padres,676664,JP Sears,home
2026-07-10,823927,Arizona Diamondbacks,593958,Eduardo Rodriguez,away
2026-07-10,823927,Los Angeles Dodgers,669165,Kyle Hurt,home
2026-07-10,823200,Colorado Rockies,685299,Tanner Gordon,away
2026-07-10,823200,San Francisco Giants,592662,Robbie Ray,home
2026-07-10,823357,Milwaukee Brewers,687075,Brandon Sproat,away
2026-07-10,823357,Pittsburgh Pirates,677952,Braxton Ashcraft,home
