feature,importance,importance_rank
trend_last3_vs_last10_strikeouts,0.0018992334408532738,133
is_short_rest,0.0018924329505006908,134
last20_fantasy_score_median,0.0018841474339579992,135
opponent_split_avg_total_bases,0.0018838643573316158,136
last5_hits_runs_rbis_coefficient_variation,0.0018760982464635337,137
trend_last3_vs_last10_hits_runs_rbis,0.0018754240631902108,138
trend_last3_vs_last10_doubles,0.001868883932073118,139
last20_strikeouts_max,0.001865995101768959,140
last10_singles_avg,0.0018637351111669962,141
last10_singles_per_pa,0.0018592906776155743,142
last10_strikeouts_per_pa,0.0018564129120865929,143
last20_doubles_per_ab,0.0018537538630388206,144
last10_hits_std,0.0018507703496087112,145
last5_strikeouts_max,0.0018485023788972373,146
last5_total_bases_coefficient_variation,0.0018474041540900183,147
trend_last10_vs_season_stolen_bases,0.0018408372264169738,148
season_avg_total_bases,0.001840011378481877,149
last3_strikeouts_max,0.0018394336354893989,150
season_std_singles,0.0018347403968772438,151
last20_singles_avg,0.0018225928180070074,152
last20_hits_coefficient_variation,0.0018225413337952985,153
trend_last3_vs_last10_total_bases,0.0018172706950171879,154
previous_game_walks,0.0018156795398579025,155
last3_plate_appearances_min,0.001814885697362843,156
last10_singles_std,0.0018104012098715562,157
last20_doubles_per_pa,0.0018091537635290898,158
last3_fantasy_score_median,0.001809047005868714,159
last3_runs_per_pa,0.0018085649023570026,160
trend_last10_vs_season_runs,0.001804905550954283,161
last3_strikeouts_median,0.0018036888730900264,162
last5_strikeouts_std,0.0018021313123207942,163
last20_hits_runs_rbis_coefficient_variation,0.0017967255730339993,164
last5_walks_max,0.001795423146027167,165
trend_last3_vs_last10_rbi,0.0017952446408174077,166
last20_fantasy_score_avg,0.0017914961112357713,167
last10_singles_median,0.0017892513643072842,168
last20_strikeouts_std,0.0017890317888176073,169
last5_walks_avg,0.0017889553920953005,170
last3_strikeouts_avg,0.0017847138360638666,171
last5_strikeouts_median,0.0017836961915733748,172
last10_hits_coefficient_variation,0.001778736619166361,173
opponent_split_avg_fantasy_score,0.0017786542544268285,174
last3_plate_appearances_avg,0.0017733477982812532,175
previous_game_runs,0.0017721612658583236,176
trend_last5_vs_last20_hits_runs_rbis,0.0017720204754821888,177
last20_walks_max,0.0017715672578477125,178
last20_walks_std,0.0017655239666728936,179
season_std_walks,0.0017640044796855396,180
last10_at_bats_max,0.0017605700735825295,181
trend_last10_vs_season_fantasy_score,0.00175744587167686,182
last10_runs_median,0.0017566779492988183,183
last3_plate_appearances_median,0.0017531761975719854,184
last20_hit_by_pitch_max,0.001748970264827555,185
last10_singles_per_ab,0.0017488717292270567,186
opponent_split_avg_rbi,0.0017465456717582937,187
season_std_hit_by_pitch,0.0017397244213546255,188
last3_at_bats_max,0.0017390683368282457,189
last10_fantasy_score_coefficient_variation,0.00173864317257953,190
previous_game_total_bases,0.0017357562101952464,191
season_avg_walks,0.0017343509900496561,192
last10_singles_max,0.001734215590489818,193
last10_hits_per_ab,0.0017320456628686506,194
last3_singles_std,0.001731727891389296,195
season_std_hits,0.0017316703601968032,196
season_std_doubles,0.0017264495526483304,197
last5_at_bats_max,0.0017252172406974414,198
last10_hits_avg,0.0017234722774987542,199
last5_fantasy_score_coefficient_variation,0.0017228730112889953,200
season_singles_per_pa,0.0017220077099840358,201
previous_game_doubles,0.0017137553437933026,202
opponent_pitcher_season_std_hits,0.0017065555315984413,203
last3_rbi_std,0.0017050941565418475,204
last3_walks_std,0.0017025941802910009,205
season_std_stolen_bases,0.0017016212620692666,206
last10_walks_per_pa,0.00169437742490846,207
trend_last5_vs_last20_fantasy_score,0.0016925168950333456,208
last20_runs_max,0.00168991771412325,209
last10_strikeouts_max,0.0016804204498710618,210
last5_hits_runs_rbis_per_pa,0.0016790942213678526,211
last10_walks_avg,0.0016784017300505204,212
last5_hits_coefficient_variation,0.0016735541513079402,213
last10_plate_appearances_max,0.0016720802309506102,214
last20_plate_appearances_max,0.001671569873938371,215
last10_doubles_per_ab,0.0016706479414741082,216
last20_total_bases_coefficient_variation,0.0016676334947726048,217
last10_strikeouts_std,0.0016673265973203267,218
last20_plate_appearances_min,0.0016672397347998944,219
last5_singles_median,0.0016666121044765676,220
last10_runs_std,0.001663594316106055,221
season_std_fantasy_score,0.0016631506494677107,222
last10_walks_max,0.0016602097673861357,223
last10_fantasy_score_median,0.0016599044334489822,224
last3_singles_median,0.0016483662686798905,225
last5_runs_per_pa,0.00164431656585456,226
last20_at_bats_std,0.0016424365991730943,227
last3_hits_per_pa,0.001638287880061766,228
season_doubles_per_pa,0.0016381990086637584,229
last10_hits_per_pa,0.0016361929577281343,230
last3_plate_appearances_max,0.0016333654882850382,231
season_runs_per_pa,0.0016255250044382207,232
last20_at_bats_min,0.0016249847288137438,233
last20_hits_per_ab,0.0016211870945267005,234
last20_runs_coefficient_variation,0.0016086129605265092,235
last3_fantasy_score_std,0.0016036732541146333,236
last5_runs_median,0.0016032515895378133,237
last5_singles_avg,0.0016032419345043687,238
last3_walks_per_pa,0.001589047979769371,239
last10_total_bases_median,0.0015836030281774216,240
last5_hits_per_pa,0.0015770712056699461,241
trend_last3_vs_last10_stolen_bases,0.0015740557430199435,242
opponent_pitcher_season_std_strikeouts,0.001574029797362991,243
last5_runs_avg,0.0015716721531601832,244
season_hit_by_pitch_per_pa,0.0015708290632374883,245
last3_runs_std,0.0015705812095885418,246
trend_last10_vs_season_hits_runs_rbis,0.001570014841911427,247
last5_total_bases_median,0.0015694484510587344,248
last5_singles_per_pa,0.001565986287038521,249
last3_singles_per_ab,0.0015527745393700942,250
last20_rbi_avg,0.0015521555249249502,251
season_std_runs,0.0015514308738797595,252
last3_walks_max,0.001551271080557643,253
last5_hits_per_ab,0.0015504207394127318,254
trend_last5_vs_last20_total_bases,0.0015486755323778634,255
last3_runs_max,0.00154409198151536,256
last5_hits_runs_rbis_median,0.0015433085517884677,257
last20_runs_std,0.0015380063907932025,258
opponent_pitcher_last3_avg_strikeouts,0.0015347800843392434,259
last20_fantasy_score_max,0.0015307548209334526,260
season_avg_runs,0.0015303546583612193,261
last20_hits_runs_rbis_std,0.0015297651535295467,262
season_hits_per_pa,0.0015278994413753118,263
last3_runs_avg,0.0015254110295230797,264
last20_hit_by_pitch_std,0.001523800157287178,265
previous_game_rbi,0.0015230830542901047,266
last10_rbi_max,0.0015175884484807686,267
last20_runs_per_pa,0.001516465589414806,268
last10_hits_runs_rbis_median,0.0015162271194213742,269
trend_last10_vs_season_home_runs,0.0015125607434532573,270
last3_hits_runs_rbis_max,0.0015123011897922786,271
trend_last5_vs_last20_stolen_bases,0.0015036792417058935,272
last5_walks_per_pa,0.0015028784533770477,273
last3_hits_std,0.0015012773779336703,274
last3_fantasy_score_per_pa,0.0015002344368073414,275
trend_last10_vs_season_total_bases,0.001495991661970362,276
last20_hits_runs_rbis_per_pa,0.001493537367999872,277
last10_doubles_per_pa,0.0014903153344431941,278
last5_hits_avg,0.001482901936479112,279
last5_singles_per_ab,0.0014802378063558522,280
last20_doubles_max,0.0014789397760852424,281
last3_fantasy_score_min,0.0014784532669648808,282
season_avg_hit_by_pitch,0.0014782009954337745,283
last10_rbi_per_pa,0.0014761888055139086,284
last20_singles_per_ab,0.0014703834908322327,285
last20_runs_avg,0.0014639279602874854,286
last5_singles_std,0.0014633182369270038,287
season_std_triples,0.0014595450135211666,288
last20_hits_per_pa,0.0014540626888726433,289
last10_walks_std,0.0014537175340496918,290
last20_rbi_per_pa,0.0014536982850204322,291
last10_runs_per_pa,0.0014480974378067357,292
last5_hits_std,0.0014405474755744602,293
last5_plate_appearances_max,0.0014395658119874656,294
last5_rbi_per_pa,0.001438125101931876,295
last5_doubles_per_ab,0.0014353814592863489,296
