feature,importance,importance_rank
season_avg_hits,0.0022512809169896687,133
trend_last3_vs_last10_hits_runs_rbis,0.0022503922347719496,134
previous_game_rbi,0.0022315968308939814,135
previous_game_total_bases,0.0022263584979585554,136
trend_last5_vs_last20_rbi,0.0022231424109530407,137
last20_doubles_avg,0.002207016046138663,138
last20_runs_coefficient_variation,0.002206660796491113,139
last20_runs_per_pa,0.0022043914950721664,140
last3_walks_per_pa,0.0022005298777842894,141
season_std_stolen_bases,0.002187601689743409,142
trend_last10_vs_season_hits_runs_rbis,0.0021869086153426002,143
last10_fantasy_score_avg,0.002171395417122459,144
last10_singles_per_pa,0.00216920382387091,145
last20_at_bats_min,0.0021674960172631467,146
last3_at_bats_avg,0.0021643168096722805,147
last5_hits_per_ab,0.002163023779295823,148
trend_last10_vs_season_runs,0.00215499231155459,149
last3_strikeouts_min,0.002152398570400354,150
last20_fantasy_score_median,0.0021515350432746777,151
last10_hits_std,0.002149502871442297,152
last20_runs_max,0.0021494592949648918,153
last5_plate_appearances_max,0.002149311911642657,154
last20_hits_per_pa,0.002142636251288465,155
last5_strikeouts_per_ab,0.0021418751147056587,156
last3_plate_appearances_median,0.0021416231908699622,157
last3_strikeouts_avg,0.0021381755732824527,158
last3_at_bats_max,0.002132936087291121,159
last20_at_bats_std,0.002132660061749698,160
last10_fantasy_score_median,0.002131321900630419,161
trend_last10_vs_season_rbi,0.0021281521342790743,162
last5_plate_appearances_std,0.002124645852409071,163
last5_strikeouts_max,0.002123212173689729,164
last20_rbi_per_pa,0.0021220703363304195,165
trend_last5_vs_last20_hits,0.0021199870518835754,166
last5_fantasy_score_median,0.002118142465210332,167
last10_runs_max,0.002112343888211071,168
season_std_at_bats,0.0021122439009129824,169
last10_runs_std,0.0021067131425263315,170
season_strikeouts_per_pa,0.002105050844397575,171
last20_walks_per_pa,0.002104580593171288,172
last20_singles_median,0.0021044945003737456,173
last20_total_bases_coefficient_variation,0.002103722932538419,174
last5_hits_std,0.0021015829746035847,175
last10_runs_per_pa,0.0021012575978314714,176
last5_at_bats_min,0.0020935146873066086,177
last5_walks_per_pa,0.002090638084730952,178
last20_hits_runs_rbis_std,0.0020877948943354247,179
last3_walks_avg,0.0020877603667101723,180
last10_hits_per_ab,0.0020860361191694394,181
last10_strikeouts_per_pa,0.002085720460611553,182
last10_plate_appearances_max,0.0020844903467868697,183
last5_at_bats_median,0.0020817413931785854,184
trend_last10_vs_season_fantasy_score,0.0020801695260404024,185
last5_hits_coefficient_variation,0.0020627732213756955,186
last5_at_bats_avg,0.002058278478528789,187
last3_at_bats_median,0.0020564135141998897,188
last20_rbi_max,0.0020560418277378667,189
previous_game_doubles,0.0020539424012867144,190
last5_hits_max,0.00205323944067729,191
season_avg_stolen_bases,0.002050237401474481,192
last20_walks_median,0.00204914938409537,193
opponent_split_avg_total_bases,0.002048680520710427,194
trend_last5_vs_last20_fantasy_score,0.002038629013899066,195
last20_hits_runs_rbis_median,0.002037560444685276,196
last5_hits_per_pa,0.0020368294842193413,197
last3_singles_std,0.0020301429863142147,198
last3_runs_per_pa,0.0020272638226320823,199
last3_plate_appearances_min,0.002018343269090666,200
last3_singles_per_ab,0.0020108765956802018,201
last10_walks_median,0.0020055509406781214,202
season_avg_doubles,0.002001851630940121,203
last5_walks_median,0.0020002872500617937,204
last10_hits_runs_rbis_max,0.002000013980918972,205
last5_runs_std,0.001999601073459085,206
season_std_hits,0.001990585849712221,207
season_fantasy_score_per_pa,0.001987907211126898,208
season_singles_per_pa,0.0019693347280468503,209
season_std_doubles,0.001964732874649153,210
season_std_hit_by_pitch,0.0019633593910803127,211
last20_hits_avg,0.001961026720556135,212
last5_hits_runs_rbis_std,0.0019506679580078292,213
last10_runs_median,0.0019404710291363993,214
last3_walks_median,0.0019393260568146197,215
last20_plate_appearances_std,0.001939112153928241,216
last3_singles_avg,0.001937737604878797,217
last5_runs_avg,0.0019360500804974149,218
last10_singles_avg,0.001934004675297783,219
last10_strikeouts_avg,0.0019306545719487008,220
trend_last10_vs_season_hit_by_pitch,0.0019303346063938268,221
last10_total_bases_coefficient_variation,0.0019279988501980036,222
opponent_split_avg_rbi,0.0019268100179911628,223
last10_strikeouts_per_ab,0.0019225130997003188,224
last3_hits_std,0.00191811066969036,225
last20_fantasy_score_std,0.0019082377320660247,226
last5_hits_runs_rbis_per_pa,0.0019065857074747582,227
season_hits_per_pa,0.0019046122789428974,228
last20_strikeouts_avg,0.001904428991181852,229
last10_hits_runs_rbis_per_pa,0.0018996487932148485,230
last20_runs_median,0.0018945180663432445,231
last20_total_bases_avg,0.001886451802810271,232
last5_at_bats_max,0.0018834004175212853,233
last20_strikeouts_per_ab,0.0018831655210716676,234
last20_strikeouts_per_pa,0.0018821204733215477,235
last10_singles_per_ab,0.0018811559461246808,236
last3_singles_per_pa,0.0018767109064749183,237
last20_doubles_per_pa,0.0018741419533880002,238
last10_walks_per_pa,0.0018737498288761978,239
last10_hits_runs_rbis_median,0.0018638635336913404,240
last10_doubles_per_ab,0.00186357438881603,241
trend_last10_vs_season_total_bases,0.0018561939288635864,242
last10_singles_std,0.001855881105364101,243
last10_singles_max,0.0018547318929162883,244
last5_rbi_std,0.001848883988830832,245
last3_rbi_per_pa,0.0018469190036374738,246
trend_last5_vs_last20_stolen_bases,0.0018447074647798575,247
last5_runs_max,0.0018439369060440575,248
last3_hits_per_ab,0.001841012420793907,249
season_std_total_bases,0.0018408489235364391,250
last20_total_bases_max,0.001840743623038711,251
trend_last3_vs_last10_fantasy_score,0.0018363059355696511,252
trend_last5_vs_last20_total_bases,0.0018327476765170785,253
previous_game_triples,0.001831407302713265,254
last3_fantasy_score_median,0.001828741325204088,255
last5_hits_runs_rbis_avg,0.0018280993280667855,256
last5_runs_median,0.0018212057890892557,257
last3_hits_per_pa,0.0018182449025592213,258
last20_hits_coefficient_variation,0.0018149821328471692,259
last20_hits_runs_rbis_max,0.0018081260569694515,260
last10_strikeouts_max,0.0018068832894903026,261
season_std_hits_runs_rbis,0.001805838022897657,262
last10_hits_median,0.0018008068994010249,263
last10_at_bats_max,0.0017983676259870518,264
last10_total_bases_per_pa,0.0017967008036853583,265
season_doubles_per_pa,0.0017959787189004814,266
last10_rbi_per_pa,0.0017944337818572274,267
last20_stolen_bases_max,0.0017943395422752944,268
trend_last3_vs_last10_home_runs,0.0017879308450957229,269
last3_hits_runs_rbis_std,0.0017826560209042105,270
last3_hits_runs_rbis_median,0.0017812225246629232,271
last5_fantasy_score_avg,0.0017811992331667051,272
last3_fantasy_score_std,0.001780921046854034,273
last20_fantasy_score_per_pa,0.0017790430870391735,274
trend_last10_vs_season_home_runs,0.001778331172286096,275
season_hits_runs_rbis_per_pa,0.001771622126693795,276
last20_hits_runs_rbis_coefficient_variation,0.0017690149659311386,277
last10_rbi_max,0.0017668233905691864,278
last5_walks_max,0.0017608502557617397,279
trend_last3_vs_last10_total_bases,0.001759814241161636,280
last3_total_bases_per_pa,0.0017587795272313795,281
season_avg_hit_by_pitch,0.0017529238846982953,282
last5_total_bases_std,0.001752458430754789,283
last10_walks_std,0.001752376064155499,284
last5_rbi_per_pa,0.0017522847724597776,285
last5_singles_median,0.0017510562749514982,286
expected_hits_from_opportunity,0.0017498855345728457,287
last5_walks_avg,0.0017483779008552,288
last10_fantasy_score_per_pa,0.001747780280541774,289
last5_walks_std,0.0017468808877839695,290
last20_hits_runs_rbis_per_pa,0.0017458412349027654,291
last5_hits_avg,0.001743253427011883,292
last10_total_bases_avg,0.0017426341769220834,293
last10_doubles_avg,0.0017425583967743655,294
last10_total_bases_per_ab,0.001738997274864947,295
last20_hit_by_pitch_max,0.0017348413326300225,296
last10_total_bases_median,0.0017330316065171723,297
last3_fantasy_score_per_pa,0.0017294691126069689,298
last3_total_bases_std,0.0017270840299081016,299
last20_rbi_avg,0.0017252252694612705,300
last5_fantasy_score_std,0.0017251166873003358,301
last3_rbi_avg,0.0017191501312684666,302
last20_doubles_max,0.0017148271135643683,303
last5_singles_per_pa,0.0017114168923271413,304
last3_rbi_median,0.0017098637579771264,305
last10_singles_median,0.001706354408092271,306
season_std_triples,0.001700689336667254,307
last5_singles_max,0.0016992561321360834,308
season_std_singles,0.00169337505415779,309
last5_singles_per_ab,0.001690900355665228,310
last20_total_bases_per_ab,0.0016876859934183695,311
last10_walks_max,0.001684280310963955,312
last3_plate_appearances_max,0.0016831129493660236,313
last20_doubles_per_ab,0.001681111243975301,314
last10_rbi_std,0.0016800767741804693,315
last5_singles_std,0.0016800078139007086,316
last5_fantasy_score_per_pa,0.0016796249012910542,317
last3_hits_median,0.0016770187153466788,318
last20_doubles_std,0.0016768103846966623,319
last3_runs_std,0.0016766724356521222,320
season_std_rbi,0.001673330974091126,321
last20_rbi_coefficient_variation,0.001672961640807023,322
last10_hits_runs_rbis_std,0.0016696706898242848,323
trend_last5_vs_last20_home_runs,0.0016693114719625057,324
last10_rbi_avg,0.0016680462571744892,325
season_total_bases_per_pa,0.0016673156342858091,326
last5_strikeouts_min,0.001665496040571564,327
last3_singles_max,0.0016609718389565358,328
last3_doubles_median,0.0016587905413315918,329
last5_rbi_max,0.0016572506948838162,330
last3_doubles_per_ab,0.001644362114365922,331
trend_last3_vs_last10_stolen_bases,0.0016408329875711352,332
last5_total_bases_per_ab,0.0016339346795566044,333
last5_hits_runs_rbis_max,0.0016336512636536493,334
trend_last3_vs_last10_hit_by_pitch,0.001631320471344802,335
season_home_runs_per_pa,0.0016302690101732205,336
last10_total_bases_max,0.0016247300660489706,337
last3_runs_max,0.0016186979975302228,338
last20_singles_per_pa,0.001617570731073732,339
last20_singles_std,0.001611357903616773,340
last5_total_bases_median,0.0016112896517996992,341
last3_hits_runs_rbis_per_pa,0.0016102911038785148,342
last3_total_bases_per_ab,0.0016060213343671494,343
last20_hits_std,0.0016032752920001952,344
season_stolen_bases_per_pa,0.00160281285496326,345
last10_hits_runs_rbis_avg,0.0016022835511773923,346
season_std_fantasy_score,0.0016008573192226442,347
last10_hits_avg,0.0015948630105020003,348
last3_fantasy_score_max,0.0015837114275083616,349
last10_fantasy_score_std,0.001581853255409876,350
last10_fantasy_score_max,0.0015764890884797983,351
last3_runs_median,0.0015743569505041553,352
last20_singles_per_ab,0.001571200844867767,353
last20_hits_per_ab,0.0015681620880408917,354
last5_hits_median,0.0015680506904039563,355
season_avg_singles,0.0015679716527823538,356
last3_runs_avg,0.0015554092136432014,357
last20_rbi_std,0.0015546709458885567,358
last20_stolen_bases_std,0.0015533512074438491,359
last3_rbi_std,0.001546491514328884,360
last3_hits_avg,0.0015408841643982237,361
last5_rbi_avg,0.0015345291350424253,362
