date,game_id,player_id,player_name,team,opponent,side,batting_order,position,prior_games,days_rest,projected_hits,projected_total_bases
2026-07-10,823685,665019,Kody Clemens,Minnesota Twins,Los Angeles Angels,home,3,2B,80.0,1.0,0.947,1.74
2026-07-10,824817,695506,Jac Caglianone,Kansas City Royals,Baltimore Orioles,away,3,RF,87.0,1.0,0.92,1.74
2026-07-10,824252,664761,Alec Bohm,Philadelphia Phillies,Detroit Tigers,away,5,3B,89.0,1.0,0.913,1.734
2026-07-10,824252,547180,Bryce Harper,Philadelphia Phillies,Detroit Tigers,away,3,1B,94.0,1.0,0.944,1.732
2026-07-10,823927,606466,Ketel Marte,Arizona Diamondbacks,Los Angeles Dodgers,away,1,DH,89.0,1.0,0.988,1.728
2026-07-10,823200,805811,Bryce Eldridge,San Francisco Giants,Colorado Rockies,home,6,1B,51.0,1.0,0.951,1.725
2026-07-10,824817,679845,Nick Loftin,Kansas City Royals,Baltimore Orioles,away,8,DH,57.0,1.0,0.878,1.724
2026-07-10,824817,657041,Lane Thomas,Kansas City Royals,Baltimore Orioles,away,4,CF,79.0,1.0,0.926,1.721
2026-07-10,824817,641933,Tyler O'Neill,Baltimore Orioles,Kansas City Royals,home,6,RF,56.0,1.0,0.819,1.72
2026-07-10,823278,664770,Nathan Lukes,Toronto Blue Jays,San Diego Padres,away,9,RF,59.0,2.0,0.951,1.719
2026-07-10,824817,695600,Carter Jensen,Kansas City Royals,Baltimore Orioles,away,1,C,86.0,1.0,0.909,1.716
2026-07-10,823033,621566,Matt Olson,Atlanta Braves,St. Louis Cardinals,away,3,1B,92.0,1.0,0.956,1.712
2026-07-10,824493,673548,Seiya Suzuki,Chicago Cubs,Cincinnati Reds,away,4,RF,77.0,1.0,0.94,1.711
2026-07-10,822878,677649,Ezequiel Duran,Texas Rangers,Houston Astros,home,6,SS,84.0,1.0,0.939,1.707
2026-07-10,822878,665161,Jeremy Peña,Houston Astros,Texas Rangers,away,1,SS,48.0,12.0,0.913,1.707
2026-07-10,823927,672695,Geraldo Perdomo,Arizona Diamondbacks,Los Angeles Dodgers,away,2,SS,89.0,1.0,0.896,1.7
2026-07-10,822955,668227,Randy Arozarena,Seattle Mariners,Tampa Bay Rays,away,2,LF,86.0,1.0,0.914,1.699
2026-07-10,822955,666018,Jonathan Aranda,Tampa Bay Rays,Seattle Mariners,home,2,1B,90.0,1.0,0.904,1.698
2026-07-10,824575,678246,Miguel Vargas,Chicago White Sox,Athletics,home,3,1B,91.0,1.0,0.943,1.697
