date,game_id,player_id,player_name,team,opponent,side,batting_order,position,prior_games,days_rest,projected_hits,projected_total_bases
2026-07-10,823278,665926,Andrés Giménez,Toronto Blue Jays,San Diego Padres,away,7,SS,88.0,2.0,0.715,1.157
2026-07-10,823685,623168,Tyler Heineman,Los Angeles Angels,Minnesota Twins,away,9,C,37.0,6.0,0.727,1.156
2026-07-10,824493,663647,Ke'Bryan Hayes,Cincinnati Reds,Chicago Cubs,home,9,3B,44.0,14.0,0.723,1.145
2026-07-10,824817,686555,Isaac Collins,Kansas City Royals,Baltimore Orioles,away,9,LF,83.0,1.0,0.68,1.131
2026-07-10,822709,696285,Jacob Young,Washington Nationals,New York Yankees,home,5,CF,85.0,3.0,0.707,1.125
2026-07-10,823845,682177,Daniel Schneemann,Cleveland Guardians,Miami Marlins,away,7,3B,78.0,1.0,0.712,1.12
2026-07-10,823278,662139,Daulton Varsho,Toronto Blue Jays,San Diego Padres,away,6,CF,80.0,2.0,0.686,1.119
2026-07-10,823278,669134,Luis Campusano,San Diego Padres,Toronto Blue Jays,home,9,C,24.0,1.0,0.675,1.115
2026-07-10,822709,683011,Anthony Volpe,New York Yankees,Washington Nationals,away,1,SS,42.0,2.0,0.726,1.114
2026-07-10,824252,656537,Derek Hill,Philadelphia Phillies,Detroit Tigers,away,8,CF,70.0,1.0,0.634,1.109
2026-07-10,823927,669242,Tommy Edman,Los Angeles Dodgers,Arizona Diamondbacks,home,5,3B,19.0,2.0,0.713,1.103
2026-07-10,824575,608841,Joey Meneses,Athletics,Chicago White Sox,away,6,1B,7.0,10.0,0.608,1.093
2026-07-10,822955,645302,Victor Robles,Seattle Mariners,Tampa Bay Rays,away,8,CF,38.0,1.0,0.736,1.086
2026-07-10,824817,702616,Jackson Holliday,Baltimore Orioles,Kansas City Royals,home,9,2B,42.0,1.0,0.68,1.08
2026-07-10,822709,665862,Jazz Chisholm Jr.,New York Yankees,Washington Nationals,away,7,2B,88.0,1.0,0.673,1.078
2026-07-10,823604,657136,Connor Wong,Boston Red Sox,New York Mets,away,8,C,39.0,1.0,0.689,1.074
2026-07-10,823200,687551,Drew Gilbert,San Francisco Giants,Colorado Rockies,home,8,CF,72.0,1.0,0.684,1.062
2026-07-10,823927,672613,Eliezer Alfonzo,Los Angeles Dodgers,Arizona Diamondbacks,home,6,C,2.0,2.0,0.71,1.06
2026-07-10,823200,606992,Eric Haase,San Francisco Giants,Colorado Rockies,home,9,PR,28.0,2.0,0.633,1.06
2026-07-10,823927,678489,Jorge Barrosa,Arizona Diamondbacks,Los Angeles Dodgers,away,8,CF,62.0,1.0,0.521,1.057
2026-07-10,824575,678577,Junior Perez,Chicago White Sox,Athletics,home,2,LF,16.0,1.0,0.653,1.05
2026-07-10,822878,694728,Brice Matthews,Houston Astros,Texas Rangers,away,9,CF,79.0,2.0,0.657,1.015
2026-07-10,823927,669743,Alex Call,Los Angeles Dodgers,Arizona Diamondbacks,home,3,RF,54.0,2.0,0.644,0.995
2026-07-10,824252,701162,Ben Malgeri,Detroit Tigers,Philadelphia Phillies,home,3,LF,9.0,2.0,0.7,0.991
2026-07-10,824817,681297,Colton Cowser,Baltimore Orioles,Kansas City Royals,home,7,CF,82.0,1.0,0.613,0.978
2026-07-10,824817,668942,Josh Rojas,Kansas City Royals,Baltimore Orioles,away,7,3B,13.0,1.0,0.627,0.963
2026-07-10,823685,668885,Austin Martin,Minnesota Twins,Los Angeles Angels,home,7,RF,81.0,2.0,0.559,0.951
2026-07-10,823685,642350,Jose Siri,Los Angeles Angels,Minnesota Twins,away,8,CF,42.0,1.0,0.617,0.903
2026-07-10,822878,701305,Zach Dezenzo,Houston Astros,Texas Rangers,away,6,PH,25.0,2.0,0.582,0.887
2026-07-10,823927,694374,Tim Tawa,Arizona Diamondbacks,Los Angeles Dodgers,away,9,1B,36.0,1.0,0.571,0.866
2026-07-10,823278,664702,Myles Straw,Toronto Blue Jays,San Diego Padres,away,8,LF,81.0,2.0,0.474,0.853
2026-07-10,823033,699625,Jimmy Crooks,St. Louis Cardinals,Atlanta Braves,home,9,C,23.0,3.0,0.528,0.83
2026-07-10,824252,665561,Rafael Marchán,Philadelphia Phillies,Detroit Tigers,away,9,C,30.0,2.0,0.539,0.829
2026-07-10,822955,671083,Buddy Kennedy,Seattle Mariners,Tampa Bay Rays,away,9,3B,8.0,6.0,0.457,0.736
