date,game_id,away_team,home_team,away_pitcher,home_pitcher,status
2026-07-24,823759,Colorado Rockies,Milwaukee Brewers,Tomoyuki Sugano,Shane Drohan,Pre-Game
2026-07-24,824248,Kansas City Royals,Detroit Tigers,Beck Way,Tarik Skubal,Scheduled
2026-07-24,823352,Chicago Cubs,Pittsburgh Pirates,Matthew Boyd,Jared Jones,Scheduled
2026-07-24,822707,Arizona Diamondbacks,Washington Nationals,Eduardo Rodriguez,Carson Palmquist,Scheduled
2026-07-24,823434,New York Yankees,Philadelphia Phillies,Cam Schlittler,Jesús Luzardo,Scheduled
2026-07-24,824812,Atlanta Braves,Baltimore Orioles,Grant Holmes,Trevor Rogers,Scheduled
2026-07-24,823601,Los Angeles Dodgers,New York Mets,Roki Sasaki,Sean Manaea,Scheduled
2026-07-24,822952,Cleveland Guardians,Tampa Bay Rays,Joey Cantillo,Shane McClanahan,Scheduled
2026-07-24,823843,San Diego Padres,Miami Marlins,Germán Márquez,Ryan Gusto,Scheduled
2026-07-24,824733,Toronto Blue Jays,Boston Red Sox,Trey Yesavage,Patrick Sandoval,Scheduled
2026-07-24,824573,Houston Astros,Chicago White Sox,Spencer Arrighetti,Davis Martin,Scheduled
2026-07-24,822872,Seattle Mariners,Texas Rangers,Bryce Miller,MacKenzie Gore,Scheduled
2026-07-24,823680,Athletics,Minnesota Twins,Jacob Lopez,Zebby Matthews,Scheduled
2026-07-24,823031,Cincinnati Reds,St. Louis Cardinals,Rhett Lowder,Dustin May,Scheduled
2026-07-24,823196,Los Angeles Angels,San Francisco Giants,Grayson Rodriguez,Logan Webb,Scheduled
