date,game_id,away_team,home_team,away_pitcher,home_pitcher,status
2026-07-23,824893,San Diego Padres,Atlanta Braves,Griffin Canning,Chris Sale,Scheduled
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,Taj Bradley,Gavin Williams,Scheduled
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,Ian Seymour,Shane Bieber,Scheduled
2026-07-23,823042,Arizona Diamondbacks,St. Louis Cardinals,Brandon Pfaadt,Michael McGreevy,Scheduled
2026-07-23,824247,Kansas City Royals,Detroit Tigers,Randy Dobnak,Troy Melton,Scheduled
