date,game_id,away_team,home_team,away_pitcher,home_pitcher,status
2026-07-18,824414,Pittsburgh Pirates,Cleveland Guardians,Jared Jones,Gavin Williams,Pre-Game
2026-07-18,824412,Pittsburgh Pirates,Cleveland Guardians,,Logan Allen,Scheduled
2026-07-18,824657,Minnesota Twins,Chicago Cubs,Taj Bradley,Matthew Boyd,Pre-Game
2026-07-18,823441,New York Mets,Philadelphia Phillies,Sean Manaea,Jesús Luzardo,Pre-Game
2026-07-18,822790,Chicago White Sox,Toronto Blue Jays,Davis Martin,Shane Bieber,Pre-Game
2026-07-18,824331,Cincinnati Reds,Colorado Rockies,Rhett Lowder,Tomoyuki Sugano,Pre-Game
2026-07-18,824169,Baltimore Orioles,Houston Astros,Trevor Rogers,Spencer Arrighetti,Scheduled
2026-07-18,824088,San Diego Padres,Kansas City Royals,Griffin Canning,Randy Dobnak,Pre-Game
2026-07-18,825059,St. Louis Cardinals,Arizona Diamondbacks,Dustin May,Brandon Pfaadt,Scheduled
2026-07-18,824738,Tampa Bay Rays,Boston Red Sox,Ian Seymour,Patrick Sandoval,Scheduled
2026-07-18,824899,Texas Rangers,Atlanta Braves,MacKenzie Gore,Owen Murphy,Pre-Game
2026-07-18,823763,Miami Marlins,Milwaukee Brewers,Max Meyer,Shane Drohan,Scheduled
2026-07-18,823116,San Francisco Giants,Seattle Mariners,Logan Webb,Bryan Woo,Scheduled
2026-07-18,823523,Los Angeles Dodgers,New York Yankees,Emmet Sheehan,Ryan Weathers,Scheduled
2026-07-18,824979,Washington Nationals,Athletics,Zack Littell,J.T. Ginn,Scheduled
2026-07-18,824008,Detroit Tigers,Los Angeles Angels,Tarik Skubal,Grayson Rodriguez,Scheduled
