date,game_id,away_team,home_team,away_pitcher,home_pitcher,status
2026-07-09,823359,Atlanta Braves,Pittsburgh Pirates,Bryce Elder,Mitch Keller,Final
2026-07-09,823606,Kansas City Royals,New York Mets,Michael Wacha,Sean Manaea,Final
2026-07-09,822954,New York Yankees,Tampa Bay Rays,Paul Blackburn,Drew Rasmussen,Final
2026-07-09,824816,Chicago Cubs,Baltimore Orioles,David Peterson,Trevor Rogers,Final
2026-07-09,823683,Cleveland Guardians,Minnesota Twins,Gavin Williams,Bailey Ober,Final
2026-07-09,824577,Boston Red Sox,Chicago White Sox,Patrick Sandoval,Anthony Kay,Final
2026-07-09,824251,Athletics,Detroit Tigers,José Suarez,Framber Valdez,Final
2026-07-09,823846,Seattle Mariners,Miami Marlins,Bryce Miller,Janson Junk,Final
2026-07-09,824494,Philadelphia Phillies,Cincinnati Reds,Jesús Luzardo,Brady Singer,Final
2026-07-09,823034,Milwaukee Brewers,St. Louis Cardinals,Logan Henderson,Andre Pallante,Final
2026-07-09,822877,Los Angeles Angels,Texas Rangers,Reid Detmers,Nathan Eovaldi,Final
2026-07-09,823277,Arizona Diamondbacks,San Diego Padres,Merrill Kelly,Griffin Canning,In Progress
2026-07-09,823201,Colorado Rockies,San Francisco Giants,Ryan Feltner,Carson Whisenhunt,In Progress
