bet_id,event_date,slate_date,event_id,game_id,commence_time,home_team,away_team,team,opponent,platform,platform_key,player,market,direction,line,sportsbook_odds,projection,raw_projection_edge,probability,sportsbook_implied_probability,no_vig_implied_probability,probability_edge,expected_value,fair_odds,grade,confidence_tier,distribution_method,calibration_sample_size,validation_mae,kelly_fraction,recommended_bankroll_fraction,fetched_at,logged_at,stake,closing_line,closing_odds,actual_result,outcome,profit,grading_status,grading_note,matched_game_pk,graded_at
2026-07-12|||betmgm|ben rice|hitter_hits_runs_rbis|under|2.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,New York Yankees,Washington Nationals,BetMGM,,Ben Rice,hitter_hits_runs_rbis,Under,2.5,-140,1.753,-0.747,0.7198,0.5833,0.5446,0.1752,0.2339,-257.0,A+,Elite,empirical_holdout_residuals,4793.0,1.5362,0.3274,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,3.0,LOSS,-1.0,GRADED,,822708.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|ben rice|hitter_rbis|under|0.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,New York Yankees,Washington Nationals,BetMGM,,Ben Rice,hitter_rbis,Under,0.5,-165,0.525,0.025,0.7175,0.6226,0.5835,0.134,0.1523,-254.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6341,0.2513,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,2.0,LOSS,-1.0,GRADED,,822708.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|ben rice|hitter_runs|under|0.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,New York Yankees,Washington Nationals,BetMGM,,Ben Rice,hitter_runs,Under,0.5,-105,0.532,0.032,0.6286,0.5122,0.4797,0.1489,0.2272,-169.0,B+,Good,empirical_holdout_residuals,4793.0,0.5825,0.2386,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,0.0,WIN,0.9523809523809524,GRADED,,822708.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||caesars|blaze alexander|hitter_hits_runs_rbis|under|1.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,Caesars,,Blaze Alexander,hitter_hits_runs_rbis,Under,1.5,100,1.616,0.116,0.5851,0.5,0.4661,0.1189,0.1701,-141.0,B,Playable,empirical_holdout_residuals,4793.0,1.5362,0.1701,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,4.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betonline.ag|bobby witt jr.|hitter_hits|under|1.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Kansas City Royals,Baltimore Orioles,BetOnline.ag,,Bobby Witt Jr.,hitter_hits,Under,1.5,-200,1.103,-0.397,0.7756,0.6667,0.6269,0.1487,0.1633,-346.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6897,0.3267,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,2.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|bobby witt jr.|hitter_runs|under|0.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Kansas City Royals,Baltimore Orioles,BetMGM,,Bobby Witt Jr.,hitter_runs,Under,0.5,-110,0.657,0.157,0.6271,0.5238,0.4899,0.1372,0.1972,-168.0,B+,Good,empirical_holdout_residuals,4793.0,0.5825,0.2169,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|cj abrams|hitter_rbis|under|0.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Washington Nationals,New York Yankees,BetMGM,,CJ Abrams,hitter_rbis,Under,0.5,-175,0.537,0.037,0.7175,0.6364,0.5941,0.1234,0.1275,-254.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6341,0.223,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,0.0,WIN,0.5714285714285714,GRADED,,822708.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||caesars|dylan beavers|hitter_hits_runs_rbis|under|1.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,Caesars,,Dylan Beavers,hitter_hits_runs_rbis,Under,1.5,-117,1.454,-0.046,0.6207,0.5392,0.503,0.1176,0.1511,-164.0,B+,Good,empirical_holdout_residuals,4793.0,1.5362,0.1768,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,WIN,0.8547008547008547,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betonline.ag|gunnar henderson|hitter_hits|under|1.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,BetOnline.ag,,Gunnar Henderson,hitter_hits,Under,1.5,-217,0.982,-0.518,0.7889,0.6845,0.6438,0.1451,0.1524,-374.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6897,0.3308,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,3.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|gunnar henderson|hitter_runs|under|0.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,BetMGM,,Gunnar Henderson,hitter_runs,Under,0.5,105,0.573,0.073,0.6286,0.4878,0.4554,0.1732,0.2886,-169.0,B+,Good,empirical_holdout_residuals,4793.0,0.5825,0.2748,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||caesars|gunnar henderson|hitter_total_bases|under|1.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,Caesars,,Gunnar Henderson,hitter_total_bases,Under,1.5,-112,1.575,0.075,0.6384,0.5283,0.492,0.1463,0.2083,-177.0,B+,Good,empirical_holdout_residuals,4793.0,1.3752,0.2333,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,3.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|leody taveras|hitter_hits_runs_rbis|under|1.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,BetMGM,,Leody Taveras,hitter_hits_runs_rbis,Under,1.5,-118,1.294,-0.206,0.6486,0.5413,0.5082,0.1403,0.1982,-185.0,B+,Good,empirical_holdout_residuals,4793.0,1.5362,0.2338,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,7.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|luis garcia jr.|hitter_hits|under|1.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Washington Nationals,New York Yankees,BetMGM,,Luis Garcia Jr.,hitter_hits,Under,1.5,-220,0.975,-0.525,0.7893,0.6875,0.6413,0.148,0.1481,-375.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6897,0.3258,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,0.0,WIN,0.4545454545454545,GRADED,,822708.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|luis garcia jr.|hitter_total_bases|under|1.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Washington Nationals,New York Yankees,BetMGM,,Luis Garcia Jr.,hitter_total_bases,Under,1.5,-115,1.616,0.116,0.6296,0.5349,0.5,0.1296,0.1771,-170.0,B+,Good,empirical_holdout_residuals,4793.0,1.3752,0.2037,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,0.0,WIN,0.8695652173913043,GRADED,,822708.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|pete alonso|hitter_hits_runs_rbis|under|2.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,BetMGM,,Pete Alonso,hitter_hits_runs_rbis,Under,2.5,-150,1.979,-0.521,0.6898,0.6,0.5633,0.1265,0.1496,-222.0,A,Strong,empirical_holdout_residuals,4793.0,1.5362,0.2244,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,2.0,WIN,0.6666666666666666,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|pete alonso|hitter_rbis|under|0.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,BetMGM,,Pete Alonso,hitter_rbis,Under,0.5,-140,0.544,0.044,0.7175,0.5833,0.5446,0.1729,0.2299,-254.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6341,0.3219,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|pete alonso|hitter_runs|under|0.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,BetMGM,,Pete Alonso,hitter_runs,Under,0.5,-110,0.579,0.079,0.6286,0.5238,0.4899,0.1387,0.2,-169.0,B+,Good,empirical_holdout_residuals,4793.0,0.5825,0.22,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,0.0,WIN,0.9090909090909092,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|samuel basallo|hitter_hits_runs_rbis|under|1.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Baltimore Orioles,Kansas City Royals,BetMGM,,Samuel Basallo,hitter_hits_runs_rbis,Under,1.5,115,1.623,0.123,0.5832,0.4651,0.4367,0.1465,0.2538,-140.0,B,Playable,empirical_holdout_residuals,4793.0,1.5362,0.2207,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,3.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|seth lugo|pitcher_strikeouts|under|4.5,2026-07-12,,,,2026-07-12T17:36:00Z,,,Kansas City Royals,,BetMGM,,Seth Lugo,pitcher_strikeouts,Under,4.5,-105,3.573,-0.927,0.7116,0.5122,0.4797,0.2319,0.3893,-247.0,A+,Elite,poisson,,,0.4088,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,6.0,LOSS,-1.0,GRADED,,824814.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||fanduel|andrew abbott|pitcher_strikeouts|over|4.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Cincinnati Reds,,FanDuel,,Andrew Abbott,pitcher_strikeouts,Over,4.5,102,5.199,0.699,0.5937,0.495,0.4669,0.1268,0.1993,-146.0,B,Playable,poisson,,,0.1954,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,3.0,LOSS,-1.0,GRADED,,824491.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||draftkings|buddy kennedy|hitter_hits|under|0.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Seattle Mariners,Tampa Bay Rays,DraftKings,,Buddy Kennedy,hitter_hits,Under,0.5,-127,0.312,-0.188,0.6621,0.5595,0.5232,0.1389,0.1834,-196.0,A,Strong,empirical_holdout_residuals,4793.0,0.6897,0.2329,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,LOSS,-1.0,GRADED,,822951.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|dansby swanson|hitter_total_bases|over|0.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Chicago Cubs,Cincinnati Reds,BetMGM,,Dansby Swanson,hitter_total_bases,Over,0.5,-165,1.781,1.281,0.732,0.6226,0.5835,0.1485,0.1757,-273.0,A+,Elite,empirical_holdout_residuals,4793.0,1.3752,0.2899,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,2.0,WIN,0.6060606060606061,GRADED,,824491.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|ian seymour|pitcher_outs|over|15.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Tampa Bay Rays,,BetMGM,,Ian Seymour,pitcher_outs,Over,15.5,135,16.68,1.18,0.6369,0.4255,0.396,0.2409,0.4967,-175.0,B+,Good,normal_residual_std,,,0.3679,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,10.0,LOSS,-1.0,GRADED,,822951.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||fanatics|ian seymour|pitcher_strikeouts|over|6.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Tampa Bay Rays,,Fanatics,,Ian Seymour,pitcher_strikeouts,Over,6.5,120,9.08,2.58,0.8004,0.4545,0.4248,0.3756,0.7609,-401.0,A+,Elite,poisson,,,0.6341,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,3.0,LOSS,-1.0,GRADED,,822951.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|jj bleday|hitter_total_bases|over|0.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Cincinnati Reds,Chicago Cubs,BetMGM,,JJ Bleday,hitter_total_bases,Over,0.5,-165,1.769,1.269,0.7268,0.6226,0.5835,0.1433,0.1673,-266.0,A+,Elite,empirical_holdout_residuals,4793.0,1.3752,0.2761,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,WIN,0.6060606060606061,GRADED,,824491.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||fanatics|joey cantillo|pitcher_strikeouts|over|5.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Cleveland Guardians,,Fanatics,,Joey Cantillo,pitcher_strikeouts,Over,5.5,120,6.136,0.636,0.5759,0.4545,0.4248,0.1511,0.267,-136.0,B,Playable,poisson,,,0.2225,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,9.0,WIN,1.2,GRADED,,823842.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|junior caminero|hitter_rbis|under|0.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Tampa Bay Rays,Seattle Mariners,BetMGM,,Junior Caminero,hitter_rbis,Under,0.5,-160,0.618,0.118,0.7175,0.6154,0.5752,0.1423,0.1659,-254.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6341,0.2654,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,0.0,WIN,0.625,GRADED,,822951.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|kevin alcantara|hitter_hits|under|0.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Chicago Cubs,Cincinnati Reds,BetMGM,,Kevin Alcantara,hitter_hits,Under,0.5,-105,0.355,-0.145,0.6348,0.5122,0.4797,0.1551,0.2394,-174.0,B+,Good,empirical_holdout_residuals,4793.0,0.6897,0.2514,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,LOSS,-1.0,GRADED,,824491.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betonline.ag|kyle manzardo|hitter_hits_runs_rbis|under|1.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Cleveland Guardians,Miami Marlins,BetOnline.ag,,Kyle Manzardo,hitter_hits_runs_rbis,Under,1.5,-130,1.292,-0.208,0.6486,0.5652,0.519,0.1295,0.1474,-185.0,B+,Good,empirical_holdout_residuals,4793.0,1.5362,0.1917,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,2.0,LOSS,-1.0,GRADED,,823842.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|kyle schwarber|hitter_total_bases|over|0.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Philadelphia Phillies,Detroit Tigers,BetMGM,,Kyle Schwarber,hitter_total_bases,Over,0.5,-150,1.85,1.35,0.7591,0.6,0.5575,0.2016,0.2652,-315.0,A+,Elite,empirical_holdout_residuals,4793.0,1.3752,0.3978,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,2.0,WIN,0.6666666666666666,GRADED,,824250.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|matthew boyd|pitcher_strikeouts|under|5.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Chicago Cubs,,BetMGM,,Matthew Boyd,pitcher_strikeouts,Under,5.5,100,4.73,-0.77,0.6632,0.5,0.4653,0.1979,0.3264,-197.0,A,Strong,poisson,,,0.3264,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,3.0,WIN,1.0,GRADED,,824491.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||draftkings|seiya suzuki|hitter_runs|under|0.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Chicago Cubs,Cincinnati Reds,DraftKings,,Seiya Suzuki,hitter_runs,Under,0.5,-103,0.517,0.017,0.6286,0.5074,0.4698,0.1588,0.2388,-169.0,B+,Good,empirical_holdout_residuals,4793.0,0.5825,0.246,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,LOSS,-1.0,GRADED,,824491.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||bovada|spencer torkelson|hitter_hits_runs_rbis|over|0.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Detroit Tigers,Philadelphia Phillies,Bovada,,Spencer Torkelson,hitter_hits_runs_rbis,Over,0.5,-170,1.947,1.447,0.7308,0.6296,0.5915,0.1393,0.1607,-271.0,A+,Elite,empirical_holdout_residuals,4793.0,1.5362,0.2731,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,0.0,LOSS,-1.0,GRADED,,824250.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||fanduel|tarik skubal|pitcher_outs|under|17.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Detroit Tigers,,FanDuel,,Tarik Skubal,pitcher_outs,Under,17.5,148,16.64,-0.86,0.7017,0.4032,0.375,0.3267,0.7402,-235.0,A+,Elite,normal_residual_std,,,0.5001,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,15.0,WIN,1.48,GRADED,,824250.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||bovada|tyler phillips|pitcher_strikeouts|over|3.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Miami Marlins,,Bovada,,Tyler Phillips,pitcher_strikeouts,Over,3.5,145,4.022,0.522,0.5708,0.4082,0.3839,0.187,0.3985,-133.0,B,Playable,poisson,,,0.2748,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,LOSS,-1.0,GRADED,,823842.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||draftkings|yandy diaz|hitter_hits|under|1.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Tampa Bay Rays,Seattle Mariners,DraftKings,,Yandy Diaz,hitter_hits,Under,1.5,-234,1.009,-0.491,0.7868,0.7006,0.6567,0.1301,0.123,-369.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6897,0.2879,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,2.0,LOSS,-1.0,GRADED,,822951.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betrivers|zack wheeler|pitcher_strikeouts|over|7.5,2026-07-12,,,,2026-07-12T17:41:00Z,,,Philadelphia Phillies,,BetRivers,,Zack Wheeler,pitcher_strikeouts,Over,7.5,110,8.4,0.9,0.6013,0.4762,0.4438,0.1575,0.2628,-151.0,B+,Good,poisson,,,0.2389,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,10.0,WIN,1.1,GRADED,,824250.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||draftkings|jacob wilson|hitter_hits|under|1.5,2026-07-12,,,,2026-07-12T18:11:00Z,,,Athletics,Chicago White Sox,DraftKings,,Jacob Wilson,hitter_hits,Under,1.5,-190,1.004,-0.496,0.7874,0.6552,0.6132,0.1742,0.2019,-370.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6897,0.3835,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,WIN,0.5263157894736842,GRADED,,824574.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||caesars|joey meneses|hitter_hits_runs_rbis|under|1.5,2026-07-12,,,,2026-07-12T18:11:00Z,,,Athletics,Chicago White Sox,Caesars,,Joey Meneses,hitter_hits_runs_rbis,Under,1.5,-143,1.111,-0.389,0.6706,0.5885,0.5492,0.1214,0.1396,-204.0,A,Strong,empirical_holdout_residuals,4793.0,1.5362,0.1996,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,WIN,0.6993006993006993,GRADED,,824574.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|munetaka murakami|hitter_runs|under|0.5,2026-07-12,,,,2026-07-12T18:11:00Z,,,Chicago White Sox,Athletics,BetMGM,,Munetaka Murakami,hitter_runs,Under,0.5,-105,0.631,0.131,0.6273,0.5122,0.4754,0.1519,0.2248,-168.0,B+,Good,empirical_holdout_residuals,4793.0,0.5825,0.236,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,LOSS,-1.0,GRADED,,824574.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||bovada|noah schultz|pitcher_outs|under|14.5,2026-07-12,,,,2026-07-12T18:11:00Z,,,Chicago White Sox,,Bovada,,Noah Schultz,pitcher_outs,Under,14.5,125,13.613,-0.887,0.7269,0.4444,0.4165,0.3104,0.6355,-266.0,A+,Elite,normal_residual_std,,,0.5084,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,15.0,LOSS,-1.0,GRADED,,824574.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|ryan kreidler|hitter_total_bases|over|0.5,2026-07-12,,,,2026-07-12T18:11:00Z,,,Minnesota Twins,Los Angeles Angels,BetMGM,,Ryan Kreidler,hitter_total_bases,Over,0.5,-115,1.585,1.085,0.6379,0.5349,0.5,0.1379,0.1927,-176.0,B+,Good,empirical_holdout_residuals,4793.0,1.3752,0.2216,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,WIN,0.8695652173913043,GRADED,,823681.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|shea langeliers|hitter_rbis|under|0.5,2026-07-12,,,,2026-07-12T18:11:00Z,,,Athletics,Chicago White Sox,BetMGM,,Shea Langeliers,hitter_rbis,Under,0.5,-165,0.524,0.024,0.7175,0.6226,0.5835,0.134,0.1523,-254.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6341,0.2513,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,1.0,LOSS,-1.0,GRADED,,824574.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betonline.ag|dustin may|pitcher_outs|under|16.5,2026-07-12,,,,2026-07-12T18:16:00Z,,,St. Louis Cardinals,,BetOnline.ag,,Dustin May,pitcher_outs,Under,16.5,100,10.973,-5.527,0.734,0.5,0.4615,0.2724,0.4679,-276.0,A+,Elite,normal_residual_std,,,0.4679,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,12.0,WIN,1.0,GRADED,,823029.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||caesars|christian walker|hitter_total_bases|over|0.5,2026-07-12,,,,2026-07-12T18:36:00Z,,,Houston Astros,Texas Rangers,Caesars,,Christian Walker,hitter_total_bases,Over,0.5,-176,1.924,1.424,0.7914,0.6377,0.5967,0.1947,0.241,-379.0,A+,Elite,empirical_holdout_residuals,4793.0,1.3752,0.4242,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,0.0,LOSS,-1.0,GRADED,,822876.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|cristian javier|pitcher_outs|under|12.5,2026-07-12,,,,2026-07-12T18:36:00Z,,,Houston Astros,,BetMGM,,Cristian Javier,pitcher_outs,Under,12.5,-135,6.04,-6.46,0.9286,0.5745,0.5347,0.3939,0.6164,-1300.0,A+,Elite,normal_residual_std,,,0.8321,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,9.0,WIN,0.7407407407407407,GRADED,,822876.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||betmgm|cristian javier|pitcher_strikeouts|under|3.5,2026-07-12,,,,2026-07-12T18:36:00Z,,,Houston Astros,,BetMGM,,Cristian Javier,pitcher_strikeouts,Under,3.5,-125,1.92,-1.58,0.8713,0.5556,0.5203,0.351,0.5683,-677.0,A+,Elite,poisson,,,0.7103,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,4.0,LOSS,-1.0,GRADED,,822876.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||draftkings|mackenzie gore|pitcher_outs|over|14.5,2026-07-12,,,,2026-07-12T18:36:00Z,,,Texas Rangers,,DraftKings,,MacKenzie Gore,pitcher_outs,Over,14.5,-119,17.6,3.1,0.876,0.5434,0.507,0.369,0.6122,-707.0,A+,Elite,normal_residual_std,,,0.7285,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,12.0,LOSS,-1.0,GRADED,,822876.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||fanduel|mackenzie gore|pitcher_strikeouts|over|4.5,2026-07-12,,,,2026-07-12T18:36:00Z,,,Texas Rangers,,FanDuel,,MacKenzie Gore,pitcher_strikeouts,Over,4.5,108,6.653,2.153,0.7929,0.4808,0.4533,0.3396,0.6493,-383.0,A+,Elite,poisson,,,0.6012,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,4.0,LOSS,-1.0,GRADED,,822876.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||draftkings|yordan alvarez|hitter_hits|under|1.5,2026-07-12,,,,2026-07-12T18:36:00Z,,,Houston Astros,Texas Rangers,DraftKings,,Yordan Alvarez,hitter_hits,Under,1.5,-228,0.919,-0.581,0.7908,0.6951,0.6516,0.1392,0.1376,-378.0,A+,Elite,empirical_holdout_residuals,4793.0,0.6897,0.3137,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,2.0,LOSS,-1.0,GRADED,,822876.0,2026-07-17T02:27:20.059097+00:00
2026-07-12|||draftkings|yordan alvarez|hitter_hits_runs_rbis|under|2.5,2026-07-12,,,,2026-07-12T18:36:00Z,,,Houston Astros,Texas Rangers,DraftKings,,Yordan Alvarez,hitter_hits_runs_rbis,Under,2.5,-135,2.06,-0.44,0.6785,0.5745,0.5371,0.1414,0.1812,-211.0,A,Strong,empirical_holdout_residuals,4793.0,1.5362,0.2446,0.025,2026-07-12T17:12:31Z,2026-07-12T17:14:37.374931+00:00,,,,2.0,WIN,0.7407407407407407,GRADED,,822876.0,2026-07-17T02:27:20.059097+00:00
